date,재산명시
2020-03-20,44.44444
2020-03-21,18.80341
2020-03-22,28.63247
2020-03-23,45.29914
2020-03-24,49.14529
2020-03-25,39.74358
2020-03-26,49.57264
2020-03-27,53.84615
2020-03-28,16.23931
2020-03-29,14.10256
2020-03-30,65.81196
2020-03-31,41.88034
2020-04-01,50.42735
2020-04-02,27.77777
2020-04-03,49.14529
2020-04-04,8.547
2020-04-05,13.24786
2020-04-06,49.57264
2020-04-07,45.72649
2020-04-08,46.15384
2020-04-09,49.14529
2020-04-10,41.88034
2020-04-11,20.08547
2020-04-12,15.81196
2020-04-13,57.26495
2020-04-14,41.45299
2020-04-15,5.9829
2020-04-16,34.61538
2020-04-17,33.76068
2020-04-18,19.23076
2020-04-19,17.52136
2020-04-20,71.36752
2020-04-21,53.4188
2020-04-22,52.99145
2020-04-23,53.84615
2020-04-24,46.58119
2020-04-25,18.37606
2020-04-26,21.36752
2020-04-27,68.37606
2020-04-28,47.00854
2020-04-29,52.13675
2020-04-30,19.65811
2020-05-01,28.20512
2020-05-02,12.82051
2020-05-03,11.96581
2020-05-04,52.13675
2020-05-05,23.07692
2020-05-06,61.53846
2020-05-07,55.1282
2020-05-08,38.88888
2020-05-09,14.52991
2020-05-10,18.80341
2020-05-11,54.70085
2020-05-12,47.43589
2020-05-13,47.43589
2020-05-14,64.10256
2020-05-15,51.7094
2020-05-16,19.23076
2020-05-17,24.35897
2020-05-18,63.67521
2020-05-19,39.74358
2020-05-20,32.47863
2020-05-21,38.46153
2020-05-22,39.31623
2020-05-23,15.38461
2020-05-24,14.95726
2020-05-25,42.30769
2020-05-26,37.60683
2020-05-27,36.75213
2020-05-28,29.91452
2020-05-29,21.79487
2020-05-30,15.38461
2020-05-31,9.82905
2020-06-01,37.60683
2020-06-02,35.04273
2020-06-03,41.88034
2020-06-04,43.58974
2020-06-05,35.47008
2020-06-06,7.6923
2020-06-07,15.38461
2020-06-08,51.7094
2020-06-09,46.58119
2020-06-10,44.01709
2020-06-11,46.15384
2020-06-12,45.72649
2020-06-13,23.50427
2020-06-14,23.50427
2020-06-15,73.07692
2020-06-16,55.1282
2020-06-17,44.44444
2020-06-18,50.8547
2020-06-19,38.03418
2020-06-20,23.93162
2020-06-21,18.37606
2020-06-22,64.10256
2020-06-23,58.547
2020-06-24,55.9829
2020-06-25,54.70085
2020-06-26,46.15384
2020-06-27,20.08547
2020-06-28,12.82051
2020-06-29,49.14529
2020-06-30,47.86324
2020-07-01,60.68376
2020-07-02,55.9829
2020-07-03,51.28205
2020-07-04,19.65811
2020-07-05,15.38461
2020-07-06,47.00854
2020-07-07,50.0
2020-07-08,45.29914
2020-07-09,38.46153
2020-07-10,38.88888
2020-07-11,16.23931
2020-07-12,18.80341
2020-07-13,56.41025
2020-07-14,55.9829
2020-07-15,57.26495
2020-07-16,44.87179
2020-07-17,64.52991
2020-07-18,21.36752
2020-07-19,24.35897
2020-07-20,89.74358
2020-07-21,73.93162
2020-07-22,57.6923
2020-07-23,42.30769
