date,아하토큰
2020-03-20,0.13303
2020-03-21,0.07559
2020-03-22,0.08466
2020-03-23,0.09977
2020-03-24,0.19048
2020-03-25,0.12699
2020-03-26,0.22677
2020-03-27,0.13606
2020-03-28,0.06349
2020-03-29,0.15118
2020-03-30,0.23281
2020-03-31,0.16327
2020-04-01,0.12699
2020-04-02,0.19351
2020-04-03,0.1028
2020-04-04,0.05744
2020-04-05,0.06651
2020-04-06,0.07256
2020-04-07,0.11489
2020-04-08,0.07256
2020-04-09,0.12396
2020-04-10,0.10582
2020-04-11,0.0907
2020-04-12,0.07559
2020-04-13,0.09977
2020-04-14,0.1028
2020-04-15,0.0514
2020-04-16,0.11187
2020-04-17,0.06954
2020-04-18,0.07256
2020-04-19,0.06651
2020-04-20,0.1028
2020-04-21,0.09373
2020-04-22,0.06047
2020-04-23,0.09977
2020-04-24,0.04233
2020-04-25,0.05744
2020-04-26,0.0514
2020-04-27,0.04233
2020-04-28,0.07256
2020-04-29,0.06651
2020-04-30,0.03628
2020-05-01,0.04837
2020-05-02,0.04233
2020-05-03,0.04535
2020-05-04,0.03325
2020-05-05,0.06651
2020-05-06,0.05442
2020-05-07,0.13908
2020-05-08,0.03628
2020-05-09,0.06047
2020-05-10,0.07559
2020-05-11,0.0514
2020-05-12,0.04233
2020-05-13,0.07256
2020-05-14,0.04535
2020-05-15,0.07861
2020-05-16,0.02721
2020-05-17,0.03628
2020-05-18,0.10885
2020-05-19,0.07256
2020-05-20,0.06954
2020-05-21,0.10582
2020-05-22,0.04535
2020-05-23,0.03628
2020-05-24,0.04837
2020-05-25,0.05442
2020-05-26,0.0514
2020-05-27,0.06651
2020-05-28,0.06954
2020-05-29,0.06651
2020-05-30,0.0393
2020-05-31,0.04233
2020-06-01,0.11187
2020-06-02,0.09373
2020-06-03,0.1028
2020-06-04,0.07256
2020-06-05,0.06651
2020-06-06,0.04233
2020-06-07,0.0393
2020-06-08,0.20258
2020-06-09,6.04118
2020-06-10,1.67508
2020-06-11,0.84358
2020-06-12,0.39911
2020-06-13,0.39911
2020-06-14,0.85265
2020-06-15,1.35457
2020-06-16,1.41505
2020-06-17,0.94639
2020-06-18,0.64402
2020-06-19,0.70147
2020-06-20,0.48377
2020-06-21,0.37795
2020-06-22,0.61984
2020-06-23,0.57146
2020-06-24,0.6924
2020-06-25,0.36283
2020-06-26,0.39004
2020-06-27,0.31445
2020-06-28,0.29933
2020-06-29,0.38399
2020-06-30,0.35073
2020-07-01,0.28724
2020-07-02,0.31143
2020-07-03,0.3084
2020-07-04,0.30538
2020-07-05,0.24188
2020-07-06,0.3084
2020-07-07,0.31143
2020-07-08,0.54425
2020-07-09,0.2691
2020-07-10,0.24491
2020-07-11,0.19955
2020-07-12,0.19351
2020-07-13,0.9615
2020-07-14,0.26003
2020-07-15,0.30538
2020-07-16,0.26305
2020-07-17,0.25398
2020-07-18,0.19351
2020-07-19,0.16025
2020-07-20,0.24188
2020-07-21,0.2691
2020-07-22,0.23584
2020-07-23,0.25398
2020-07-24,0.24188
2020-07-25,0.1542
2020-07-26,0.17234
2020-07-27,5.95047
2020-07-28,12.12771
2020-07-29,14.25029
2020-07-30,5.27923
2020-07-31,2.57309
2020-08-01,1.71438
2020-08-02,1.45133
2020-08-03,1.68415
2020-08-04,1.91092
2020-08-05,2.04396
2020-08-06,1.61158
2020-08-07,1.5118
2020-08-08,1.16106
2020-08-09,1.48459
2020-08-10,1.62065
2020-08-11,1.61158
2020-08-12,1.40295
2020-08-13,1.60856
2020-08-14,1.48157
2020-08-15,1.33946
2020-08-16,1.5239
2020-08-17,1.69624
2020-08-18,1.67205
2020-08-19,1.6267
2020-08-20,1.44528
2020-08-21,1.91999
2020-08-22,1.7809
2020-08-23,2.10141
2020-08-24,2.42191
2020-08-25,2.52169
2020-08-26,2.4975
2020-08-27,2.22538
2020-08-28,2.04396
2020-08-29,1.97744
2020-08-30,2.40074
2020-08-31,2.52774
2020-09-01,2.28585
2020-09-02,2.36144
2020-09-03,2.3312
2020-09-04,2.51867
2020-09-05,2.3947
2020-09-06,2.50355
2020-09-07,2.11955
2020-09-08,2.05303
2020-09-09,2.7666
2020-09-10,2.27375
2020-09-11,2.09536
2020-09-12,2.24352
2020-09-13,2.11653
2020-09-14,2.15886
2020-09-15,2.42796
2020-09-16,2.28887
2020-09-17,2.2798
2020-09-18,2.03489
2020-09-19,2.13164
2020-09-20,1.97442
2020-09-21,2.41889
2020-09-22,2.19816
2020-09-23,2.24956
2020-09-24,1.99558
2020-09-25,2.14978
2020-09-26,2.0107
2020-09-27,1.98651
2020-09-28,1.98953
2020-09-29,1.88975
2020-09-30,1.87464
2020-10-01,1.82021
2020-10-02,1.97442
2020-10-03,1.91697
2020-10-04,2.05908
2020-10-05,2.00163
2020-10-06,2.01372
2020-10-07,2.10745
2020-10-08,2.21933
2020-10-09,2.79079
2020-10-10,2.30399
2020-10-11,2.34027
2020-10-12,2.55495
2020-10-13,2.38563
2020-10-14,2.31306
2020-10-15,2.2163
2020-10-16,1.95325
2020-10-17,1.82323
2020-10-18,2.10745
2020-10-19,2.03791
2020-10-20,1.98349
2020-10-21,1.91092
2020-10-22,2.09536
2020-10-23,1.86254
2020-10-24,2.14071
2020-10-25,2.01372
2020-10-26,2.22235
2020-10-27,2.09536
2020-10-28,2.00767
2020-10-29,2.15281
2020-10-30,1.97744
2020-10-31,1.78393
2020-11-01,2.02279
2020-11-02,1.91394
2020-11-03,1.94116
2020-11-04,1.88975
2020-11-05,1.97744
2020-11-06,1.86557
2020-11-07,2.13164
2020-11-08,1.99256
2020-11-09,2.14374
2020-11-10,2.10141
2020-11-11,2.60635
2020-11-12,2.30097
2020-11-13,2.04698
2020-11-14,1.86557
2020-11-15,1.98046
2020-11-16,1.9593
2020-11-17,2.31911
2020-11-18,2.51262
2020-11-19,2.18002
2020-11-20,2.08327
2020-11-21,2.21328
2020-11-22,2.41889
2020-11-23,2.57611
2020-11-24,2.61542
2020-11-25,2.49145
2020-11-26,2.57611
2020-11-27,2.35237
2020-11-28,2.29794
2020-11-29,2.54285
2020-11-30,2.67287
2020-12-01,2.7666
2020-12-02,2.92081
2020-12-03,2.53076
2020-12-04,2.59123
2020-12-05,2.78777
2020-12-06,3.42877
2020-12-07,3.28666
2020-12-08,3.06292
2020-12-09,2.84522
2020-12-10,2.70311
2020-12-11,2.64868
2020-12-12,2.66078
2020-12-13,2.91778
2020-12-14,2.93895
2020-12-15,2.66682
2020-12-16,3.67369
2020-12-17,3.22922
2020-12-18,3.15967
2020-12-19,2.88452
2020-12-20,3.0992
2020-12-21,5.35784
2020-12-22,7.15387
2020-12-23,3.67973
2020-12-24,2.88452
2020-12-25,2.93592
2020-12-26,2.85731
2020-12-27,4.51727
2020-12-28,3.54972
2020-12-29,3.15665
2020-12-30,3.63438
2020-12-31,3.37435
2021-01-01,3.54972
2021-01-02,3.55274
2021-01-03,4.10002
2021-01-04,3.76742
2021-01-05,3.60112
2021-01-06,3.6374
2021-01-07,3.94279
2021-01-08,3.82789
2021-01-09,4.1998
2021-01-10,4.36609
2021-01-11,3.79765
2021-01-12,3.94279
2021-01-13,3.76742
2021-01-14,4.71381
2021-01-15,4.35702
2021-01-16,4.27539
2021-01-17,4.14235
2021-01-18,4.16654
2021-01-19,4.25724
2021-01-20,4.04559
2021-01-21,4.39935
2021-01-22,4.14537
2021-01-23,4.08792
2021-01-24,4.11816
2021-01-25,4.42657
2021-01-26,4.02745
2021-01-27,4.01535
2021-01-28,4.27236
2021-01-29,4.42959
2021-01-30,3.83696
2021-01-31,4.02443
2021-02-01,4.90732
2021-02-02,5.30644
2021-02-03,5.18549
2021-02-04,5.20968
2021-02-05,4.94965
2021-02-06,4.65334
2021-02-07,4.72893
2021-02-08,4.82266
2021-02-09,5.77812
2021-02-10,5.42738
2021-02-11,5.8265
2021-02-12,7.12363
2021-02-13,8.01257
2021-02-14,17.94212
2021-02-15,12.88664
2021-02-16,11.69231
2021-02-17,14.51334
2021-02-18,25.32277
2021-02-19,17.54905
2021-02-20,20.40939
2021-02-21,22.65896
2021-02-22,26.63199
2021-02-23,19.56883
2021-02-24,17.10156
2021-02-25,16.86269
2021-02-26,18.5922
2021-02-27,18.0419
2021-02-28,16.82943
2021-03-01,18.41683
2021-03-02,19.12738
2021-03-03,22.07238
2021-03-04,21.23484
2021-03-05,26.38708
2021-03-06,29.75236
2021-03-07,28.44918
2021-03-08,31.62398
2021-03-09,36.16847
2021-03-10,41.3963
2021-03-11,42.73576
2021-03-12,37.48979
2021-03-13,48.18129
2021-03-14,67.78036
2021-03-15,81.85528
2021-03-16,78.10298
2021-03-17,100.0
2021-03-18,55.31702
2021-03-19,45.68379
2021-03-20,50.42179
2021-03-21,43.79705
2021-03-22,56.38738
2021-03-23,46.479
2021-03-24,39.69098
2021-03-25,35.53049
2021-03-26,36.05055
2021-03-27,33.55607
2021-03-28,40.06591
2021-03-29,43.6247
2021-03-30,43.48562
2021-03-31,44.10244
2021-04-01,49.06721
2021-04-02,59.27191
2021-04-03,55.61938
2021-04-04,51.74311
2021-04-05,64.12783
