date,SCHD주가
2020-09-12,0.73891
2021-01-13,0.61576
2021-03-07,0.61576
2021-03-09,0.61576
2021-03-30,1.10837
2021-05-17,0.86206
2021-05-24,0.86206
2021-05-29,0.86206
2021-06-02,0.61576
2021-06-17,0.61576
2021-07-05,0.73891
2021-08-01,1.47783
2021-08-13,0.61576
2021-09-16,0.73891
2021-09-17,0.73891
2021-09-24,0.61576
2021-10-01,0.73891
2021-10-05,0.61576
2021-10-13,0.61576
2021-11-08,0.61576
2021-12-08,2.21674
2021-12-09,3.57142
2021-12-10,2.83251
2021-12-11,1.35467
2021-12-12,0.73891
2021-12-13,2.83251
2021-12-14,2.09359
2021-12-15,0.86206
2021-12-16,1.84729
2021-12-17,0.61576
2021-12-19,0.86206
2021-12-20,0.73891
2021-12-21,1.10837
2021-12-22,1.23152
2021-12-23,0.86206
2021-12-24,0.73891
2021-12-26,0.61576
2021-12-28,0.73891
2021-12-29,0.86206
2022-01-04,0.98522
2022-01-05,0.73891
2022-01-07,0.73891
2022-01-09,0.61576
2022-01-10,0.61576
2022-01-12,1.23152
2022-01-13,0.73891
2022-01-14,0.86206
2022-01-15,1.35467
2022-01-16,0.98522
2022-01-17,1.72413
2022-01-19,0.98522
2022-01-20,0.98522
2022-01-21,1.72413
2022-01-22,1.97044
2022-01-23,0.73891
2022-01-24,0.61576
2022-01-25,1.23152
2022-01-26,2.3399
2022-01-27,1.72413
2022-01-28,1.60098
2022-01-29,1.23152
2022-02-01,1.10837
2022-02-02,4.06403
2022-02-03,3.69458
2022-02-04,2.83251
2022-02-05,3.32512
2022-02-06,1.23152
2022-02-07,1.97044
2022-02-08,2.09359
2022-02-09,2.46305
2022-02-10,4.18719
2022-02-11,2.3399
2022-02-12,4.31034
2022-02-13,2.95566
2022-02-14,2.3399
2022-02-15,1.35467
2022-02-16,1.60098
2022-02-17,2.5862
2022-02-18,2.21674
2022-02-19,1.72413
2022-02-20,1.72413
2022-02-21,0.61576
2022-02-22,2.83251
2022-02-23,3.20197
2022-02-24,1.97044
2022-02-25,1.97044
2022-02-26,2.09359
2022-02-27,0.73891
2022-03-01,1.35467
2022-03-02,1.97044
2022-03-03,3.69458
2022-03-04,2.95566
2022-03-05,2.5862
2022-03-06,0.73891
2022-03-07,0.73891
2022-03-08,1.35467
2022-03-09,0.73891
2022-03-10,1.72413
2022-03-11,3.20197
2022-03-12,2.83251
2022-03-14,0.86206
2022-03-15,3.32512
2022-03-16,2.95566
2022-03-17,2.46305
2022-03-18,2.46305
2022-03-19,1.35467
2022-03-20,2.21674
2022-03-21,1.10837
2022-03-22,1.84729
2022-03-23,1.84729
2022-03-24,2.70935
2022-03-25,1.72413
2022-03-26,3.07881
2022-03-27,2.09359
2022-03-28,2.70935
2022-03-29,4.18719
2022-03-30,3.57142
2022-03-31,3.44827
2022-04-01,4.06403
2022-04-02,2.95566
2022-04-03,1.84729
2022-04-04,3.69458
2022-04-05,3.81773
2022-04-06,4.06403
2022-04-07,4.31034
2022-04-08,5.04926
2022-04-09,1.84729
2022-04-10,2.21674
2022-04-11,1.72413
2022-04-12,2.70935
2022-04-13,2.5862
2022-04-14,2.95566
2022-04-15,3.44827
2022-04-16,2.3399
2022-04-17,1.84729
2022-04-18,1.84729
2022-04-19,2.09359
2022-04-20,1.47783
2022-04-21,2.5862
2022-04-22,2.95566
2022-04-23,2.70935
2022-04-24,1.97044
2022-04-25,3.81773
2022-04-26,4.55665
2022-04-27,3.94088
2022-04-28,3.20197
2022-04-29,3.44827
2022-04-30,2.83251
2022-05-01,1.10837
2022-05-02,1.35467
2022-05-03,4.31034
2022-05-04,2.21674
2022-05-05,6.77339
2022-05-06,6.52709
2022-05-07,3.94088
2022-05-08,4.18719
2022-05-09,5.66502
2022-05-10,8.99014
2022-05-11,7.38916
2022-05-12,10.96059
2022-05-13,9.3596
2022-05-14,4.9261
2022-05-15,4.6798
2022-05-16,3.81773
2022-05-17,7.38916
2022-05-18,8.49753
2022-05-19,7.75862
2022-05-20,7.75862
2022-05-21,5.91133
2022-05-22,2.5862
2022-05-23,2.46305
2022-05-24,4.6798
2022-05-25,6.77339
2022-05-26,3.81773
2022-05-27,3.20197
2022-05-28,2.95566
2022-05-29,1.47783
2022-05-30,2.70935
2022-05-31,3.20197
2022-06-01,3.69458
2022-06-02,4.06403
2022-06-03,5.04926
2022-06-04,2.09359
2022-06-05,0.86206
2022-06-06,3.07881
2022-06-07,4.55665
2022-06-08,4.18719
2022-06-09,3.69458
2022-06-10,2.95566
2022-06-11,3.07881
2022-06-13,3.07881
2022-06-14,5.04926
2022-06-15,4.31034
2022-06-16,4.43349
2022-06-17,5.91133
2022-06-18,3.07881
2022-06-19,1.47783
2022-06-20,1.60098
2022-06-21,1.23152
2022-06-22,3.94088
2022-06-23,3.94088
2022-06-24,2.70935
2022-06-25,2.70935
2022-06-26,2.3399
2022-06-27,1.60098
2022-06-28,4.31034
2022-06-29,3.94088
2022-06-30,3.20197
2022-07-01,3.57142
2022-07-02,3.69458
2022-07-03,3.57142
2022-07-04,3.07881
2022-07-05,4.31034
2022-07-06,5.04926
2022-07-07,4.9261
2022-07-08,5.54187
2022-07-09,2.3399
2022-07-10,1.60098
2022-07-11,3.07881
2022-07-12,5.17241
2022-07-13,5.17241
2022-07-14,7.38916
2022-07-15,5.17241
2022-07-16,3.44827
2022-07-17,2.21674
2022-07-18,3.44827
2022-07-19,3.57142
2022-07-20,3.94088
2022-07-21,5.54187
2022-07-22,3.57142
2022-07-23,3.94088
2022-07-24,2.5862
2022-07-25,2.09359
2022-07-26,5.04926
2022-07-27,4.31034
2022-07-28,4.55665
2022-07-29,4.80295
2022-07-30,3.57142
2022-07-31,2.3399
2022-08-01,2.95566
2022-08-02,6.89655
2022-08-03,7.0197
2022-08-04,6.03448
2022-08-05,6.65024
2022-08-06,3.44827
2022-08-07,2.95566
2022-08-08,4.80295
2022-08-09,6.28078
2022-08-10,5.66502
2022-08-11,7.0197
2022-08-12,6.52709
2022-08-13,4.43349
2022-08-14,2.5862
2022-08-15,4.06403
2022-08-16,7.63546
2022-08-17,8.62068
2022-08-18,9.1133
2022-08-19,11.08374
2022-08-20,7.266
2022-08-21,4.9261
2022-08-22,5.04926
2022-08-23,10.09852
2022-08-24,12.19211
2022-08-25,11.33004
2022-08-26,8.62068
2022-08-27,10.96059
2022-08-28,7.14285
2022-08-29,15.39408
2022-08-30,14.16256
2022-08-31,15.14778
2022-09-01,14.28571
2022-09-02,13.42364
2022-09-03,9.60591
2022-09-04,6.40394
2022-09-05,9.23645
2022-09-06,11.08374
2022-09-07,13.30049
2022-09-08,9.3596
2022-09-09,8.62068
2022-09-10,7.51231
2022-09-11,3.94088
2022-09-12,6.03448
2022-09-13,12.93103
2022-09-14,19.58128
2022-09-15,16.25615
2022-09-16,14.0394
2022-09-17,11.20689
2022-09-18,5.41871
2022-09-19,9.97536
2022-09-20,10.59113
2022-09-21,10.96059
2022-09-22,12.80788
