date,다이렉트자동차보험비교견적
2020-03-20,21.12149
2020-03-21,13.27102
2020-03-22,9.53271
2020-03-23,20.56074
2020-03-24,21.49532
2020-03-25,17.57009
2020-03-26,18.8785
2020-03-27,17.19626
2020-03-28,9.34579
2020-03-29,12.71028
2020-03-30,31.7757
2020-03-31,34.76635
2020-04-01,25.04672
2020-04-02,20.0
2020-04-03,17.38317
2020-04-04,12.33644
2020-04-05,14.01869
2020-04-06,25.9813
2020-04-07,21.12149
2020-04-08,22.4299
2020-04-09,16.44859
2020-04-10,19.06542
2020-04-11,9.71962
2020-04-12,9.90654
2020-04-13,22.99065
2020-04-14,21.30841
2020-04-15,16.26168
2020-04-16,25.79439
2020-04-17,20.74766
2020-04-18,8.97196
2020-04-19,11.02803
2020-04-20,21.86915
2020-04-21,24.85981
2020-04-22,24.11214
2020-04-23,19.43925
2020-04-24,19.81308
2020-04-25,10.09345
2020-04-26,10.09345
2020-04-27,25.04672
2020-04-28,24.11214
2020-04-29,19.62616
2020-04-30,11.58878
2020-05-01,11.96261
2020-05-02,8.22429
2020-05-03,9.34579
2020-05-04,25.60747
2020-05-05,18.50467
2020-05-06,30.84112
2020-05-07,30.6542
2020-05-08,20.37383
2020-05-09,14.76635
2020-05-10,16.07476
2020-05-11,30.84112
2020-05-12,31.21495
2020-05-13,26.35514
2020-05-14,25.79439
2020-05-15,24.29906
2020-05-16,12.33644
2020-05-17,13.08411
2020-05-18,29.34579
2020-05-19,28.03738
2020-05-20,26.35514
2020-05-21,24.29906
2020-05-22,19.25233
2020-05-23,10.28037
2020-05-24,14.01869
2020-05-25,26.16822
2020-05-26,23.92523
2020-05-27,24.48598
2020-05-28,21.12149
2020-05-29,16.82242
2020-05-30,11.7757
2020-05-31,14.01869
2020-06-01,20.93457
2020-06-02,33.64485
2020-06-03,26.91588
2020-06-04,17.757
2020-06-05,17.757
2020-06-06,7.47663
2020-06-07,10.84112
2020-06-08,23.36448
2020-06-09,32.33644
