date,진료기록지
2020-11-07,18.3908
2020-11-08,10.91954
2020-11-09,35.63218
2020-11-10,39.08045
2020-11-11,34.48275
2020-11-12,30.45977
2020-11-13,33.90804
2020-11-14,18.96551
2020-11-15,7.47126
2020-11-16,36.20689
2020-11-17,43.10344
2020-11-18,39.65517
2020-11-19,43.67816
2020-11-20,38.50574
2020-11-21,14.94252
2020-11-22,6.89655
2020-11-23,38.50574
2020-11-24,36.20689
2020-11-25,31.03448
2020-11-26,34.48275
2020-11-27,36.7816
2020-11-28,10.34482
2020-11-29,4.02298
2020-11-30,34.48275
2020-12-01,36.7816
2020-12-02,32.75862
2020-12-03,39.08045
2020-12-04,35.63218
2020-12-05,8.04597
2020-12-06,4.5977
2020-12-07,43.67816
2020-12-08,51.14942
2020-12-09,47.70114
2020-12-10,24.13793
2020-12-11,30.45977
2020-12-12,10.91954
2020-12-13,8.04597
2020-12-14,35.63218
2020-12-15,33.90804
2020-12-16,33.90804
2020-12-17,25.86206
2020-12-18,31.60919
2020-12-19,12.64367
2020-12-20,9.1954
2020-12-21,49.42528
2020-12-22,38.50574
2020-12-23,48.85057
2020-12-24,31.03448
2020-12-25,6.89655
2020-12-26,8.62068
2020-12-27,10.34482
2020-12-28,46.55172
2020-12-29,31.03448
2020-12-30,41.95402
2020-12-31,22.9885
2021-01-01,9.1954
2021-01-02,10.91954
2021-01-03,7.47126
2021-01-04,39.08045
2021-01-05,27.5862
2021-01-06,28.73563
2021-01-07,37.35632
2021-01-08,21.83908
2021-01-09,9.77011
2021-01-10,10.34482
2021-01-11,45.97701
2021-01-12,39.08045
2021-01-13,39.65517
2021-01-14,27.5862
2021-01-15,24.13793
2021-01-16,9.77011
2021-01-17,5.17241
2021-01-18,41.37931
2021-01-19,42.52873
2021-01-20,38.50574
2021-01-21,39.65517
2021-01-22,30.45977
2021-01-23,12.06896
2021-01-24,13.7931
2021-01-25,39.65517
2021-01-26,52.87356
2021-01-27,38.50574
2021-01-28,29.88505
2021-01-29,27.5862
2021-01-30,12.64367
2021-01-31,11.49425
2021-02-01,43.67816
2021-02-02,45.40229
2021-02-03,45.40229
2021-02-04,43.10344
2021-02-05,40.80459
2021-02-06,12.64367
2021-02-07,12.64367
2021-02-08,45.40229
2021-02-09,43.67816
2021-02-10,24.71264
2021-02-11,5.74712
2021-02-12,3.44827
2021-02-13,4.02298
2021-02-14,12.06896
2021-02-15,39.65517
2021-02-16,32.75862
2021-02-17,38.50574
2021-02-18,31.60919
2021-02-19,38.50574
2021-02-20,17.24137
2021-02-21,9.77011
2021-02-22,39.65517
2021-02-23,40.22988
2021-02-24,41.95402
2021-02-25,40.80459
2021-02-26,26.43678
2021-02-27,16.09195
2021-02-28,4.02298
2021-03-01,15.51724
2021-03-02,24.71264
2021-03-03,36.20689
2021-03-04,48.85057
2021-03-05,42.52873
2021-03-06,11.49425
2021-03-07,12.06896
2021-03-08,36.7816
2021-03-09,41.95402
2021-03-10,45.40229
2021-03-11,44.82758
2021-03-12,36.20689
2021-03-13,16.09195
2021-03-14,6.89655
2021-03-15,37.35632
2021-03-16,39.08045
2021-03-17,38.50574
2021-03-18,40.22988
2021-03-19,37.35632
2021-03-20,16.66666
2021-03-21,10.91954
2021-03-22,37.93103
2021-03-23,37.93103
2021-03-24,50.57471
2021-03-25,38.50574
2021-03-26,44.25287
2021-03-27,19.54022
2021-03-28,8.04597
2021-03-29,45.97701
2021-03-30,41.95402
2021-03-31,43.67816
2021-04-01,40.80459
2021-04-02,29.31034
2021-04-03,22.9885
2021-04-04,8.62068
2021-04-05,27.5862
2021-04-06,32.1839
2021-04-07,27.5862
2021-04-08,36.20689
2021-04-09,32.1839
2021-04-10,21.26436
2021-04-11,10.34482
2021-04-12,48.27586
2021-04-13,29.88505
2021-04-14,33.90804
2021-04-15,36.7816
2021-04-16,41.95402
2021-04-17,13.7931
2021-04-18,8.62068
2021-04-19,38.50574
2021-04-20,44.25287
2021-04-21,35.63218
2021-04-22,30.45977
2021-04-23,31.03448
2021-04-24,11.49425
2021-04-25,8.04597
2021-04-26,34.48275
2021-04-27,33.90804
2021-04-28,36.7816
2021-04-29,25.86206
2021-04-30,23.56321
2021-05-01,9.77011
2021-05-02,10.34482
2021-05-03,41.95402
2021-05-04,43.67816
2021-05-05,8.62068
2021-05-06,38.50574
2021-05-07,29.31034
2021-05-08,11.49425
2021-05-09,8.62068
2021-05-10,51.72413
2021-05-11,37.93103
2021-05-12,32.1839
2021-05-13,29.88505
2021-05-14,27.5862
2021-05-15,10.91954
2021-05-16,3.44827
2021-05-17,47.70114
2021-05-18,37.35632
2021-05-19,8.62068
2021-05-20,43.10344
2021-05-21,32.1839
2021-05-22,13.7931
2021-05-23,10.34482
2021-05-24,32.75862
2021-05-25,34.48275
2021-05-26,33.33333
