date,3월상장주
2020-03-20,1.54867
2020-03-23,2.21238
2020-03-24,1.10619
2020-03-26,1.10619
2020-03-27,1.32743
2020-03-29,1.32743
2020-03-31,1.32743
2020-05-13,3.53982
2021-01-22,1.10619
2021-02-03,1.54867
2021-02-04,2.43362
2021-02-06,1.99115
2021-02-07,2.21238
2021-02-08,10.39823
2021-02-09,7.30088
2021-02-10,10.17699
2021-02-11,4.64601
2021-02-12,2.8761
2021-02-13,4.64601
2021-02-14,6.63716
2021-02-15,15.04424
2021-02-16,12.38938
2021-02-17,7.52212
2021-02-18,9.07079
2021-02-19,6.41592
2021-02-20,4.20353
2021-02-21,15.04424
2021-02-22,24.33628
2021-02-23,25.88495
2021-02-24,43.58407
2021-02-25,33.62831
2021-02-26,27.43362
2021-02-27,14.60176
2021-02-28,15.26548
2021-03-01,22.78761
2021-03-02,44.69026
2021-03-03,28.09734
2021-03-04,19.02654
2021-03-05,14.15929
2021-03-06,7.07964
2021-03-07,10.17699
2021-03-08,14.38053
2021-03-09,17.03539
2021-03-10,11.9469
2021-03-11,18.58407
2021-03-12,17.25663
2021-03-13,4.20353
2021-03-14,6.8584
2021-03-15,18.36283
2021-03-16,13.71681
2021-03-17,14.15929
2021-03-18,21.23893
2021-03-19,14.823
2021-03-20,8.18584
2021-03-21,4.86725
2021-03-22,16.15044
2021-03-23,14.38053
2021-03-24,19.02654
2021-03-25,9.51327
2021-03-26,11.50442
2021-03-27,3.9823
2021-03-28,5.53097
2021-03-29,7.52212
2021-03-30,5.30973
2021-03-31,5.97345
2021-04-01,3.9823
2021-04-02,5.30973
2021-04-03,2.43362
2021-04-05,1.10619
2021-04-06,1.32743
2021-04-07,2.21238
2021-04-13,1.32743
2021-04-18,1.99115
2021-04-19,1.76991
2021-04-20,1.32743
2021-04-21,4.42477
2021-04-22,4.20353
2021-04-23,2.65486
2021-04-24,1.32743
2021-04-25,1.10619
2021-04-27,1.54867
2021-04-28,1.54867
2021-04-29,1.76991
2021-05-06,1.76991
2021-05-11,1.10619
2021-07-07,1.32743
2021-07-28,1.10619
2021-08-12,1.10619
2021-09-07,1.10619
2022-01-24,1.32743
2022-01-25,1.10619
2022-01-27,1.99115
2022-01-28,2.43362
2022-01-29,1.99115
2022-01-30,1.32743
2022-02-01,1.32743
2022-02-03,2.8761
2022-02-04,2.8761
2022-02-05,1.10619
2022-02-06,2.21238
2022-02-07,5.30973
2022-02-08,3.31858
2022-02-10,1.76991
2022-02-11,2.21238
2022-02-13,1.54867
2022-02-14,1.32743
2022-02-15,1.32743
2022-02-16,1.54867
2022-02-17,2.43362
2022-02-18,2.65486
2022-02-19,3.9823
2022-02-20,3.53982
2022-02-21,4.42477
2022-02-22,2.65486
2022-02-23,10.39823
2022-02-24,5.53097
2022-02-25,5.53097
2022-02-26,2.65486
2022-02-27,3.9823
2022-02-28,13.93805
2022-03-01,10.8407
2022-03-02,20.79646
2022-03-03,57.07964
2022-03-04,30.53097
2022-03-05,14.15929
2022-03-06,14.38053
2022-03-07,36.28318
2022-03-08,20.13274
2022-03-09,7.9646
2022-03-10,21.46017
2022-03-11,19.69026
2022-03-12,8.62831
2022-03-13,15.9292
2022-03-14,24.55752
2022-03-15,17.25663
2022-03-16,18.14159
2022-03-17,23.67256
2022-03-18,41.37168
2022-03-19,7.07964
2022-03-20,4.20353
2022-03-21,17.03539
2022-03-22,15.70796
2022-03-23,12.38938
2022-03-24,12.61061
2022-03-25,14.38053
2022-03-26,4.64601
2022-03-27,2.65486
2022-03-28,8.18584
2022-03-29,7.74336
2022-03-30,3.09734
2022-03-31,7.9646
2022-04-01,1.54867
2022-04-03,1.10619
2022-04-04,2.65486
2022-04-05,2.65486
2022-04-06,4.64601
2022-04-07,2.43362
2022-04-12,1.99115
2022-04-13,1.32743
2022-04-14,1.76991
2022-04-21,1.32743
2023-02-02,1.10619
2023-02-04,1.32743
2023-02-07,2.21238
2023-02-08,1.10619
2023-02-09,1.10619
2023-02-11,1.32743
2023-02-12,1.76991
2023-02-13,1.99115
2023-02-14,1.76991
2023-02-15,1.54867
2023-02-16,3.76106
2023-02-17,5.53097
2023-02-18,3.9823
2023-02-19,2.21238
2023-02-20,5.08849
2023-02-21,4.86725
2023-02-22,11.72566
2023-02-23,10.39823
2023-02-24,8.84955
2023-02-25,9.95575
2023-02-26,10.61946
2023-02-27,21.46017
2023-02-28,28.9823
2023-03-01,33.40707
2023-03-02,89.823
2023-03-03,63.27433
2023-03-04,20.57522
2023-03-05,22.34513
2023-03-06,36.72566
2023-03-07,42.47787
2023-03-08,26.32743
2023-03-09,23.8938
2023-03-10,16.59292
2023-03-11,11.50442
2023-03-12,11.72566
2023-03-13,24.77876
2023-03-14,19.02654
2023-03-15,23.00884
2023-03-16,24.77876
2023-03-17,21.68141
2023-03-18,6.63716
2023-03-19,8.40707
2023-03-20,21.01769
2023-03-21,18.14159
2023-03-22,15.70796
2023-03-23,12.61061
2023-03-24,7.9646
2023-03-25,4.20353
2023-03-26,5.53097
2023-03-27,13.05309
2023-03-28,13.05309
2023-03-29,20.79646
2023-03-30,18.58407
2023-03-31,7.52212
2023-04-01,4.86725
2023-04-02,2.8761
2023-04-03,4.20353
2023-04-04,5.53097
2023-04-05,2.43362
2023-04-06,3.76106
2023-04-07,1.99115
2023-04-08,1.54867
2023-04-09,1.54867
2023-04-10,1.54867
2023-04-11,1.76991
2023-04-12,1.54867
2023-04-13,1.54867
2023-04-14,2.21238
2023-04-17,1.10619
2023-04-18,1.32743
2023-04-24,1.32743
2023-04-28,1.10619
2023-05-12,1.10619
2023-05-19,1.10619
2023-05-21,1.32743
2024-01-24,2.21238
2024-01-26,2.21238
2024-01-27,1.54867
2024-02-01,1.10619
2024-02-05,1.76991
2024-02-06,1.76991
2024-02-07,1.76991
2024-02-08,3.53982
2024-02-09,2.43362
2024-02-10,1.99115
2024-02-12,1.76991
2024-02-13,8.40707
2024-02-14,4.64601
2024-02-15,3.76106
2024-02-16,7.74336
2024-02-17,6.41592
2024-02-18,4.86725
2024-02-19,10.39823
2024-02-20,7.07964
2024-02-21,9.07079
2024-02-22,9.95575
2024-02-23,17.47787
2024-02-24,6.8584
2024-02-25,9.73451
2024-02-26,11.9469
2024-02-27,21.90265
2024-02-28,17.03539
2024-02-29,45.57522
2024-03-01,24.33628
2024-03-02,25.22123
