date,씨아이에스주가
2020-03-20,2.63668
2020-03-21,0.34623
2020-03-22,0.31579
2020-03-23,2.39318
2020-03-24,2.4883
2020-03-25,2.80409
2020-03-26,2.11543
2020-03-27,2.00509
2020-03-28,0.44895
2020-03-29,0.50222
2020-03-30,2.08499
2020-03-31,3.25305
2020-04-01,2.68614
2020-04-02,2.59863
2020-04-03,3.49655
2020-04-04,0.37286
2020-04-05,0.49461
2020-04-06,3.24163
2020-04-07,3.38621
2020-04-08,5.66906
2020-04-09,5.65764
2020-04-10,5.41795
2020-04-11,1.2099
2020-04-12,1.14522
2020-04-13,4.45915
2020-04-14,4.34881
2020-04-15,2.04695
2020-04-16,14.73956
2020-04-17,14.75097
2020-04-18,3.12749
2020-04-19,2.64809
2020-04-20,11.12886
2020-04-21,7.71601
2020-04-22,7.64752
2020-04-23,7.93668
2020-04-24,5.58916
2020-04-25,0.62397
2020-04-26,0.57451
2020-04-27,6.09899
2020-04-28,5.35707
2020-04-29,4.72168
2020-04-30,0.71148
2020-05-01,0.60114
2020-05-02,0.30057
2020-05-03,0.33101
2020-05-04,4.14716
2020-05-05,0.487
2020-05-06,4.69505
2020-05-07,4.96138
2020-05-08,4.39447
2020-05-09,0.33862
2020-05-10,0.30437
2020-05-11,4.16238
2020-05-12,3.32534
2020-05-13,5.69189
2020-05-14,6.88277
2020-05-15,6.09138
2020-05-16,0.89791
2020-05-17,0.52124
2020-05-18,6.76102
2020-05-19,7.89103
2020-05-20,8.00136
2020-05-21,8.75851
2020-05-22,6.5822
2020-05-23,0.82562
2020-05-24,0.62778
2020-05-25,6.46425
2020-05-26,8.25628
2020-05-27,12.64695
2020-05-28,11.01472
2020-05-29,7.91766
2020-05-30,1.61321
2020-05-31,1.31263
2020-06-01,8.61012
2020-06-02,7.3089
2020-06-03,7.60567
2020-06-04,7.87961
2020-06-05,6.59742
2020-06-06,0.87509
2020-06-07,0.9664
2020-06-08,6.31586
2020-06-09,6.96267
2020-06-10,6.28543
2020-06-11,7.53338
2020-06-12,6.73819
2020-06-13,1.43819
2020-06-14,1.25556
2020-06-15,6.38435
2020-06-16,6.1827
2020-06-17,5.98105
2020-06-18,5.50926
2020-06-19,6.06475
2020-06-20,0.93216
2020-06-21,0.84084
2020-06-22,6.61263
2020-06-23,6.00007
2020-06-24,6.17889
2020-06-25,5.00323
2020-06-26,5.35327
2020-06-27,0.53646
2020-06-28,0.41471
2020-06-29,4.29935
2020-06-30,4.06726
2020-07-01,4.85104
2020-07-02,5.86691
2020-07-03,5.59296
2020-07-04,0.53646
2020-07-05,0.50983
2020-07-06,4.71407
2020-07-07,5.5397
2020-07-08,6.67731
2020-07-09,5.32663
2020-07-10,4.23467
2020-07-11,0.59734
2020-07-12,0.62397
2020-07-13,7.05398
2020-07-14,6.46044
2020-07-15,5.3799
2020-07-16,6.38055
2020-07-17,5.79842
2020-07-18,0.67343
2020-07-19,0.65822
2020-07-20,6.41098
2020-07-21,7.24422
2020-07-22,4.67602
2020-07-23,4.87387
2020-07-24,3.81995
2020-07-25,0.41852
2020-07-26,0.30818
2020-07-27,4.78636
2020-07-28,4.24989
2020-07-29,3.93029
2020-07-30,3.86181
2020-07-31,4.34501
2020-08-01,0.39569
2020-08-02,0.39569
2020-08-03,4.38306
2020-08-04,4.34881
2020-08-05,4.64939
2020-08-06,6.73058
2020-08-07,8.44652
2020-08-08,1.39633
2020-08-09,1.19849
2020-08-10,18.76878
2020-08-11,17.36864
2020-08-12,11.66153
2020-08-13,24.24
2020-08-14,20.21839
2020-08-15,3.11988
2020-08-16,2.83072
2020-08-17,3.89605
2020-08-18,17.6578
2020-08-19,17.49419
2020-08-20,15.27603
2020-08-21,12.89807
2020-08-22,1.82247
2020-08-23,1.5295
2020-08-24,13.94817
2020-08-25,12.23224
2020-08-26,17.03382
2020-08-27,16.57725
2020-08-28,13.99764
2020-08-29,1.65506
2020-08-30,1.6931
2020-08-31,11.88981
2020-09-01,12.32355
2020-09-02,10.9158
2020-09-03,10.74078
2020-09-04,8.94114
2020-09-05,1.33165
2020-09-06,1.53331
2020-09-07,10.81307
2020-09-08,12.27409
2020-09-09,9.73252
2020-09-10,9.89993
2020-09-11,7.32412
2020-09-12,0.8066
2020-09-13,0.85226
2020-09-14,10.06353
2020-09-15,8.75851
2020-09-16,7.22139
2020-09-17,6.62024
2020-09-18,7.36597
2020-09-19,0.95498
2020-09-20,1.0501
