date,코인가격
2020-03-20,4.41898
2020-03-21,2.61865
2020-03-22,1.30932
2020-03-23,3.76432
2020-03-24,2.12765
2020-03-25,4.25531
2020-03-26,3.43698
2020-03-27,2.29132
2020-03-28,1.96399
2020-03-29,3.60065
2020-03-30,2.12765
2020-03-31,1.14566
2020-04-02,0.81833
2020-04-06,1.30932
2020-04-07,1.14566
2020-04-08,1.47299
2020-04-10,0.98199
2020-04-12,1.63666
2020-04-13,0.81833
2020-04-16,1.63666
2020-04-21,1.14566
2020-04-23,0.81833
2020-04-25,0.98199
2020-04-27,2.12765
2020-04-28,1.47299
2020-04-29,1.47299
2020-04-30,1.96399
2020-05-03,4.41898
2020-05-04,3.10965
2020-05-05,1.80032
2020-05-06,1.14566
2020-05-07,0.98199
2020-05-09,0.81833
2020-05-10,0.98199
2020-05-11,0.81833
2020-05-12,1.30932
2020-05-17,0.98199
2020-05-18,0.81833
2020-05-20,0.81833
2020-05-23,0.81833
2020-05-24,0.81833
2020-05-25,0.81833
2020-05-31,0.81833
2020-06-01,0.98199
2020-06-02,1.30932
2020-06-05,0.81833
2020-06-06,0.81833
2020-06-09,0.81833
2020-06-10,0.81833
2020-06-12,0.81833
2020-06-15,1.96399
2020-06-16,0.81833
2020-06-17,1.14566
2020-06-19,0.81833
2020-06-24,0.81833
2020-06-29,1.14566
2020-07-07,0.81833
2020-07-13,0.98199
2020-07-14,1.80032
2020-07-15,0.81833
2020-07-16,0.81833
2020-07-17,1.47299
2020-07-19,1.14566
2020-07-27,0.81833
2020-07-29,1.14566
2020-07-30,2.29132
2020-08-01,1.30932
2020-08-02,2.61865
2020-08-04,1.80032
2020-08-05,0.81833
2020-08-06,1.14566
2020-08-07,2.61865
2020-08-08,1.96399
2020-08-09,1.14566
2020-08-10,1.47299
2020-08-11,0.98199
2020-08-12,1.47299
2020-08-13,0.98199
2020-08-17,1.47299
2020-08-18,0.81833
2020-08-19,1.47299
2020-08-20,0.98199
2020-08-22,0.81833
2020-08-23,0.81833
2020-08-24,1.14566
2020-08-25,1.63666
