date,쿠팡주식
2020-03-20,0.19383
2020-03-21,0.12702
2020-03-22,0.22326
2020-03-23,0.24588
2020-03-24,0.20558
2020-03-25,0.20111
2020-03-26,0.18888
2020-03-27,0.16975
2020-03-28,0.13896
2020-03-29,0.13479
2020-03-30,0.19286
2020-03-31,0.49818
2020-04-01,0.31173
2020-04-02,0.21189
2020-04-03,0.28084
2020-04-04,0.14576
2020-04-05,0.13993
2020-04-06,0.17334
2020-04-07,0.13809
2020-04-08,0.13877
2020-04-09,0.10692
2020-04-10,0.10284
2020-04-11,0.0807
2020-04-12,0.24287
2020-04-13,0.22627
2020-04-14,1.22458
2020-04-15,1.00453
2020-04-16,0.44846
2020-04-17,0.34222
2020-04-18,0.20966
2020-04-19,0.24996
2020-04-20,0.24122
2020-04-21,0.20471
2020-04-22,3.88459
2020-04-23,1.83785
2020-04-24,0.29959
2020-04-25,0.20121
2020-04-26,0.20675
2020-04-27,0.24268
2020-04-28,0.18956
2020-04-29,0.21083
2020-04-30,0.13721
2020-05-01,0.08817
2020-05-02,0.06632
2020-05-03,0.08108
2020-05-04,0.09167
2020-05-05,0.09614
2020-05-06,0.11294
2020-05-07,0.11459
2020-05-08,0.08681
2020-05-09,0.06992
2020-05-10,0.08691
2020-05-11,0.09478
2020-05-12,0.15683
2020-05-13,0.11779
2020-05-14,0.11954
2020-05-15,0.11731
2020-05-16,0.07419
2020-05-17,0.08118
2020-05-18,0.10828
2020-05-19,0.12061
2020-05-20,0.1412
2020-05-21,0.18072
2020-05-22,0.1108
2020-05-23,0.08507
2020-05-24,0.08254
2020-05-25,0.1984
2020-05-26,0.35319
2020-05-27,0.57752
2020-05-28,10.75208
2020-05-29,0.81351
2020-05-30,0.33853
2020-05-31,0.20053
2020-06-01,0.20024
2020-06-02,0.1712
2020-06-03,0.13848
2020-06-04,0.10682
2020-06-05,0.09594
2020-06-06,0.07759
2020-06-07,0.07351
2020-06-08,0.08439
2020-06-09,0.11449
2020-06-10,0.09798
2020-06-11,0.09245
2020-06-12,0.0804
2020-06-13,0.04836
2020-06-14,0.05049
2020-06-15,0.06137
2020-06-16,0.05409
2020-06-17,0.08167
2020-06-18,0.07603
2020-06-19,0.05855
2020-06-20,0.04282
2020-06-21,0.04069
2020-06-22,0.06079
2020-06-23,0.05875
2020-06-24,0.10633
2020-06-25,0.06584
2020-06-26,0.05117
2020-06-27,0.04059
2020-06-28,0.04195
2020-06-29,0.04447
2020-06-30,0.06195
2020-07-01,0.05923
2020-07-02,0.05001
2020-07-03,0.04739
2020-07-04,0.0369
2020-07-05,0.0469
2020-07-06,0.06642
2020-07-07,0.0737
2020-07-08,0.09041
2020-07-09,0.09876
2020-07-10,0.13139
2020-07-11,0.09759
2020-07-12,0.08526
2020-07-13,0.0807
2020-07-14,0.08458
2020-07-15,0.10021
2020-07-16,0.07642
2020-07-17,0.06817
2020-07-18,0.0602
2020-07-19,0.08497
2020-07-20,0.07497
2020-07-21,0.07982
2020-07-22,0.08429
2020-07-23,0.07982
2020-07-24,0.07866
2020-07-25,0.08448
2020-07-26,0.08672
2020-07-27,0.08497
2020-07-28,0.07516
2020-07-29,0.08594
2020-07-30,0.09283
2020-07-31,0.07759
2020-08-01,0.06273
2020-08-02,0.06438
2020-08-03,0.07934
2020-08-04,0.09954
2020-08-05,0.17276
2020-08-06,0.13187
2020-08-07,0.10954
2020-08-08,0.10556
2020-08-09,0.09555
2020-08-10,0.10934
2020-08-11,0.10196
2020-08-12,0.10818
2020-08-13,0.10478
2020-08-14,0.09652
2020-08-15,0.07701
2020-08-16,0.08856
2020-08-17,0.08332
2020-08-18,0.1141
2020-08-19,0.12556
2020-08-20,0.12478
2020-08-21,0.12566
2020-08-22,0.13207
2020-08-23,0.14877
2020-08-24,0.16246
2020-08-25,0.13993
2020-08-26,0.14052
2020-08-27,0.17373
2020-08-28,0.2319
2020-08-29,0.14042
2020-08-30,0.24122
2020-08-31,0.27191
2020-09-01,0.25666
2020-09-02,0.39058
2020-09-03,0.21704
2020-09-04,0.26657
2020-09-05,0.16052
2020-09-06,0.15062
2020-09-07,0.14867
2020-09-08,0.1243
2020-09-09,0.12342
2020-09-10,0.12857
2020-09-11,0.20578
2020-09-12,0.13042
2020-09-13,0.09827
2020-09-14,0.17101
2020-09-15,0.13459
2020-09-16,0.13226
2020-09-17,0.13236
2020-09-18,0.11391
2020-09-19,0.09643
2020-09-20,0.08138
2020-09-21,0.0972
2020-09-22,0.08235
2020-09-23,0.09876
2020-09-24,0.12537
2020-09-25,0.09167
2020-09-26,0.07108
2020-09-27,0.07098
2020-09-28,0.07681
2020-09-29,0.0705
2020-09-30,0.06516
2020-10-01,0.07108
2020-10-02,0.05778
2020-10-03,0.06341
2020-10-04,0.0804
2020-10-05,0.09419
2020-10-06,0.09963
