date,KODEX테슬라인컴프리미엄채권혼합액티브
2024-01-20,0.91463
2024-01-21,1.67682
2024-01-22,4.87804
2024-01-23,28.65853
2024-01-24,19.20731
2024-01-25,51.06707
2024-01-26,63.26219
2024-01-27,28.35365
2024-01-28,20.7317
2024-01-29,50.0
2024-01-30,47.25609
2024-01-31,34.75609
2024-02-01,37.80487
2024-02-02,44.81707
2024-02-03,16.61585
2024-02-04,20.12195
2024-02-05,42.68292
2024-02-06,42.53048
2024-02-07,39.78658
2024-02-08,34.75609
2024-02-09,12.5
2024-02-10,11.58536
2024-02-11,12.34756
2024-02-12,17.37804
2024-02-13,44.05487
2024-02-14,38.41463
2024-02-15,32.01219
2024-02-16,42.68292
2024-02-17,23.17073
2024-02-18,19.20731
2024-02-19,36.89024
2024-02-20,41.31097
2024-02-21,32.31707
2024-02-22,32.77439
2024-02-23,34.75609
2024-02-24,16.61585
2024-02-25,16.76829
2024-02-26,41.92073
2024-02-27,58.9939
2024-02-28,77.28658
2024-02-29,65.39634
2024-03-01,26.21951
2024-03-02,21.03658
2024-03-03,23.62804
2024-03-04,61.89024
2024-03-05,100.0
2024-03-06,78.65853
2024-03-07,71.34146
2024-03-08,65.09146
2024-03-09,18.75
2024-03-10,17.9878
2024-03-11,72.25609
2024-03-12,62.95731
2024-03-13,63.87195
2024-03-14,84.60365
2024-03-15,61.28048
2024-03-16,24.08536
2024-03-17,28.96341
2024-03-18,67.37804
2024-03-19,54.87804
2024-03-20,55.33536
