date,DART
2020-03-20,17.45113
2020-03-21,6.96611
2020-03-22,7.7461
2020-03-23,19.73731
2020-03-24,18.9618
2020-03-25,18.42836
2020-03-26,19.04249
2020-03-27,18.70181
2020-03-28,7.62954
2020-03-29,8.9116
2020-03-30,29.63062
2020-03-31,24.12587
2020-04-01,19.15008
2020-04-02,19.20387
2020-04-03,17.33458
2020-04-04,7.41438
2020-04-05,8.3154
2020-04-06,20.15868
2020-04-07,21.02833
2020-04-08,18.67939
2020-04-09,18.58974
2020-04-10,16.55459
2020-04-11,7.68782
2020-04-12,8.72332
2020-04-13,21.04626
2020-04-14,17.61251
2020-04-15,7.60713
2020-04-16,16.67114
2020-04-17,15.08427
2020-04-18,5.61681
2020-04-19,6.76887
2020-04-20,17.18665
2020-04-21,17.57217
2020-04-22,17.39734
2020-04-23,16.72942
2020-04-24,14.71669
2020-04-25,5.50923
2020-04-26,6.28922
2020-04-27,17.3032
2020-04-28,16.37529
2020-04-29,16.08391
2020-04-30,6.30715
2020-05-01,5.50475
2020-05-02,4.59028
2020-05-03,5.72888
2020-05-04,11.04984
2020-05-05,6.44611
2020-05-06,16.81907
2020-05-07,16.2677
2020-05-08,14.57772
2020-05-09,5.93509
2020-05-10,6.59852
2020-05-11,16.59494
2020-05-12,17.58561
2020-05-13,17.90837
2020-05-14,19.558
2020-05-15,26.64066
2020-05-16,7.76403
2020-05-17,7.48162
2020-05-18,17.31217
2020-05-19,16.42908
2020-05-20,15.64909
2020-05-21,15.03944
2020-05-22,14.98117
2020-05-23,5.81854
2020-05-24,7.32024
2020-05-25,16.8908
2020-05-26,17.29424
2020-05-27,17.1239
2020-05-28,16.61287
2020-05-29,13.75739
2020-05-30,5.68405
2020-05-31,6.6568
2020-06-01,15.29944
2020-06-02,15.16496
2020-06-03,15.06186
2020-06-04,13.82911
2020-06-05,12.18845
2020-06-06,5.29406
2020-06-07,6.43715
2020-06-08,14.73014
2020-06-09,15.40254
2020-06-10,15.17392
2020-06-11,14.00842
2020-06-12,11.93742
2020-06-13,4.82338
2020-06-14,5.67957
2020-06-15,14.376
2020-06-16,13.85153
2020-06-17,13.52877
2020-06-18,13.88739
2020-06-19,12.86982
2020-06-20,4.75614
2020-06-21,5.57647
2020-06-22,14.08911
2020-06-23,15.04393
2020-06-24,16.1377
2020-06-25,15.87322
2020-06-26,14.03084
2020-06-27,5.54509
2020-06-28,6.52232
2020-06-29,14.77496
2020-06-30,14.01291
2020-07-01,13.3674
2020-07-02,13.7305
2020-07-03,11.95983
2020-07-04,4.23166
2020-07-05,5.1551
2020-07-06,14.27738
2020-07-07,15.51461
2020-07-08,14.21014
2020-07-09,13.95911
2020-07-10,11.59225
2020-07-11,4.19132
2020-07-12,5.22234
2020-07-13,13.39429
2020-07-14,14.10256
2020-07-15,13.97704
2020-07-16,13.99946
2020-07-17,13.07602
2020-07-18,5.6975
2020-07-19,6.5268
2020-07-20,15.9046
2020-07-21,16.33942
2020-07-22,16.7608
2020-07-23,17.10148
2020-07-24,14.18325
2020-07-25,4.81889
2020-07-26,5.76026
2020-07-27,15.92702
2020-07-28,17.06562
2020-07-29,16.2946
2020-07-30,16.59942
2020-07-31,14.18773
2020-08-01,5.84095
2020-08-02,5.97095
2020-08-03,15.25909
2020-08-04,17.05217
2020-08-05,15.94046
2020-08-06,16.89976
2020-08-07,16.40667
2020-08-08,6.49542
2020-08-09,8.0285
2020-08-10,20.50833
2020-08-11,20.29316
2020-08-12,22.20727
2020-08-13,26.09377
2020-08-14,36.83431
2020-08-15,10.48502
2020-08-16,10.00089
2020-08-17,10.63743
2020-08-18,18.99766
2020-08-19,17.29872
2020-08-20,15.57288
2020-08-21,15.57737
2020-08-22,7.42334
2020-08-23,6.94369
2020-08-24,16.58149
2020-08-25,17.27183
2020-08-26,16.3977
2020-08-27,16.1377
2020-08-28,14.41187
2020-08-29,6.33853
2020-08-30,7.85368
2020-08-31,18.23561
2020-09-01,17.87251
2020-09-02,18.75112
2020-09-03,17.33458
2020-09-04,14.94531
2020-09-05,7.63403
2020-09-06,8.83091
2020-09-07,20.2842
2020-09-08,20.43661
2020-09-09,19.66559
2020-09-10,19.73283
2020-09-11,17.71113
2020-09-12,9.08642
2020-09-13,10.32813
2020-09-14,19.0918
2020-09-15,19.77765
2020-09-16,19.88524
2020-09-17,19.428
2020-09-18,16.81907
2020-09-19,8.23023
2020-09-20,9.10435
2020-09-21,18.95284
2020-09-22,18.0563
2020-09-23,17.27631
2020-09-24,17.05217
2020-09-25,14.55531
2020-09-26,6.21301
2020-09-27,7.5892
2020-09-28,16.77425
2020-09-29,12.55155
2020-09-30,5.57647
2020-10-01,4.98924
2020-10-02,5.97095
2020-10-03,6.17267
2020-10-04,8.21678
2020-10-05,17.36596
2020-10-06,18.1863
2020-10-07,17.28079
2020-10-08,16.7608
2020-10-09,7.62058
2020-10-10,6.99748
2020-10-11,9.06849
2020-10-12,20.04662
2020-10-13,18.30733
2020-10-14,18.04733
2020-10-15,17.56768
2020-10-16,16.44701
2020-10-17,6.92576
2020-10-18,7.8492
2020-10-19,18.00699
2020-10-20,17.68423
2020-10-21,17.58113
2020-10-22,17.53182
2020-10-23,15.57737
2020-10-24,6.81369
2020-10-25,8.36919
2020-10-26,18.68836
2020-10-27,18.84525
2020-10-28,18.06526
2020-10-29,17.64389
2020-10-30,15.99874
2020-10-31,6.2175
2020-11-01,7.42782
2020-11-02,20.30213
2020-11-03,19.52662
2020-11-04,17.80975
2020-11-05,18.8318
2020-11-06,17.51389
2020-11-07,7.2261
2020-11-08,8.61574
2020-11-09,20.04662
2020-11-10,20.58902
2020-11-11,23.94656
2020-11-12,23.18002
2020-11-13,28.3396
2020-11-14,9.98296
2020-11-15,12.13017
2020-11-16,35.3864
2020-11-17,23.82105
2020-11-18,21.61108
2020-11-19,20.8804
2020-11-20,17.05217
2020-11-21,8.53505
2020-11-22,9.24332
2020-11-23,18.93042
2020-11-24,19.01111
