date,해외선물
2020-03-20,74.1921
2020-03-21,52.91741
2020-03-22,44.43447
2020-03-23,86.40035
2020-03-24,84.42549
2020-03-25,72.66606
2020-03-26,64.63195
2020-03-27,59.56014
2020-03-28,40.88868
2020-03-29,36.49012
2020-03-30,60.50269
2020-03-31,58.93177
2020-04-01,62.38779
2020-04-02,64.00359
2020-04-03,71.09515
2020-04-04,43.8061
2020-04-05,35.36804
2020-04-06,61.08617
2020-04-07,57.58527
2020-04-08,51.34649
2020-04-09,51.88509
2020-04-10,72.17235
2020-04-11,28.32136
2020-04-12,28.85996
2020-04-13,48.3842
2020-04-14,46.2298
2020-04-15,39.36265
2020-04-16,39.00359
2020-04-17,47.66606
2020-04-18,35.95152
2020-04-19,29.26391
2020-04-20,41.74147
2020-04-21,87.16337
2020-04-22,66.87612
2020-04-23,54.21903
2020-04-24,41.6517
2020-04-25,30.78994
2020-04-26,25.94254
2020-04-27,37.6122
2020-04-28,42.23518
2020-04-29,39.40754
2020-04-30,35.1885
2020-05-01,29.08438
2020-05-02,30.25134
2020-05-03,25.49371
2020-05-04,37.20825
2020-05-05,35.14362
2020-05-06,41.56193
2020-05-07,37.38779
2020-05-08,35.05385
2020-05-09,29.30879
2020-05-10,26.61579
2020-05-11,37.25314
2020-05-12,36.31059
2020-05-13,35.95152
2020-05-14,30.56552
2020-05-15,34.47037
2020-05-16,26.12208
2020-05-17,24.82046
2020-05-18,38.64452
2020-05-19,37.3429
2020-05-20,30.29622
2020-05-21,28.41113
2020-05-22,27.60323
2020-05-23,21.45421
2020-05-24,22.0377
2020-05-25,30.25134
2020-05-26,33.25852
2020-05-27,29.48833
2020-05-28,29.93716
2020-05-29,25.22441
2020-05-30,16.15798
2020-05-31,20.24236
2020-06-01,31.32854
2020-06-02,32.13644
2020-06-03,31.73249
2020-06-04,25.85278
2020-06-05,26.66068
2020-06-06,19.47935
2020-06-07,16.83123
2020-06-08,27.42369
2020-06-09,30.61041
2020-06-10,34.69479
2020-06-11,34.02154
2020-06-12,40.21543
2020-06-13,19.614
2020-06-14,19.21005
2020-06-15,39.94614
2020-06-16,41.02333
2020-06-17,34.56014
2020-06-18,32.36086
2020-06-19,25.94254
2020-06-20,21.09515
2020-06-21,19.0754
2020-06-22,32.89946
2020-06-23,33.03411
2020-06-24,34.51526
2020-06-25,37.70197
2020-06-26,29.89228
2020-06-27,20.91561
2020-06-28,19.47935
2020-06-29,34.69479
2020-06-30,35.77199
2020-07-01,34.73967
2020-07-02,36.31059
2020-07-03,32.80969
2020-07-04,18.89587
2020-07-05,19.12028
2020-07-06,34.02154
2020-07-07,35.41292
2020-07-08,32.40574
2020-07-09,32.89946
2020-07-10,32.18132
2020-07-11,22.93536
2020-07-12,26.75044
2020-07-13,39.31777
2020-07-14,44.83842
2020-07-15,45.01795
2020-07-16,39.81149
2020-07-17,38.19569
2020-07-18,26.39138
2020-07-19,24.4614
2020-07-20,33.61759
2020-07-21,39.09335
2020-07-22,36.08617
2020-07-23,43.71633
2020-07-24,31.32854
2020-07-25,21.31956
2020-07-26,22.75583
2020-07-27,33.75224
2020-07-28,35.77199
2020-07-29,35.63734
2020-07-30,34.82944
2020-07-31,34.56014
2020-08-01,23.3842
2020-08-02,19.70377
2020-08-03,32.67504
2020-08-04,32.18132
2020-08-05,30.83482
2020-08-06,40.39497
2020-08-07,41.15798
2020-08-08,31.23877
2020-08-09,22.80071
2020-08-10,48.42908
2020-08-11,54.26391
2020-08-12,55.29622
2020-08-13,49.55116
2020-08-14,39.67684
2020-08-15,26.52603
2020-08-16,22.35188
2020-08-17,36.44524
2020-08-18,41.20287
2020-08-19,41.29263
2020-08-20,42.10053
2020-08-21,39.228
2020-08-22,22.89048
2020-08-23,21.99281
2020-08-24,33.57271
2020-08-25,36.17594
2020-08-26,39.4973
2020-08-27,36.84919
2020-08-28,34.20107
2020-08-29,24.23698
2020-08-30,21.36445
2020-08-31,32.98922
2020-09-01,37.25314
2020-09-02,39.81149
2020-09-03,42.9982
2020-09-04,53.23159
2020-09-05,31.59784
2020-09-06,23.42908
2020-09-07,47.8456
2020-09-08,60.7271
2020-09-09,63.1508
2020-09-10,63.9587
2020-09-11,57.09156
2020-09-12,32.36086
2020-09-13,26.57091
2020-09-14,42.01077
2020-09-15,66.24775
2020-09-16,58.43806
2020-09-17,64.04847
2020-09-18,47.21723
2020-09-19,34.69479
2020-09-20,31.82226
2020-09-21,57.31597
2020-09-22,100.0
2020-09-23,65.21543
2020-09-24,97.26211
2020-09-25,76.57091
2020-09-26,58.57271
2020-09-27,38.37522
2020-09-28,56.01436
2020-09-29,42.86355
2020-09-30,33.66247
2020-10-01,27.73788
2020-10-02,41.921
2020-10-03,27.64811
2020-10-04,25.17953
2020-10-05,37.97127
2020-10-06,34.51526
2020-10-07,36.08617
2020-10-08,30.47576
2020-10-09,23.56373
2020-10-10,21.7684
2020-10-11,18.76122
2020-10-12,31.14901
2020-10-13,40.0359
2020-10-14,32.18132
2020-10-15,33.97666
2020-10-16,29.39856
2020-10-17,19.03052
2020-10-18,18.22262
2020-10-19,28.99461
2020-10-20,66.83123
2020-10-21,33.34829
2020-10-22,31.73249
2020-10-23,26.21184
2020-10-24,18.58168
2020-10-25,17.68402
2020-10-26,29.89228
2020-10-27,31.91202
2020-10-28,39.81149
2020-10-29,42.63913
2020-10-30,37.25314
2020-10-31,21.63375
2020-11-01,19.79353
2020-11-02,39.67684
2020-11-03,32.98922
2020-11-04,36.35547
2020-11-05,36.89407
2020-11-06,34.24596
2020-11-07,24.77558
2020-11-08,17.81867
2020-11-09,39.13824
2020-11-10,40.75403
2020-11-11,36.13105
2020-11-12,33.70736
2020-11-13,33.12387
2020-11-14,20.64631
2020-11-15,17.59425
2020-11-16,32.89946
2020-11-17,35.36804
2020-11-18,32.85457
2020-11-19,46.94793
2020-11-20,35.54757
2020-11-21,22.8456
2020-11-22,21.94793
2020-11-23,32.89946
2020-11-24,34.56014
2020-11-25,36.22082
2020-11-26,35.00897
2020-11-27,30.16157
2020-11-28,22.71095
2020-11-29,22.93536
2020-11-30,37.25314
2020-12-01,38.46499
2020-12-02,39.40754
2020-12-03,37.52244
2020-12-04,33.79712
