date,MSCI편입
2020-04-06,0.00172
2020-04-07,0.00147
2020-04-12,0.00147
2020-04-19,0.00147
2020-04-20,0.00147
2020-04-21,0.00123
2020-04-22,0.00172
2020-04-23,0.00418
2020-04-24,0.00467
2020-04-25,0.00196
2020-04-26,0.00393
2020-04-27,0.00147
2020-04-28,0.00615
2020-04-29,0.00984
2020-04-30,0.00123
2020-05-01,0.00393
2020-05-02,0.0032
2020-05-03,0.00147
2020-05-04,0.00935
2020-05-05,0.00369
2020-05-06,0.03569
2020-05-07,0.05514
2020-05-08,0.07065
2020-05-09,0.07139
2020-05-10,0.04702
2020-05-11,0.15584
2020-05-12,0.25432
2020-05-13,1.1911
2020-05-14,0.20015
2020-05-15,0.03619
2020-05-16,0.02314
2020-05-17,0.03397
2020-05-18,0.02609
2020-05-19,0.02609
2020-05-20,0.01821
2020-05-21,0.01551
2020-05-22,0.01501
2020-05-23,0.00787
2020-05-24,0.00541
2020-05-25,0.01181
2020-05-26,0.01255
2020-05-27,0.05958
2020-05-28,0.07287
2020-05-29,1.4213
2020-05-30,0.51406
2020-05-31,0.21911
2020-06-01,0.09232
2020-06-02,0.0224
2020-06-03,0.02043
2020-06-04,0.01132
2020-06-05,0.01304
2020-06-06,0.0091
2020-06-07,0.00886
2020-06-08,0.0059
2020-06-09,0.00566
2020-06-10,0.0096
2020-06-11,0.01772
2020-06-12,0.01181
2020-06-13,0.00295
2020-06-14,0.00221
2020-06-15,0.00172
2020-06-16,0.00123
2020-06-17,0.00147
2020-06-18,0.00172
2020-06-20,0.00196
2020-06-21,0.00172
2020-06-23,0.00172
2020-07-01,0.02732
2020-07-02,0.00861
2020-07-03,0.00738
2020-07-04,0.00393
2020-07-05,0.00467
2020-07-06,0.01304
2020-07-07,0.01354
2020-07-08,0.02363
2020-07-09,0.01329
2020-07-10,0.01501
2020-07-11,0.00837
2020-07-12,0.01083
2020-07-13,0.00787
2020-07-14,0.0256
2020-07-15,0.02782
2020-07-16,0.02068
2020-07-17,0.0032
2020-07-18,0.00393
2020-07-19,0.0032
2020-07-20,0.00196
2020-07-21,0.00713
2020-07-22,0.02117
2020-07-23,0.01674
2020-07-24,0.01994
2020-07-25,0.03446
2020-07-26,0.02068
2020-07-27,0.29223
2020-07-28,0.15313
2020-07-29,0.36486
2020-07-30,0.28928
2020-07-31,0.75509
2020-08-01,0.30824
2020-08-02,0.23044
2020-08-03,0.34344
2020-08-04,0.27918
2020-08-05,0.16002
2020-08-06,0.3006
2020-08-07,0.29913
2020-08-08,0.18391
2020-08-09,0.38037
2020-08-10,0.49018
2020-08-11,0.39588
2020-08-12,1.31199
2020-08-13,30.95505
2020-08-14,0.34344
2020-08-15,0.08937
2020-08-16,0.06475
2020-08-17,0.05711
2020-08-18,0.10315
2020-08-19,0.08469
2020-08-20,0.11078
2020-08-21,0.09257
2020-08-22,0.05022
2020-08-23,0.04209
2020-08-24,0.11571
2020-08-25,0.12211
2020-08-26,0.11251
2020-08-27,0.1322
2020-08-28,0.16199
2020-08-29,0.08789
2020-08-30,0.07213
2020-08-31,1.81202
2020-09-01,0.50199
2020-09-02,0.2425
2020-09-03,0.11595
2020-09-04,0.08198
2020-09-05,0.0549
2020-09-06,0.06844
2020-09-07,0.06942
2020-09-08,0.03742
2020-09-09,0.04431
2020-09-10,0.03643
2020-09-11,0.03742
2020-09-12,0.03422
2020-09-13,0.03619
2020-09-14,0.03151
2020-09-15,0.03175
2020-09-16,0.05736
2020-09-17,0.05194
2020-09-18,0.15855
2020-09-19,0.11251
2020-09-20,0.09577
2020-09-21,0.08961
2020-09-22,0.04505
2020-09-23,0.03372
