date,해외주식수수료비교
2020-11-07,12.44573
2020-11-08,10.13024
2020-11-09,15.4848
2020-11-10,19.82633
2020-11-11,17.36613
2020-11-12,18.81331
2020-11-13,15.19536
2020-11-14,12.30101
2020-11-15,9.84081
2020-11-16,20.26049
2020-11-17,23.87843
2020-11-18,18.95803
2020-11-19,22.43125
2020-11-20,18.66859
2020-11-21,12.59044
2020-11-22,15.4848
2020-11-23,18.81331
2020-11-24,38.92908
2020-11-25,38.35021
2020-11-26,34.29811
2020-11-27,37.04775
2020-11-28,29.95658
2020-11-29,29.37771
2020-11-30,39.21852
2020-12-01,44.42836
2020-12-02,44.7178
2020-12-03,42.83646
2020-12-04,46.45441
2020-12-05,31.83791
2020-12-06,32.70622
2020-12-07,43.70477
2020-12-08,48.62518
2020-12-09,55.42691
2020-12-10,40.23154
2020-12-11,48.19102
2020-12-12,23.44428
2020-12-13,23.73371
2020-12-14,29.81186
2020-12-15,31.54848
2020-12-16,31.40376
2020-12-17,28.79884
2020-12-18,29.52243
2020-12-19,21.70767
2020-12-20,21.9971
2020-12-21,33.71924
2020-12-22,41.09985
2020-12-23,39.0738
2020-12-24,31.11432
2020-12-25,26.91751
2020-12-26,22.86541
2020-12-27,29.23299
2020-12-28,44.28364
2020-12-29,43.99421
2020-12-30,49.92764
2020-12-31,50.79594
2021-01-01,33.14037
2021-01-02,28.07525
2021-01-03,31.83791
2021-01-04,50.79594
2021-01-05,47.46743
2021-01-06,43.56005
2021-01-07,50.36179
2021-01-08,79.45007
2021-01-09,43.41534
2021-01-10,46.16497
2021-01-11,57.7424
2021-01-12,54.55861
2021-01-13,52.38784
2021-01-14,57.88712
2021-01-15,50.79594
2021-01-16,35.74529
2021-01-17,28.79884
2021-01-18,34.58755
2021-01-19,36.17945
2021-01-20,59.62373
2021-01-21,53.25615
2021-01-22,55.28219
2021-01-23,39.21852
2021-01-24,41.38929
2021-01-25,53.83502
2021-01-26,71.49059
2021-01-27,56.29522
2021-01-28,50.94066
2021-01-29,36.90303
2021-01-30,36.32416
2021-01-31,31.25904
2021-02-01,48.0463
2021-02-02,48.48046
2021-02-03,54.84804
2021-02-04,60.78147
2021-02-05,45.44138
2021-02-06,37.91606
2021-02-07,27.64109
2021-02-08,55.86107
2021-02-09,53.40086
2021-02-10,55.42691
2021-02-11,52.38784
2021-02-12,40.23154
2021-02-13,45.29667
2021-02-14,51.2301
2021-02-15,78.72648
2021-02-16,78.58176
2021-02-17,78.58176
2021-02-18,56.29522
2021-02-19,38.92908
2021-02-20,32.12735
2021-02-21,29.37771
2021-02-22,36.17945
2021-02-23,44.42836
2021-02-24,34.58755
2021-02-25,32.99565
2021-02-26,31.40376
2021-02-27,18.08972
2021-02-28,17.51085
2021-03-01,26.77279
2021-03-02,31.54848
2021-03-03,25.18089
2021-03-04,22.57597
2021-03-05,17.36613
2021-03-06,18.23444
2021-03-07,17.80028
2021-03-08,26.77279
2021-03-09,27.35166
2021-03-10,34.87698
2021-03-11,37.77134
2021-03-12,39.0738
2021-03-13,20.83936
2021-03-14,20.26049
2021-03-15,34.00868
2021-03-16,30.39073
2021-03-17,25.61505
2021-03-18,30.39073
2021-03-19,28.21997
2021-03-20,16.64254
2021-03-21,19.82633
2021-03-22,22.86541
2021-03-23,26.33863
2021-03-24,14.47178
2021-03-25,17.65557
2021-03-26,18.81331
2021-03-27,17.51085
2021-03-28,12.15629
2021-03-29,15.62952
2021-03-30,20.11577
2021-03-31,16.49782
2021-04-01,23.87843
2021-04-02,24.60202
2021-04-03,16.06367
2021-04-04,21.9971
2021-04-05,23.87843
2021-04-06,28.21997
2021-04-07,22.43125
2021-04-08,22.72069
2021-04-09,25.61505
2021-04-10,14.18234
2021-04-11,13.0246
2021-04-12,21.12879
2021-04-13,20.11577
2021-04-14,30.24602
2021-04-15,28.79884
2021-04-16,30.9696
2021-04-17,18.52387
2021-04-18,18.37916
2021-04-19,23.15484
2021-04-20,24.60202
2021-04-21,26.33863
2021-04-22,25.90448
2021-04-23,20.4052
2021-04-24,13.0246
2021-04-25,10.13024
2021-04-26,23.44428
2021-04-27,25.03617
2021-04-28,24.02315
2021-04-29,23.589
2021-04-30,19.24746
2021-05-01,15.77424
2021-05-02,17.51085
2021-05-03,19.68162
2021-05-04,18.37916
2021-05-05,21.9971
2021-05-06,20.98408
2021-05-07,17.65557
2021-05-08,12.73516
2021-05-09,14.61649
2021-05-10,24.16787
2021-05-11,21.85238
2021-05-12,14.90593
2021-05-13,20.69464
2021-05-14,19.39218
2021-05-15,10.27496
2021-05-16,10.85383
2021-05-17,19.10274
2021-05-18,22.57597
2021-05-19,16.06367
2021-05-20,19.39218
2021-05-21,19.82633
2021-05-22,12.59044
2021-05-23,10.13024
2021-05-24,17.65557
2021-05-25,20.4052
2021-05-26,17.65557
2021-05-27,20.69464
2021-05-28,19.68162
2021-05-29,12.73516
2021-05-30,12.30101
2021-05-31,18.81331
2021-06-01,17.22141
2021-06-02,22.72069
2021-06-03,22.57597
2021-06-04,21.27351
2021-06-05,17.22141
2021-06-06,15.62952
2021-06-07,22.43125
2021-06-08,21.12879
2021-06-09,14.47178
2021-06-10,17.80028
2021-06-11,16.06367
2021-06-12,10.13024
2021-06-13,10.56439
2021-06-14,17.945
2021-06-15,16.49782
2021-06-16,14.76121
2021-06-17,17.945
2021-06-18,21.56295
2021-06-19,16.06367
2021-06-20,11.14327
2021-06-21,14.76121
2021-06-22,9.69609
2021-06-23,19.10274
2021-06-24,24.31259
2021-06-25,21.9971
2021-06-26,17.0767
2021-06-27,14.61649
2021-06-28,19.5369
2021-06-29,21.12879
2021-06-30,19.10274
2021-07-01,18.52387
2021-07-02,20.83936
2021-07-03,20.11577
2021-07-04,14.18234
2021-07-05,25.32561
2021-07-06,27.64109
2021-07-07,28.36468
2021-07-08,18.66859
2021-07-09,19.68162
2021-07-10,15.4848
2021-07-11,14.18234
2021-07-12,16.06367
2021-07-13,17.22141
2021-07-14,15.91895
2021-07-15,16.93198
2021-07-16,14.47178
2021-07-17,10.70911
2021-07-18,11.57742
2021-07-19,14.18234
2021-07-20,19.97105
2021-07-21,15.05065
2021-07-22,14.76121
2021-07-23,18.66859
2021-07-24,12.30101
2021-07-25,10.99855
2021-07-26,15.34008
2021-07-27,18.23444
2021-07-28,22.72069
2021-07-29,23.87843
2021-07-30,19.10274
2021-07-31,13.31403
2021-08-01,13.74819
2021-08-02,18.52387
2021-08-03,26.48335
2021-08-04,27.35166
2021-08-05,28.21997
2021-08-06,26.62807
2021-08-07,15.34008
2021-08-08,18.95803
2021-08-09,21.12879
2021-08-10,27.93053
2021-08-11,27.20694
2021-08-12,22.86541
2021-08-13,20.4052
2021-08-14,16.06367
2021-08-15,14.61649
2021-08-16,19.68162
2021-08-17,23.73371
2021-08-18,20.11577
2021-08-19,17.51085
2021-08-20,14.76121
2021-08-21,16.20839
2021-08-22,14.90593
2021-08-23,16.64254
2021-08-24,26.19392
2021-08-25,23.15484
2021-08-26,21.27351
2021-08-27,21.70767
2021-08-28,16.35311
2021-08-29,14.61649
2021-08-30,25.32561
2021-08-31,24.31259
2021-09-01,22.28654
2021-09-02,20.4052
2021-09-03,24.16787
2021-09-04,17.65557
2021-09-05,16.78726
2021-09-06,20.69464
2021-09-07,20.54992
2021-09-08,19.39218
2021-09-09,23.87843
2021-09-10,16.49782
2021-09-11,11.86685
2021-09-12,16.78726
2021-09-13,21.70767
2021-09-14,18.95803
2021-09-15,16.35311
2021-09-16,21.41823
2021-09-17,18.81331
2021-09-18,14.47178
2021-09-19,12.59044
2021-09-20,14.32706
2021-09-21,19.24746
2021-09-22,19.24746
2021-09-23,23.87843
2021-09-24,20.4052
2021-09-25,13.74819
2021-09-26,14.61649
2021-09-27,21.27351
2021-09-28,19.24746
2021-09-29,18.66859
2021-09-30,17.65557
2021-10-01,15.77424
2021-10-02,8.68306
2021-10-03,12.01157
2021-10-04,12.15629
2021-10-05,17.22141
2021-10-06,15.05065
2021-10-07,15.19536
2021-10-08,17.80028
2021-10-09,9.84081
2021-10-10,7.52532
2021-10-11,9.40665
2021-10-12,12.44573
2021-10-13,11.86685
2021-10-14,14.90593
2021-10-15,14.90593
2021-10-16,9.84081
2021-10-17,7.09117
2021-10-18,11.57742
2021-10-19,18.23444
2021-10-20,13.31403
2021-10-21,16.20839
2021-10-22,18.08972
2021-10-23,10.70911
2021-10-24,10.13024
2021-10-25,16.78726
2021-10-26,27.35166
2021-10-27,19.24746
2021-10-28,25.18089
2021-10-29,29.95658
2021-10-30,16.20839
2021-10-31,12.87988
2021-11-01,28.07525
2021-11-02,34.00868
2021-11-03,28.79884
2021-11-04,32.5615
2021-11-05,31.69319
2021-11-06,20.98408
2021-11-07,19.10274
2021-11-08,31.40376
2021-11-09,35.74529
2021-11-10,32.5615
2021-11-11,25.90448
2021-11-12,26.77279
2021-11-13,18.37916
2021-11-14,20.26049
2021-11-15,25.03617
2021-11-16,32.41678
2021-11-17,31.54848
2021-11-18,31.25904
2021-11-19,26.33863
2021-11-20,18.66859
2021-11-21,18.08972
2021-11-22,31.83791
2021-11-23,28.65412
2021-11-24,27.64109
2021-11-25,19.24746
2021-11-26,14.76121
2021-11-27,13.45875
2021-11-28,13.60347
2021-11-29,19.10274
2021-11-30,24.02315
2021-12-01,22.14182
2021-12-02,20.54992
2021-12-03,21.56295
2021-12-04,16.20839
2021-12-05,10.41968
2021-12-06,17.51085
2021-12-07,19.5369
2021-12-08,24.02315
2021-12-09,22.57597
2021-12-10,23.44428
2021-12-11,12.59044
2021-12-12,12.01157
2021-12-13,18.95803
2021-12-14,16.93198
2021-12-15,16.49782
2021-12-16,23.15484
2021-12-17,13.16931
2021-12-18,9.98552
2021-12-19,12.30101
2021-12-20,14.61649
2021-12-21,18.95803
2021-12-22,13.0246
2021-12-23,13.8929
2021-12-24,14.32706
2021-12-25,8.82778
2021-12-26,12.44573
2021-12-27,18.37916
2021-12-28,24.89146
2021-12-29,22.28654
2021-12-30,19.24746
2021-12-31,18.08972
2022-01-01,12.87988
2022-01-02,14.47178
2022-01-03,22.86541
2022-01-04,29.66714
2022-01-05,28.21997
2022-01-06,22.14182
2022-01-07,21.9971
2022-01-08,8.24891
2022-01-09,11.86685
2022-01-10,16.35311
2022-01-11,18.08972
2022-01-12,18.08972
2022-01-13,19.10274
2022-01-14,15.05065
2022-01-15,13.74819
2022-01-16,12.59044
2022-01-17,16.93198
2022-01-18,15.19536
2022-01-19,20.11577
2022-01-20,18.66859
2022-01-21,23.73371
2022-01-22,11.72214
2022-01-23,8.39363
2022-01-24,14.76121
2022-01-25,18.08972
2022-01-26,20.83936
2022-01-27,13.74819
2022-01-28,20.83936
2022-01-29,14.76121
2022-01-30,7.95947
2022-01-31,14.76121
2022-02-01,22.86541
2022-02-02,27.49638
2022-02-03,27.06222
2022-02-04,25.03617
2022-02-05,15.19536
2022-02-06,17.65557
2022-02-07,18.08972
2022-02-08,19.24746
2022-02-09,22.14182
2022-02-10,23.15484
2022-02-11,16.35311
2022-02-12,12.15629
2022-02-13,10.99855
2022-02-14,11.86685
2022-02-15,16.78726
2022-02-16,17.945
2022-02-17,13.31403
2022-02-18,13.74819
2022-02-19,9.55137
2022-02-20,7.09117
2022-02-21,8.9725
2022-02-22,15.34008
2022-02-23,16.35311
2022-02-24,26.62807
2022-02-25,19.68162
2022-02-26,9.84081
2022-02-27,7.09117
2022-02-28,13.0246
2022-03-01,14.76121
2022-03-02,14.03762
2022-03-03,13.8929
2022-03-04,10.27496
2022-03-05,6.80173
2022-03-06,9.98552
2022-03-07,12.44573
2022-03-08,14.90593
2022-03-09,9.84081
2022-03-10,10.99855
2022-03-11,11.28798
2022-03-12,6.94645
2022-03-13,8.10419
2022-03-14,9.55137
2022-03-15,14.32706
2022-03-16,12.15629
2022-03-17,16.78726
2022-03-18,15.05065
2022-03-19,10.56439
2022-03-20,13.74819
2022-03-21,17.0767
2022-03-22,15.4848
2022-03-23,19.97105
2022-03-24,15.4848
2022-03-25,20.11577
2022-03-26,11.57742
2022-03-27,10.56439
2022-03-28,17.0767
2022-03-29,20.69464
2022-03-30,25.75976
2022-03-31,15.77424
2022-04-01,15.91895
2022-04-02,9.84081
