date,코스피야간선물
2020-03-20,70.76145
2020-03-21,35.28489
2020-03-22,24.23767
2020-03-23,71.51071
2020-03-24,86.4959
2020-03-25,79.2821
2020-03-26,52.63983
2020-03-27,100.0
2020-03-28,24.37706
2020-03-29,21.69367
2020-03-30,35.16292
2020-03-31,29.9878
2020-04-01,30.99843
2020-04-02,33.7341
2020-04-03,16.11779
2020-04-04,7.30092
2020-04-05,4.70465
2020-04-06,33.05453
2020-04-07,44.90329
2020-04-08,24.60358
2020-04-09,13.26014
2020-04-10,6.96985
2020-04-11,1.62049
2020-04-12,1.86443
2020-04-13,9.75779
2020-04-14,8.2767
2020-04-15,3.55462
2020-04-16,5.29709
2020-04-17,3.64174
2020-04-18,1.67276
2020-04-19,1.65534
2020-04-20,4.63495
2020-04-21,5.68043
2020-04-22,5.75013
2020-04-23,4.12963
2020-04-24,3.22355
2020-04-25,1.42882
2020-04-26,1.08032
2020-04-27,2.16065
2020-04-28,2.70081
2020-04-29,1.95155
2020-04-30,1.0629
2020-05-01,0.71441
2020-05-02,0.59243
2020-05-03,1.09775
2020-05-04,2.56142
2020-05-05,1.75988
2020-05-06,2.49172
2020-05-07,2.2652
2020-05-08,1.63791
2020-05-09,0.95835
2020-05-10,0.74925
2020-05-11,1.88186
2020-05-12,2.1258
2020-05-13,2.47429
2020-05-14,2.97961
2020-05-15,1.23714
2020-05-16,0.60986
2020-05-17,0.50531
2020-05-18,1.32427
2020-05-19,2.30005
2020-05-20,1.86443
2020-05-21,1.65534
2020-05-22,1.01062
2020-05-23,0.55758
2020-05-24,0.47046
2020-05-25,1.51594
2020-05-26,1.28942
2020-05-27,1.77731
2020-05-28,1.67276
2020-05-29,1.23714
2020-05-30,0.48788
2020-05-31,0.27879
2020-06-01,0.97577
2020-06-02,1.0629
2020-06-03,1.67276
2020-06-04,2.61369
2020-06-05,1.42882
2020-06-06,1.15002
2020-06-07,0.66213
2020-06-08,1.70761
2020-06-09,2.0561
2020-06-10,1.60306
2020-06-11,1.89928
2020-06-12,5.43648
2020-06-13,1.2023
2020-06-14,0.9235
2020-06-15,5.07056
2020-06-16,19.56786
2020-06-17,8.83429
2020-06-18,2.64854
2020-06-19,1.34169
2020-06-20,2.23035
2020-06-21,2.59627
2020-06-22,1.65534
2020-06-23,1.79473
2020-06-24,2.0561
2020-06-25,2.59627
2020-06-26,1.56821
2020-06-27,2.35232
2020-06-28,1.15002
2020-06-29,1.96898
2020-06-30,1.48109
2020-07-01,3.17128
2020-07-02,1.41139
2020-07-03,0.7841
2020-07-04,0.36591
2020-07-05,0.52273
2020-07-06,0.9932
2020-07-07,1.09775
2020-07-08,1.25457
2020-07-09,0.95835
2020-07-10,0.73183
2020-07-11,0.54016
2020-07-12,0.22652
2020-07-13,0.97577
2020-07-14,1.28942
2020-07-15,1.32427
2020-07-16,1.32427
2020-07-17,0.69698
2020-07-18,0.12197
2020-07-19,0.10454
2020-07-20,0.66213
2020-07-21,1.32427
2020-07-22,1.49851
2020-07-23,1.2023
2020-07-24,1.48109
2020-07-25,0.55758
2020-07-26,0.41819
2020-07-27,0.95835
2020-07-28,0.9235
2020-07-29,1.01062
2020-07-30,1.28942
2020-07-31,1.28942
2020-08-01,0.57501
2020-08-02,0.22652
2020-08-03,0.80153
2020-08-04,0.73183
2020-08-05,0.81895
2020-08-06,0.71441
2020-08-07,0.71441
2020-08-08,0.43561
2020-08-09,0.12197
2020-08-10,0.67956
2020-08-11,0.94093
2020-08-12,1.41139
2020-08-13,1.15002
2020-08-14,1.11517
2020-08-15,0.20909
2020-08-16,0.17424
2020-08-17,0.59243
2020-08-18,2.28262
2020-08-19,2.2652
2020-08-20,2.45687
2020-08-21,3.57205
2020-08-22,0.50531
2020-08-23,0.54016
2020-08-24,1.11517
2020-08-25,1.01062
2020-08-26,0.80153
2020-08-27,1.08032
2020-08-28,0.95835
2020-08-29,0.24394
2020-08-30,0.27879
2020-08-31,1.08032
2020-09-01,0.97577
2020-09-02,0.83638
2020-09-03,1.11517
2020-09-04,6.81303
2020-09-05,1.34169
2020-09-06,0.76668
2020-09-07,1.34169
2020-09-08,2.10838
2020-09-09,3.08416
2020-09-10,1.81216
2020-09-11,1.0629
2020-09-12,0.57501
2020-09-13,0.24394
2020-09-14,0.8538
2020-09-15,1.09775
2020-09-16,1.15002
2020-09-17,1.53336
2020-09-18,1.70761
2020-09-19,0.88865
2020-09-20,0.22652
2020-09-21,1.67276
2020-09-22,2.71824
2020-09-23,1.95155
2020-09-24,3.99024
2020-09-25,1.65534
2020-09-26,1.48109
2020-09-27,0.22652
2020-09-28,1.02805
2020-09-29,0.97577
2020-09-30,0.26136
2020-10-01,0.13939
2020-10-02,0.38334
2020-10-03,0.24394
2020-10-04,0.38334
2020-10-05,0.94093
2020-10-06,1.1326
2020-10-07,1.32427
2020-10-08,0.9235
2020-10-09,0.24394
2020-10-10,0.19167
2020-10-11,0.19167
2020-10-12,0.64471
2020-10-13,1.02805
2020-10-14,0.9932
2020-10-15,1.44624
2020-10-16,1.16745
2020-10-17,0.57501
2020-10-18,0.10454
2020-10-19,0.66213
2020-10-20,0.73183
