date,전자지갑
2020-03-20,12.76901
2020-03-21,8.32137
2020-03-22,7.89096
2020-03-23,12.62553
2020-03-24,11.62123
2020-03-25,13.77331
2020-03-26,12.05164
2020-03-27,20.51649
2020-03-28,13.48637
2020-03-29,6.88665
2020-03-30,14.77761
2020-03-31,16.35581
2020-04-01,13.19942
2020-04-02,11.90817
2020-04-03,11.19081
2020-04-04,6.74318
2020-04-05,6.74318
2020-04-06,12.05164
2020-04-07,15.78192
2020-04-08,9.03873
2020-04-09,7.31707
2020-04-10,10.61692
2020-04-11,8.32137
2020-04-12,7.74748
2020-04-13,14.20373
2020-04-14,12.19512
2020-04-15,10.61692
2020-04-16,14.77761
2020-04-17,9.89956
2020-04-18,11.04734
2020-04-19,6.74318
2020-04-20,9.32568
2020-04-21,15.63845
2020-04-22,9.89956
2020-04-23,7.1736
2020-04-24,12.48206
2020-04-25,8.89526
2020-04-26,7.46054
2020-04-27,10.61692
2020-04-28,8.1779
2020-04-29,8.46484
2020-04-30,7.31707
2020-05-01,8.1779
2020-05-02,4.30416
2020-05-03,4.87804
2020-05-04,9.1822
2020-05-05,7.03012
2020-05-06,7.1736
2020-05-07,5.88235
2020-05-08,7.89096
2020-05-09,4.44763
2020-05-10,5.16499
2020-05-11,12.91248
2020-05-12,8.75179
2020-05-13,10.47345
2020-05-14,9.32568
2020-05-15,10.61692
2020-05-16,6.45624
2020-05-17,6.45624
2020-05-18,11.47776
2020-05-19,11.7647
2020-05-20,12.62553
2020-05-21,6.16929
2020-05-22,9.1822
2020-05-23,7.03012
2020-05-24,4.44763
2020-05-25,10.32998
2020-05-26,10.47345
2020-05-27,8.1779
2020-05-28,7.31707
2020-05-29,9.46915
2020-05-30,4.5911
2020-05-31,3.87374
2020-06-01,9.75609
2020-06-02,12.91248
2020-06-03,14.3472
2020-06-04,14.63414
2020-06-05,12.91248
2020-06-06,3.87374
2020-06-07,7.89096
2020-06-08,18.9383
2020-06-09,13.19942
2020-06-10,9.46915
2020-06-11,12.91248
2020-06-12,7.74748
2020-06-13,4.30416
2020-06-14,4.73457
2020-06-15,11.04734
2020-06-16,11.90817
2020-06-17,8.60832
2020-06-18,9.75609
2020-06-19,7.03012
2020-06-20,2.58249
2020-06-21,5.73888
2020-06-22,13.34289
2020-06-23,10.90387
2020-06-24,8.03443
2020-06-25,8.1779
2020-06-26,5.88235
2020-06-27,3.73027
2020-06-28,3.5868
2020-06-29,8.03443
2020-06-30,7.1736
2020-07-01,7.1736
2020-07-02,7.74748
2020-07-03,6.16929
2020-07-04,4.5911
2020-07-05,2.15208
2020-07-06,11.33428
2020-07-07,10.18651
2020-07-08,8.32137
2020-07-09,5.16499
2020-07-10,6.59971
2020-07-11,3.5868
2020-07-12,2.43902
2020-07-13,7.1736
2020-07-14,8.1779
2020-07-15,9.89956
2020-07-16,7.89096
2020-07-17,6.74318
2020-07-18,1.43472
2020-07-19,3.5868
2020-07-20,9.75609
2020-07-21,8.1779
2020-07-22,7.46054
2020-07-23,9.32568
2020-07-24,6.16929
2020-07-25,3.87374
2020-07-26,5.73888
2020-07-27,6.02582
2020-07-28,7.1736
2020-07-29,7.46054
2020-07-30,7.31707
2020-07-31,9.46915
2020-08-01,4.01721
2020-08-02,4.44763
2020-08-03,7.31707
2020-08-04,8.89526
2020-08-05,8.1779
2020-08-06,8.89526
2020-08-07,9.03873
2020-08-08,3.44332
2020-08-09,6.74318
2020-08-10,6.88665
2020-08-11,7.89096
2020-08-12,8.89526
2020-08-13,6.74318
2020-08-14,5.88235
2020-08-15,3.29985
2020-08-16,3.73027
2020-08-17,5.5954
2020-08-18,9.03873
2020-08-19,6.31276
2020-08-20,6.59971
2020-08-21,4.44763
2020-08-22,4.16068
2020-08-23,4.16068
2020-08-24,6.88665
2020-08-25,4.73457
2020-08-26,5.16499
2020-08-27,8.60832
2020-08-28,5.30846
2020-08-29,3.87374
2020-08-30,3.87374
2020-08-31,5.88235
2020-09-01,8.03443
2020-09-02,8.75179
2020-09-03,10.47345
2020-09-04,9.89956
2020-09-05,5.16499
2020-09-06,6.16929
2020-09-07,7.89096
2020-09-08,11.33428
2020-09-09,9.89956
2020-09-10,8.75179
2020-09-11,11.47776
2020-09-12,6.02582
