date,비만치료제관련주
2020-07-23,0.46641
2020-08-05,0.21766
2020-08-15,0.15547
2020-10-07,0.15547
2020-11-26,0.15547
2020-12-29,0.15547
2020-12-30,0.27985
2020-12-31,0.27985
2021-01-02,0.24875
2021-01-07,0.15547
2021-01-27,0.15547
2021-02-15,0.21766
2021-02-18,0.15547
2021-02-19,0.15547
2021-02-20,0.24875
2021-03-25,0.15547
2021-03-26,0.87064
2021-06-05,0.34203
2021-07-14,0.15547
2021-09-01,0.31094
2021-09-02,0.15547
2021-09-16,0.59079
2021-10-03,0.15547
2021-12-26,0.21766
2021-12-28,0.21766
2021-12-29,0.21766
2022-01-06,0.15547
2022-02-14,0.21766
2022-02-15,0.15547
2022-03-18,0.21766
2022-03-30,0.18656
2022-04-29,0.21766
2022-05-20,0.46641
2022-05-21,0.71517
2022-05-22,0.15547
2022-05-23,0.99502
2022-05-24,0.24875
2022-05-26,0.18656
2022-05-28,0.15547
2022-06-01,0.18656
2022-06-25,0.21766
2022-07-18,0.27985
2022-09-11,0.15547
2022-09-12,0.40422
2022-09-23,0.68407
2022-10-11,2.11442
2022-10-12,0.27985
2022-10-13,0.15547
2022-10-25,0.21766
2022-10-26,0.18656
2022-11-13,2.98507
2022-11-14,0.46641
2022-11-24,1.99004
2022-11-25,1.1194
2022-11-26,0.15547
2022-11-27,0.27985
2022-11-29,1.92786
2022-12-02,0.15547
2022-12-03,0.24875
2022-12-04,0.15547
2022-12-05,0.15547
2022-12-06,0.21766
2022-12-07,0.21766
2022-12-13,0.24875
2022-12-14,0.21766
2022-12-15,0.15547
2022-12-16,0.5597
2022-12-18,0.62189
2022-12-19,0.40422
2022-12-20,0.15547
2022-12-21,0.59079
2022-12-22,0.15547
2023-01-02,0.15547
2023-01-08,0.37313
2023-01-09,0.80845
2023-01-26,0.99502
2023-01-27,2.2699
2023-01-28,1.15049
2023-01-29,0.5597
2023-01-30,1.1194
2023-02-01,0.15547
2023-02-03,0.31094
2023-02-04,0.71517
2023-02-05,0.15547
2023-02-06,0.18656
2023-02-07,0.24875
2023-02-08,0.18656
2023-02-09,0.37313
2023-02-11,3.04726
2023-02-12,1.21268
2023-02-14,0.15547
2023-02-15,0.15547
2023-02-16,0.21766
2023-02-17,0.27985
2023-02-20,0.71517
2023-02-21,2.67412
2023-02-22,0.90174
2023-02-23,0.27985
2023-02-24,0.15547
2023-02-25,0.15547
2023-02-26,0.15547
2023-02-28,0.27985
2023-03-02,0.15547
2023-03-03,0.5597
2023-03-04,0.43532
2023-03-05,0.18656
2023-03-06,0.24875
2023-03-07,0.31094
2023-03-08,1.15049
2023-03-09,0.46641
2023-03-10,0.37313
2023-03-12,0.21766
2023-03-14,6.90298
2023-03-15,0.90174
2023-03-16,0.5597
2023-03-17,0.68407
2023-03-18,0.5597
2023-03-19,0.71517
2023-03-20,0.27985
2023-03-21,9.26616
2023-03-22,2.76741
2023-03-23,0.37313
2023-03-24,0.34203
2023-03-27,0.43532
2023-03-29,1.61691
2023-03-30,8.55099
2023-03-31,0.27985
2023-04-01,0.40422
2023-04-03,0.15547
2023-04-04,0.24875
2023-04-05,3.66915
2023-04-06,4.5398
2023-04-07,2.39427
2023-04-08,2.2699
2023-04-09,1.21268
2023-04-10,9.51492
2023-04-11,2.42537
2023-04-12,2.7985
2023-04-13,2.7985
2023-04-14,1.86567
2023-04-15,2.89179
2023-04-16,1.6791
2023-04-17,0.93283
2023-04-18,0.80845
2023-04-19,1.39925
2023-04-20,2.17661
2023-04-21,0.37313
2023-04-22,0.59079
2023-04-23,4.81965
2023-04-24,2.33208
2023-04-25,0.40422
2023-04-26,0.31094
2023-04-27,0.18656
2023-04-28,0.5286
2023-04-29,0.90174
2023-04-30,1.71019
2023-05-01,1.49253
2023-05-02,3.01616
2023-05-03,1.49253
2023-05-04,1.92786
2023-05-05,1.648
2023-05-06,1.55472
2023-05-07,3.20273
2023-05-08,4.5398
2023-05-09,2.05223
2023-05-10,1.05721
2023-05-11,1.6791
2023-05-12,0.43532
2023-05-13,1.02611
2023-05-14,0.68407
2023-05-15,0.65298
2023-05-16,0.74626
2023-05-17,0.93283
2023-05-18,0.34203
2023-05-19,0.34203
2023-05-20,0.18656
2023-05-21,0.24875
2023-05-22,0.46641
2023-05-23,4.44651
2023-05-24,2.73631
2023-05-25,4.29104
2023-05-26,1.05721
2023-05-27,0.62189
2023-05-28,0.80845
2023-05-29,1.52363
2023-05-30,1.21268
2023-05-31,0.59079
2023-06-01,0.59079
2023-06-02,2.2699
2023-06-03,1.02611
2023-06-04,0.49751
2023-06-05,0.34203
2023-06-06,1.71019
2023-06-07,1.95895
2023-06-08,0.74626
2023-06-09,0.49751
2023-06-10,0.87064
2023-06-11,0.77736
2023-06-12,1.86567
2023-06-13,1.99004
2023-06-14,1.1194
2023-06-15,0.27985
2023-06-16,0.77736
2023-06-17,0.87064
2023-06-18,1.18159
2023-06-19,0.40422
2023-06-20,0.15547
2023-06-21,0.5597
2023-06-22,0.46641
2023-06-23,0.5597
2023-06-24,1.15049
2023-06-25,0.68407
2023-06-26,1.43034
2023-06-27,2.02114
2023-06-28,0.87064
2023-06-29,2.2388
2023-06-30,1.36815
2023-07-01,0.68407
2023-07-02,0.59079
2023-07-03,0.62189
2023-07-04,0.5597
2023-07-05,3.29601
2023-07-06,1.21268
2023-07-07,0.77736
2023-07-08,0.27985
2023-07-09,0.21766
2023-07-10,0.40422
2023-07-11,11.00746
2023-07-12,1.18159
2023-07-13,1.02611
2023-07-14,0.18656
2023-07-15,0.65298
2023-07-16,1.71019
2023-07-17,3.42039
2023-07-18,3.23383
2023-07-19,3.60696
2023-07-20,3.70024
2023-07-21,8.20895
2023-07-22,4.78855
2023-07-23,3.949
2023-07-24,4.04228
2023-07-25,4.10447
2023-07-26,11.28731
2023-07-27,8.55099
