date,다우지수
2020-03-20,86.87767
2020-03-21,65.05175
2020-03-22,10.52801
2020-03-23,45.078
2020-03-24,100.0
2020-03-25,94.19335
2020-03-26,96.32603
2020-03-27,77.66556
2020-03-28,53.78571
2020-03-29,9.58898
2020-03-30,34.56236
2020-03-31,69.20798
2020-04-01,76.3504
2020-04-02,77.18442
2020-04-03,59.16672
2020-04-04,76.74116
2020-04-05,7.90444
2020-04-06,25.70839
2020-04-07,57.81444
2020-04-08,57.96632
2020-04-09,55.59363
2020-04-10,45.68251
2020-04-11,22.3528
2020-04-12,6.61666
2020-04-13,20.77026
2020-04-14,42.32843
2020-04-15,33.29595
2020-04-16,36.91104
2020-04-17,36.26265
2020-04-18,22.31755
2020-04-19,4.93324
2020-04-20,15.38925
2020-04-21,44.40373
2020-04-22,47.42256
2020-04-23,36.98604
2020-04-24,33.83934
2020-04-25,20.55163
2020-04-26,4.29123
2020-04-27,11.86267
2020-04-28,29.1071
2020-04-29,27.58981
2020-04-30,21.52403
2020-05-01,20.54338
2020-05-02,17.76194
2020-05-03,4.44273
2020-05-04,10.92177
2020-05-05,27.23355
2020-05-06,28.25583
2020-05-07,32.1143
2020-05-08,26.18352
2020-05-09,16.60204
2020-05-10,3.60759
2020-05-11,9.84212
2020-05-12,26.41041
2020-05-13,30.3885
2020-05-14,34.17422
2020-05-15,30.44701
2020-05-16,16.45166
2020-05-17,3.56408
2020-05-18,11.12277
2020-05-19,34.79749
2020-05-20,37.90782
2020-05-21,29.89462
2020-05-22,26.16927
2020-05-23,16.17677
2020-05-24,3.70921
2020-05-25,9.95274
2020-05-26,23.96609
2020-05-27,26.55853
2020-05-28,28.81909
2020-05-29,24.74499
2020-05-30,15.324
2020-05-31,3.08557
2020-06-01,9.63136
2020-06-02,23.02332
2020-06-03,24.01672
2020-06-04,26.62529
2020-06-05,25.19312
2020-06-06,16.84467
2020-06-07,2.93894
2020-06-08,8.81872
2020-06-09,24.30548
2020-06-10,24.79449
2020-06-11,27.81744
2020-06-12,63.40358
2020-06-13,27.37493
2020-06-14,4.50911
2020-06-15,21.30278
2020-06-16,47.85307
2020-06-17,35.23625
2020-06-18,31.42203
2020-06-19,26.0534
2020-06-20,16.77866
2020-06-21,3.47708
2020-06-22,10.05587
2020-06-23,24.54661
2020-06-24,24.61411
2020-06-25,38.16882
2020-06-26,31.46291
2020-06-27,23.23895
2020-06-28,4.28973
2020-06-29,15.28088
2020-06-30,34.53986
2020-07-01,30.43913
2020-07-02,28.35183
2020-07-03,23.40621
2020-07-04,11.81504
2020-07-05,3.07245
2020-07-06,9.36735
2020-07-07,22.70644
2020-07-08,23.60684
2020-07-09,22.61719
2020-07-10,21.82029
2020-07-11,12.96594
2020-07-12,2.69969
2020-07-13,7.91682
2020-07-14,26.70704
2020-07-15,25.93377
2020-07-16,24.67149
2020-07-17,21.68829
2020-07-18,11.79029
2020-07-19,2.77769
2020-07-20,7.54368
2020-07-21,20.04987
2020-07-22,20.32625
2020-07-23,20.21225
2020-07-24,22.78706
2020-07-25,13.73884
2020-07-26,2.60894
2020-07-27,7.16417
2020-07-28,18.35295
2020-07-29,19.89462
2020-07-30,21.47678
2020-07-31,24.11835
2020-08-01,11.92904
2020-08-02,2.34193
2020-08-03,6.04515
2020-08-04,16.00352
2020-08-05,16.91367
2020-08-06,17.62094
2020-08-07,17.10005
2020-08-08,11.13065
2020-08-09,2.36143
2020-08-10,6.80192
2020-08-11,19.94037
2020-08-12,22.87369
2020-08-13,19.42698
2020-08-14,17.19417
2020-08-15,10.58238
2020-08-16,2.20993
2020-08-17,7.1233
2020-08-18,17.74281
2020-08-19,20.18
2020-08-20,21.55441
2020-08-21,22.66181
2020-08-22,11.61291
2020-08-23,2.40043
2020-08-24,6.61816
2020-08-25,20.01462
2020-08-26,19.98612
2020-08-27,18.64471
2020-08-28,15.81002
2020-08-29,9.12135
2020-08-30,1.99954
2020-08-31,6.02415
2020-09-01,16.37665
2020-09-02,15.16275
2020-09-03,17.07492
2020-09-04,41.41041
2020-09-05,22.58043
2020-09-06,3.28283
2020-09-07,8.41933
2020-09-08,22.2013
2020-09-09,32.00742
