date,코스피200지수
2020-03-20,100.0
2020-03-21,15.27868
2020-03-22,8.9836
2020-03-23,89.44262
2020-03-24,98.65573
2020-03-25,98.75409
2020-03-26,97.14754
2020-03-27,87.57377
2020-03-28,11.50819
2020-03-29,7.18032
2020-03-30,78.78688
2020-03-31,72.26229
2020-04-01,71.67213
2020-04-02,71.90163
2020-04-03,63.27868
2020-04-04,7.50819
2020-04-05,4.65573
2020-04-06,64.72131
2020-04-07,68.06557
2020-04-08,63.40983
2020-04-09,65.34426
2020-04-10,62.65573
2020-04-11,7.2459
2020-04-12,4.81967
2020-04-13,51.04918
2020-04-14,52.26229
2020-04-15,8.29508
2020-04-16,52.9836
2020-04-17,62.81967
2020-04-18,6.95081
2020-04-19,4.26229
2020-04-20,54.29508
2020-04-21,54.06557
2020-04-22,52.45901
2020-04-23,53.96721
2020-04-24,45.60655
2020-04-25,4.75409
2020-04-26,4.03278
2020-04-27,50.26229
2020-04-28,49.63934
2020-04-29,47.7377
2020-04-30,7.04918
2020-05-01,7.27868
2020-05-02,3.31147
2020-05-03,2.72131
2020-05-04,41.67213
2020-05-05,6.68852
2020-05-06,44.85245
2020-05-07,42.78688
2020-05-08,44.85245
2020-05-09,5.04918
2020-05-10,2.36065
2020-05-11,40.06557
2020-05-12,39.83606
2020-05-13,42.32786
2020-05-14,40.91803
2020-05-15,39.80327
2020-05-16,3.90163
2020-05-17,2.78688
2020-05-18,38.85245
2020-05-19,45.63934
2020-05-20,46.19672
2020-05-21,45.50819
2020-05-22,38.2295
2020-05-23,4.16393
2020-05-24,3.50819
2020-05-25,41.01639
2020-05-26,48.32786
2020-05-27,48.75409
2020-05-28,50.0
2020-05-29,41.83606
2020-05-30,3.83606
2020-05-31,2.95081
2020-06-01,47.70491
2020-06-02,48.19672
2020-06-03,59.40983
2020-06-04,56.19672
2020-06-05,52.19672
2020-06-06,4.68852
2020-06-07,3.18032
2020-06-08,50.88524
2020-06-09,52.39344
2020-06-10,45.11475
2020-06-11,46.9836
2020-06-12,45.7377
2020-06-13,3.83606
2020-06-14,2.39344
2020-06-15,44.72131
2020-06-16,51.70491
2020-06-17,44.13114
2020-06-18,38.29508
