date,무순위청약
2020-03-20,0.54522
2020-03-21,0.33258
2020-03-22,0.47434
2020-03-23,0.67062
2020-03-24,0.72515
2020-03-25,0.62701
2020-03-26,0.71969
2020-03-27,0.57794
2020-03-28,0.42527
2020-03-29,0.3653
2020-03-30,0.61065
2020-03-31,0.65427
2020-04-01,0.52886
2020-04-02,0.56703
2020-04-03,0.35439
2020-04-04,0.28897
2020-04-05,0.33804
2020-04-06,0.51796
2020-04-07,0.64336
2020-04-08,0.40891
2020-04-09,0.48525
2020-04-10,0.3762
2020-04-11,0.34894
2020-04-12,0.2617
2020-04-13,0.70334
2020-04-14,0.46889
2020-04-15,0.38711
2020-04-16,0.54522
2020-04-17,0.85055
2020-04-18,0.79603
2020-04-19,0.58339
2020-04-20,0.53977
2020-04-21,0.55613
2020-04-22,0.77967
2020-04-23,0.6052
2020-04-24,0.76331
2020-04-25,0.57248
2020-04-26,0.45799
2020-04-27,1.53208
2020-04-28,1.27583
2020-04-29,1.44485
2020-04-30,1.16133
2020-05-01,1.35761
2020-05-02,1.01957
2020-05-03,1.89738
2020-05-04,7.62226
2020-05-05,2.5462
2020-05-06,2.9006
2020-05-07,1.37942
2020-05-08,0.99776
2020-05-09,0.62155
2020-05-10,0.65427
2020-05-11,1.7011
2020-05-12,2.26269
2020-05-13,2.23542
2020-05-14,2.02279
2020-05-15,1.92464
2020-05-16,1.30854
2020-05-17,1.06864
2020-05-18,1.83196
2020-05-19,3.51671
2020-05-20,18.45591
2020-05-21,9.38334
2020-05-22,4.31274
2020-05-23,2.39899
2020-05-24,2.11002
2020-05-25,3.16776
2020-05-26,4.42178
2020-05-27,2.72068
2020-05-28,4.51447
2020-05-29,3.10233
2020-05-30,1.54299
2020-05-31,4.22005
2020-06-01,6.77171
2020-06-02,5.32686
2020-06-03,10.3593
2020-06-04,6.65176
2020-06-05,5.63764
2020-06-06,1.83196
2020-06-07,1.64113
2020-06-08,3.026
2020-06-09,2.63889
2020-06-10,7.37691
2020-06-11,3.47854
2020-06-12,4.41088
2020-06-13,2.74794
2020-06-14,2.12093
2020-06-15,3.22228
2020-06-16,3.99651
2020-06-17,7.23515
2020-06-18,3.33133
2020-06-19,1.97372
2020-06-20,1.06864
2020-06-21,1.00866
2020-06-22,1.65203
2020-06-23,2.56256
2020-06-24,4.86887
2020-06-25,2.28995
2020-06-26,1.54844
2020-06-27,1.23221
2020-06-28,1.11771
2020-06-29,1.83196
2020-06-30,2.03369
2020-07-01,2.27359
2020-07-02,1.72836
2020-07-03,1.59206
2020-07-04,1.15042
2020-07-05,1.30309
2020-07-06,2.09912
2020-07-07,2.57892
2020-07-08,2.28449
2020-07-09,2.05005
2020-07-10,1.73927
2020-07-11,0.89962
2020-07-12,0.88326
2020-07-13,1.31399
2020-07-14,1.97917
2020-07-15,1.3358
2020-07-16,2.05005
2020-07-17,1.72836
2020-07-18,0.6161
2020-07-19,0.79057
2020-07-20,1.8156
2020-07-21,1.5648
2020-07-22,1.65748
2020-07-23,2.12093
2020-07-24,1.02502
2020-07-25,0.79057
2020-07-26,0.77422
2020-07-27,1.18859
2020-07-28,1.42849
2020-07-29,0.99231
2020-07-30,1.04683
2020-07-31,0.92143
2020-08-01,0.58884
2020-08-02,0.68153
2020-08-03,1.51572
2020-08-04,1.30309
2020-08-05,1.30854
2020-08-06,1.15588
2020-08-07,1.83741
2020-08-08,1.90829
2020-08-09,1.43394
2020-08-10,2.51349
2020-08-11,1.96826
2020-08-12,1.92464
2020-08-13,1.78834
2020-08-14,2.11547
2020-08-15,1.81015
2020-08-16,1.06864
2020-08-17,1.45575
2020-08-18,2.74794
2020-08-19,5.64309
2020-08-20,3.80568
2020-08-21,4.54718
2020-08-22,1.72291
2020-08-23,1.67929
2020-08-24,5.49588
2020-08-25,3.20047
2020-08-26,3.05326
2020-08-27,2.74794
2020-08-28,1.97372
2020-08-29,1.3249
2020-08-30,1.40668
2020-08-31,1.79924
2020-09-01,2.39354
2020-09-02,1.97917
2020-09-03,3.51125
2020-09-04,1.94645
2020-09-05,1.25402
2020-09-06,1.3249
2020-09-07,3.04781
2020-09-08,2.24088
