date,채무불이행
2020-03-20,16.75915
2020-03-21,7.43618
2020-03-22,9.54495
2020-03-23,19.0899
2020-03-24,21.42064
2020-03-25,19.0899
2020-03-26,16.98113
2020-03-27,17.2031
2020-03-28,8.54605
2020-03-29,8.65704
2020-03-30,16.09322
2020-03-31,18.75693
2020-04-01,19.75582
2020-04-02,17.2031
2020-04-03,21.64261
2020-04-04,10.54384
2020-04-05,14.09544
2020-04-06,19.53385
2020-04-07,19.53385
2020-04-08,18.97891
2020-04-09,21.53163
2020-04-10,18.97891
2020-04-11,11.43174
2020-04-12,10.8768
2020-04-13,20.97669
2020-04-14,20.75471
2020-04-15,10.76581
2020-04-16,19.9778
2020-04-17,18.86792
2020-04-18,13.31853
2020-04-19,11.54273
2020-04-20,24.08435
2020-04-21,24.30632
2020-04-22,19.42286
2020-04-23,20.19977
2020-04-24,17.75804
2020-04-25,9.76692
2020-04-26,10.76581
2020-04-27,20.53274
2020-04-28,20.64372
2020-04-29,23.19644
2020-04-30,9.9889
2020-05-01,8.1021
2020-05-02,8.43507
2020-05-03,8.32408
2020-05-04,19.31187
2020-05-05,9.54495
2020-05-06,22.53052
2020-05-07,18.20199
2020-05-08,18.75693
2020-05-09,9.21198
2020-05-10,8.99001
2020-05-11,17.31409
2020-05-12,20.97669
2020-05-13,17.2031
2020-05-14,17.64705
2020-05-15,13.65149
2020-05-16,9.76692
2020-05-17,9.65593
2020-05-18,19.42286
2020-05-19,18.20199
2020-05-20,17.75804
2020-05-21,17.98002
2020-05-22,16.3152
2020-05-23,13.42952
2020-05-24,11.20976
2020-05-25,18.86792
2020-05-26,16.20421
2020-05-27,18.64594
2020-05-28,17.86903
2020-05-29,17.64705
2020-05-30,7.88013
2020-05-31,10.76581
2020-06-01,18.31298
2020-06-02,18.091
2020-06-03,16.98113
2020-06-04,16.87014
2020-06-05,15.20532
2020-06-06,9.54495
2020-06-07,7.54716
2020-06-08,14.31742
2020-06-09,18.42397
2020-06-10,16.87014
2020-06-11,17.09211
2020-06-12,14.98335
2020-06-13,8.43507
2020-06-14,8.76803
2020-06-15,21.7536
2020-06-16,16.87014
2020-06-17,14.65038
2020-06-18,16.98113
2020-06-19,13.65149
2020-06-20,8.99001
2020-06-21,7.2142
2020-06-22,19.42286
2020-06-23,16.09322
2020-06-24,19.42286
2020-06-25,18.31298
2020-06-26,15.09433
2020-06-27,8.54605
2020-06-28,9.43396
2020-06-29,14.98335
2020-06-30,15.31631
2020-07-01,16.20421
2020-07-02,14.87236
2020-07-03,15.09433
2020-07-04,6.21531
2020-07-05,6.3263
2020-07-06,13.54051
2020-07-07,15.20532
2020-07-08,15.31631
2020-07-09,15.87125
2020-07-10,12.20865
2020-07-11,11.43174
2020-07-12,7.54716
2020-07-13,16.87014
2020-07-14,15.31631
2020-07-15,14.98335
2020-07-16,17.42508
2020-07-17,12.98557
2020-07-18,7.54716
2020-07-19,9.32297
2020-07-20,18.86792
2020-07-21,17.09211
2020-07-22,15.76026
2020-07-23,16.64816
2020-07-24,13.20754
2020-07-25,6.54827
2020-07-26,8.21309
2020-07-27,15.87125
2020-07-28,14.09544
2020-07-29,15.31631
2020-07-30,16.20421
2020-07-31,16.98113
2020-08-01,7.32519
2020-08-02,6.88124
2020-08-03,11.32075
2020-08-04,11.43174
2020-08-05,12.76359
2020-08-06,14.5394
2020-08-07,14.09544
2020-08-08,8.1021
2020-08-09,8.99001
2020-08-10,17.53607
2020-08-11,16.20421
2020-08-12,18.091
2020-08-13,14.98335
2020-08-14,14.76137
2020-08-15,7.43618
2020-08-16,5.77136
2020-08-17,11.7647
2020-08-18,14.76137
2020-08-19,15.53829
2020-08-20,14.65038
2020-08-21,13.98446
2020-08-22,6.88124
2020-08-23,7.99112
2020-08-24,14.65038
2020-08-25,15.64927
2020-08-26,16.53718
2020-08-27,15.4273
2020-08-28,14.5394
2020-08-29,6.65926
2020-08-30,10.65482
2020-08-31,14.98335
2020-09-01,17.31409
2020-09-02,16.3152
2020-09-03,12.87458
2020-09-04,14.76137
2020-09-05,8.21309
2020-09-06,9.54495
2020-09-07,17.09211
2020-09-08,13.65149
2020-09-09,14.76137
2020-09-10,17.31409
2020-09-11,16.09322
2020-09-12,7.54716
2020-09-13,8.99001
2020-09-14,17.64705
2020-09-15,18.091
2020-09-16,18.20199
2020-09-17,15.4273
2020-09-18,12.20865
2020-09-19,7.88013
2020-09-20,8.65704
2020-09-21,16.75915
2020-09-22,16.20421
2020-09-23,16.3152
2020-09-24,16.3152
2020-09-25,12.54162
2020-09-26,11.09877
2020-09-27,11.7647
2020-09-28,16.42619
2020-09-29,13.09655
2020-09-30,6.65926
2020-10-01,5.4384
2020-10-02,16.53718
2020-10-03,18.20199
2020-10-04,13.65149
2020-10-05,18.64594
2020-10-06,21.08768
2020-10-07,19.31187
2020-10-08,19.86681
2020-10-09,10.65482
2020-10-10,9.76692
2020-10-11,11.98668
2020-10-12,20.64372
2020-10-13,18.53496
2020-10-14,16.3152
2020-10-15,17.09211
2020-10-16,19.64483
2020-10-17,10.98779
2020-10-18,12.20865
2020-10-19,20.31076
2020-10-20,21.08768
2020-10-21,20.42175
2020-10-22,19.86681
2020-10-23,17.09211
2020-10-24,10.09988
2020-10-25,10.8768
2020-10-26,18.091
2020-10-27,17.2031
2020-10-28,19.42286
2020-10-29,19.20088
2020-10-30,14.65038
2020-10-31,7.88013
2020-11-01,9.65593
2020-11-02,18.53496
2020-11-03,12.54162
2020-11-04,17.86903
2020-11-05,17.42508
2020-11-06,13.20754
2020-11-07,6.65926
2020-11-08,9.32297
2020-11-09,14.42841
2020-11-10,15.76026
2020-11-11,13.98446
2020-11-12,16.75915
2020-11-13,12.54162
2020-11-14,7.10321
2020-11-15,8.76803
2020-11-16,14.5394
2020-11-17,13.87347
2020-11-18,15.09433
2020-11-19,15.64927
2020-11-20,17.2031
2020-11-21,10.32186
2020-11-22,11.43174
2020-11-23,22.19755
2020-11-24,20.42175
2020-11-25,18.86792
2020-11-26,15.87125
2020-11-27,16.75915
2020-11-28,7.10321
2020-11-29,8.65704
2020-11-30,17.75804
2020-12-01,18.86792
2020-12-02,20.08879
2020-12-03,16.20421
2020-12-04,15.87125
2020-12-05,10.21087
2020-12-06,10.65482
2020-12-07,18.20199
2020-12-08,16.98113
2020-12-09,23.08546
2020-12-10,19.53385
2020-12-11,20.31076
2020-12-12,9.54495
2020-12-13,13.09655
2020-12-14,22.41953
2020-12-15,19.9778
2020-12-16,17.53607
2020-12-17,17.09211
2020-12-18,14.42841
2020-12-19,9.10099
2020-12-20,8.65704
2020-12-21,17.53607
2020-12-22,22.41953
2020-12-23,15.53829
2020-12-24,11.7647
2020-12-25,7.65815
2020-12-26,5.99334
2020-12-27,7.54716
2020-12-28,14.31742
2020-12-29,16.87014
2020-12-30,16.42619
2020-12-31,15.09433
2021-01-01,8.87902
2021-01-02,9.21198
2021-01-03,6.88124
2021-01-04,16.09322
2021-01-05,14.76137
2021-01-06,18.31298
2021-01-07,13.31853
2021-01-08,13.09655
2021-01-09,9.10099
2021-01-10,7.99112
2021-01-11,16.98113
2021-01-12,14.5394
2021-01-13,16.98113
2021-01-14,18.091
2021-01-15,14.76137
2021-01-16,8.99001
2021-01-17,9.9889
2021-01-18,16.09322
2021-01-19,15.53829
2021-01-20,19.64483
2021-01-21,16.09322
2021-01-22,13.09655
2021-01-23,7.99112
2021-01-24,8.32408
2021-01-25,18.86792
2021-01-26,16.20421
2021-01-27,15.64927
2021-01-28,17.42508
2021-01-29,14.5394
2021-01-30,8.65704
2021-01-31,10.54384
2021-02-01,16.64816
2021-02-02,16.87014
2021-02-03,13.09655
2021-02-04,13.65149
2021-02-05,11.87569
2021-02-06,8.99001
2021-02-07,10.54384
2021-02-08,14.65038
2021-02-09,14.42841
2021-02-10,10.98779
2021-02-11,12.76359
2021-02-12,8.87902
2021-02-13,4.55049
2021-02-14,29.85571
2021-02-15,21.08768
2021-02-16,22.30854
2021-02-17,19.86681
2021-02-18,16.42619
2021-02-19,12.54162
2021-02-20,12.20865
2021-02-21,8.99001
2021-02-22,16.98113
2021-02-23,16.75915
2021-02-24,16.75915
2021-02-25,16.42619
2021-02-26,14.42841
2021-02-27,8.43507
2021-02-28,5.99334
2021-03-01,6.54827
2021-03-02,17.86903
2021-03-03,13.98446
2021-03-04,14.20643
2021-03-05,14.09544
2021-03-06,6.77025
2021-03-07,7.32519
2021-03-08,16.20421
2021-03-09,14.65038
2021-03-10,13.42952
2021-03-11,14.09544
2021-03-12,14.31742
2021-03-13,6.99223
2021-03-14,8.87902
2021-03-15,14.65038
2021-03-16,15.98224
2021-03-17,14.31742
2021-03-18,14.20643
2021-03-19,15.64927
2021-03-20,9.87791
2021-03-21,9.65593
2021-03-22,17.86903
2021-03-23,16.53718
2021-03-24,15.98224
2021-03-25,14.20643
2021-03-26,14.76137
2021-03-27,6.43729
2021-03-28,7.65815
2021-03-29,16.75915
2021-03-30,16.75915
2021-03-31,15.53829
2021-04-01,15.31631
2021-04-02,12.20865
2021-04-03,7.32519
2021-04-04,8.1021
2021-04-05,16.09322
2021-04-06,14.65038
2021-04-07,16.87014
2021-04-08,15.31631
2021-04-09,15.09433
2021-04-10,7.99112
2021-04-11,7.65815
2021-04-12,17.2031
2021-04-13,17.75804
2021-04-14,17.09211
2021-04-15,17.53607
2021-04-16,16.42619
2021-04-17,9.21198
2021-04-18,8.65704
2021-04-19,14.76137
2021-04-20,18.97891
2021-04-21,18.091
2021-04-22,20.75471
2021-04-23,16.20421
2021-04-24,10.8768
2021-04-25,8.43507
2021-04-26,20.64372
2021-04-27,17.86903
2021-04-28,16.75915
2021-04-29,16.53718
2021-04-30,15.87125
