date,증권사이벤트
2020-03-20,22.93388
2020-03-21,11.67355
2020-03-22,13.11983
2020-03-23,16.1157
2020-03-24,17.04545
2020-03-25,22.93388
2020-03-26,23.03719
2020-03-27,22.72727
2020-03-28,18.59504
2020-03-29,15.28925
2020-03-30,19.31818
2020-03-31,20.86776
2020-04-01,25.41322
2020-04-02,22.93388
2020-04-03,18.59504
2020-04-04,15.80578
2020-04-05,12.80991
2020-04-06,17.45867
2020-04-07,20.35123
2020-04-08,24.48347
2020-04-09,20.04132
2020-04-10,23.96694
2020-04-11,19.00826
2020-04-12,19.42148
2020-04-13,20.97107
2020-04-14,22.41735
2020-04-15,20.66115
2020-04-16,22.21074
2020-04-17,24.38016
2020-04-18,16.73553
2020-04-19,22.72727
2020-04-20,20.97107
2020-04-21,19.93801
2020-04-22,21.69421
2020-04-23,22.21074
2020-04-24,20.86776
2020-04-25,14.66942
2020-04-26,16.42561
2020-04-27,19.11157
2020-04-28,17.66528
2020-04-29,20.66115
2020-04-30,13.32644
2020-05-01,17.66528
2020-05-02,14.77272
2020-05-03,15.08264
2020-05-04,21.5909
2020-05-05,18.69834
2020-05-06,21.69421
2020-05-07,19.21487
2020-05-08,19.11157
2020-05-09,17.04545
2020-05-10,18.07851
2020-05-11,23.14049
2020-05-12,19.7314
2020-05-13,20.55785
2020-05-14,18.59504
2020-05-15,18.07851
2020-05-16,12.19008
2020-05-17,13.42975
2020-05-18,17.56198
2020-05-19,19.00826
2020-05-20,19.62809
2020-05-21,22.00413
2020-05-22,18.80165
2020-05-23,15.39256
2020-05-24,12.91322
2020-05-25,17.04545
2020-05-26,19.31818
2020-05-27,20.55785
2020-05-28,22.62396
2020-05-29,19.21487
2020-05-30,16.94214
2020-05-31,16.52892
2020-06-01,26.9628
2020-06-02,29.75206
2020-06-03,22.83057
2020-06-04,24.38016
2020-06-05,25.41322
2020-06-06,19.00826
2020-06-07,18.80165
2020-06-08,18.80165
2020-06-09,24.27685
2020-06-10,21.38429
2020-06-11,19.62809
2020-06-12,17.14876
2020-06-13,11.67355
2020-06-14,13.42975
2020-06-15,14.87603
2020-06-16,15.28925
2020-06-17,15.08264
2020-06-18,17.25206
2020-06-19,14.97933
2020-06-20,9.0909
2020-06-21,11.46694
2020-06-22,13.22314
2020-06-23,16.1157
2020-06-24,18.18181
2020-06-25,12.5
2020-06-26,12.6033
2020-06-27,7.12809
2020-06-28,8.78099
2020-06-29,9.71074
2020-06-30,12.80991
2020-07-01,24.27685
2020-07-02,19.11157
2020-07-03,17.9752
2020-07-04,13.11983
2020-07-05,16.83884
2020-07-06,16.94214
2020-07-07,20.14462
2020-07-08,21.79752
2020-07-09,19.21487
2020-07-10,18.49173
2020-07-11,13.42975
2020-07-12,11.88016
2020-07-13,21.38429
2020-07-14,15.08264
2020-07-15,16.32231
2020-07-16,17.56198
2020-07-17,16.42561
2020-07-18,10.7438
2020-07-19,8.78099
2020-07-20,13.32644
2020-07-21,16.01239
2020-07-22,20.04132
2020-07-23,17.25206
2020-07-24,14.3595
2020-07-25,9.0909
2020-07-26,10.22727
2020-07-27,12.70661
2020-07-28,15.18595
2020-07-29,16.01239
2020-07-30,18.80165
2020-07-31,17.45867
2020-08-01,17.14876
2020-08-02,20.14462
2020-08-03,26.34297
2020-08-04,28.09917
2020-08-05,30.99173
2020-08-06,25.72314
2020-08-07,21.5909
2020-08-08,15.80578
2020-08-09,18.69834
2020-08-10,23.55371
2020-08-11,24.07024
2020-08-12,20.45454
2020-08-13,20.04132
2020-08-14,18.59504
2020-08-15,12.80991
2020-08-16,11.36363
2020-08-17,14.3595
2020-08-18,15.28925
2020-08-19,16.219
2020-08-20,19.7314
2020-08-21,20.04132
2020-08-22,10.43388
2020-08-23,11.98347
2020-08-24,16.1157
2020-08-25,20.86776
2020-08-26,21.5909
2020-08-27,21.07438
2020-08-28,18.59504
2020-08-29,14.4628
2020-08-30,15.28925
2020-08-31,23.55371
2020-09-01,29.75206
2020-09-02,41.83884
2020-09-03,35.8471
