date,크래프톤주가
2020-03-20,0.03025
2020-03-21,0.02247
2020-03-22,0.01815
2020-03-23,0.02592
2020-03-24,0.02765
2020-03-25,0.03975
2020-03-26,0.03284
2020-03-27,0.02247
2020-03-28,0.01815
2020-03-29,0.0121
2020-03-30,0.01555
2020-03-31,0.03543
2020-04-01,0.02506
2020-04-02,0.02765
2020-04-03,0.02765
2020-04-04,0.01728
2020-04-05,0.01987
2020-04-06,0.0242
2020-04-07,0.01815
2020-04-08,0.02506
2020-04-09,0.02074
2020-04-10,0.02074
2020-04-11,0.0095
2020-04-12,0.01555
2020-04-13,0.02247
2020-04-14,0.02333
2020-04-15,0.01382
2020-04-16,0.01987
2020-04-17,0.02679
2020-04-18,0.0121
2020-04-19,0.01037
2020-04-20,0.0242
2020-04-21,0.0242
2020-04-22,0.03025
2020-04-23,0.02592
2020-04-24,0.01555
2020-04-25,0.01382
2020-04-26,0.01123
2020-04-27,0.03284
2020-04-28,0.02679
2020-04-29,0.02765
2020-04-30,0.01296
2020-05-01,0.01382
2020-05-02,0.00864
2020-05-03,0.01555
2020-05-04,0.02765
2020-05-05,0.01469
2020-05-06,0.02938
2020-05-07,0.03457
2020-05-08,0.0458
2020-05-09,0.02938
2020-05-10,0.04321
2020-05-11,0.05358
2020-05-12,0.07173
2020-05-13,0.06309
2020-05-14,0.06914
2020-05-15,0.07865
2020-05-16,0.05704
2020-05-17,0.03025
2020-05-18,0.05704
2020-05-19,0.07778
2020-05-20,3.50484
2020-05-21,3.50916
2020-05-22,0.45463
2020-05-23,0.19101
2020-05-24,0.12964
2020-05-25,0.22213
2020-05-26,0.33363
2020-05-27,0.33968
2020-05-28,0.21435
2020-05-29,0.18669
2020-05-30,0.09594
2020-05-31,0.14261
2020-06-01,0.12619
2020-06-02,0.11495
2020-06-03,0.11927
2020-06-04,0.09248
2020-06-05,0.09507
2020-06-06,0.05963
2020-06-07,0.05358
2020-06-08,0.09421
2020-06-09,0.08124
2020-06-10,0.0605
2020-06-11,0.06568
2020-06-12,0.05704
2020-06-13,0.0337
2020-06-14,0.02765
2020-06-15,0.05445
2020-06-16,0.0726
2020-06-17,0.05877
2020-06-18,0.06568
2020-06-19,0.06914
2020-06-20,0.03198
2020-06-21,0.0121
2020-06-22,0.07087
2020-06-23,0.08902
2020-06-24,0.16508
2020-06-25,0.17372
2020-06-26,0.18064
2020-06-27,0.04494
2020-06-28,0.06136
2020-06-29,0.06136
2020-06-30,0.08383
2020-07-01,0.06482
2020-07-02,0.08556
2020-07-03,0.0726
2020-07-04,0.0458
2020-07-05,0.04408
2020-07-06,0.08988
2020-07-07,0.07519
2020-07-08,0.06914
2020-07-09,0.09507
2020-07-10,0.10976
2020-07-11,0.0484
2020-07-12,0.07173
2020-07-13,0.0847
2020-07-14,0.09853
2020-07-15,0.08988
2020-07-16,0.10371
2020-07-17,0.06914
2020-07-18,0.05963
2020-07-19,0.05618
2020-07-20,0.07692
2020-07-21,0.0968
2020-07-22,0.08211
2020-07-23,0.10544
2020-07-24,0.09334
2020-07-25,0.06741
2020-07-26,0.07951
2020-07-27,0.13224
2020-07-28,0.1331
2020-07-29,0.15471
2020-07-30,0.13137
2020-07-31,0.1452
2020-08-01,0.07951
2020-08-02,0.04667
2020-08-03,0.14607
2020-08-04,0.12359
2020-08-05,0.34486
2020-08-06,0.28349
2020-08-07,0.27312
2020-08-08,0.21262
2020-08-09,0.17545
2020-08-10,0.17977
2020-08-11,0.16595
2020-08-12,0.16335
2020-08-13,0.15039
2020-08-14,0.15298
2020-08-15,0.21608
2020-08-16,0.44685
2020-08-17,0.33622
2020-08-18,0.20052
2020-08-19,0.1452
2020-08-20,0.12792
2020-08-21,0.10976
2020-08-22,0.06482
2020-08-23,0.05445
2020-08-24,0.11495
2020-08-25,0.13569
2020-08-26,0.15039
2020-08-27,0.21176
2020-08-28,0.13829
2020-08-29,0.06741
2020-08-30,0.11236
2020-08-31,0.21003
2020-09-01,0.18496
2020-09-02,0.2688
2020-09-03,0.25065
2020-09-04,0.17286
2020-09-05,0.09161
2020-09-06,0.16854
2020-09-07,0.2057
2020-09-08,0.2446
2020-09-09,0.22213
2020-09-10,0.38376
2020-09-11,0.28004
2020-09-12,0.17805
2020-09-13,0.12532
2020-09-14,0.25929
2020-09-15,0.31461
2020-09-16,0.34313
2020-09-17,0.31115
2020-09-18,0.23163
2020-09-19,0.24287
2020-09-20,0.09853
2020-09-21,0.19706
2020-09-22,0.19965
2020-09-23,0.21176
2020-09-24,0.42006
2020-09-25,0.55749
2020-09-26,0.21262
2020-09-27,0.12446
2020-09-28,0.36474
2020-09-29,0.28263
2020-09-30,0.08902
2020-10-01,0.10199
2020-10-02,0.0968
2020-10-03,0.10544
2020-10-04,0.12014
2020-10-05,0.22645
2020-10-06,0.36128
2020-10-07,0.30424
2020-10-08,0.21262
2020-10-09,0.14002
2020-10-10,0.08643
2020-10-11,0.07692
2020-10-12,0.18064
2020-10-13,0.23423
2020-10-14,0.17372
2020-10-15,0.26534
2020-10-16,0.19533
2020-10-17,0.121
2020-10-18,0.07001
2020-10-19,0.17027
2020-10-20,0.14261
2020-10-21,0.16595
2020-10-22,0.15125
2020-10-23,0.13483
2020-10-24,0.06309
2020-10-25,0.08211
2020-10-26,0.14607
2020-10-27,0.18496
2020-10-28,0.24719
2020-10-29,0.20138
2020-10-30,0.17977
2020-10-31,0.08816
2020-11-01,0.07001
2020-11-02,0.11754
2020-11-03,0.12273
2020-11-04,0.11409
2020-11-05,0.121
2020-11-06,0.10631
2020-11-07,0.0579
2020-11-08,0.05963
2020-11-09,0.10026
2020-11-10,0.12187
2020-11-11,0.12705
2020-11-12,0.13569
2020-11-13,0.10285
2020-11-14,0.07173
2020-11-15,0.07087
2020-11-16,0.12705
2020-11-17,0.14779
2020-11-18,0.121
2020-11-19,0.10717
2020-11-20,0.11495
2020-11-21,0.07951
2020-11-22,0.08211
2020-11-23,0.12792
2020-11-24,0.15039
2020-11-25,0.1573
2020-11-26,0.12964
2020-11-27,0.14952
2020-11-28,0.14779
2020-11-29,0.121
2020-11-30,0.27572
2020-12-01,0.26707
2020-12-02,0.40969
2020-12-03,0.54106
2020-12-04,0.62145
2020-12-05,0.29473
2020-12-06,0.2688
2020-12-07,0.43648
2020-12-08,0.32239
2020-12-09,0.36128
2020-12-10,0.3561
2020-12-11,0.33881
2020-12-12,0.22126
2020-12-13,0.19015
2020-12-14,0.29041
2020-12-15,0.23941
2020-12-16,0.26621
2020-12-17,0.2325
2020-12-18,0.24374
2020-12-19,0.16249
2020-12-20,0.17545
2020-12-21,0.1936
2020-12-22,0.20398
2020-12-23,0.26707
2020-12-24,0.21781
2020-12-25,0.12619
2020-12-26,0.09853
2020-12-27,0.11754
2020-12-28,0.18669
2020-12-29,0.17632
2020-12-30,0.18064
2020-12-31,0.16076
2021-01-01,0.17459
2021-01-02,0.15125
2021-01-03,0.14347
2021-01-04,0.2688
2021-01-05,0.42179
2021-01-06,0.28177
2021-01-07,0.27572
2021-01-08,0.28436
2021-01-09,0.18755
2021-01-10,0.17372
2021-01-11,0.26621
2021-01-12,0.22299
2021-01-13,0.20916
2021-01-14,0.21348
2021-01-15,0.23596
2021-01-16,0.14347
2021-01-17,0.13829
2021-01-18,0.17545
2021-01-19,0.1841
2021-01-20,0.19101
2021-01-21,0.22126
2021-01-22,0.23682
2021-01-23,0.1452
2021-01-24,0.14347
2021-01-25,0.30164
2021-01-26,0.32585
2021-01-27,0.25756
2021-01-28,0.20138
2021-01-29,0.19879
2021-01-30,0.14866
2021-01-31,0.12532
2021-02-01,0.28004
2021-02-02,0.26448
2021-02-03,0.2325
2021-02-04,0.1815
2021-02-05,0.28436
2021-02-06,0.34227
2021-02-07,0.18583
2021-02-08,0.20743
2021-02-09,0.18323
2021-02-10,0.21521
2021-02-11,0.14693
2021-02-12,0.12359
2021-02-13,0.1452
2021-02-14,0.14174
2021-02-15,0.21521
2021-02-16,0.22818
2021-02-17,0.21348
2021-02-18,0.21781
2021-02-19,0.1841
2021-02-20,0.13397
2021-02-21,0.12273
2021-02-22,0.21435
2021-02-23,0.1452
2021-02-24,0.14347
2021-02-25,0.50476
2021-02-26,0.44685
2021-02-27,0.25238
2021-02-28,0.21003
2021-03-01,0.18064
2021-03-02,0.21176
2021-03-03,0.27399
2021-03-04,0.20052
2021-03-05,0.14261
2021-03-06,0.15298
2021-03-07,0.121
2021-03-08,0.1841
2021-03-09,0.2057
2021-03-10,0.1841
2021-03-11,0.21608
