date,미국채권투자
2020-03-20,2.59365
2020-03-21,2.88184
2020-03-22,5.4755
2020-03-23,4.32276
2020-03-24,2.88184
2020-03-25,3.74639
2020-03-26,3.45821
2020-03-27,1.44092
2020-03-28,4.32276
2020-03-29,2.88184
2020-03-30,4.03458
2020-03-31,2.88184
2020-04-02,2.30547
2020-04-04,3.17002
2020-04-05,1.7291
2020-04-06,3.17002
2020-04-07,2.88184
2020-04-08,3.17002
2020-04-09,3.74639
2020-04-10,2.59365
2020-04-12,4.32276
2020-04-13,2.88184
2020-04-14,3.74639
2020-04-15,2.30547
2020-04-16,3.45821
2020-04-18,2.01729
2020-04-19,2.59365
2020-04-21,2.88184
2020-04-22,2.88184
2020-04-25,1.44092
2020-04-26,2.30547
2020-04-27,1.44092
2020-04-29,1.44092
2020-05-05,2.88184
2020-05-08,1.44092
2020-05-11,1.7291
2020-05-13,2.59365
2020-05-14,2.01729
2020-05-15,1.7291
2020-05-17,2.01729
2020-05-18,3.17002
2020-05-19,1.7291
2020-05-20,1.7291
2020-05-25,4.89913
2020-05-27,2.01729
2020-05-28,1.7291
2020-05-29,1.44092
2020-05-31,2.01729
2020-06-01,1.44092
2020-06-06,1.44092
2020-06-07,1.7291
2020-06-09,3.17002
2020-06-11,1.44092
2020-06-14,1.7291
2020-06-16,2.01729
2020-06-21,1.7291
2020-06-23,3.74639
2020-06-24,1.7291
2020-06-25,1.44092
2020-06-28,1.44092
2020-06-29,1.44092
2020-06-30,1.7291
2020-07-01,1.44092
2020-07-02,1.44092
2020-07-03,3.74639
2020-07-04,2.59365
2020-07-06,1.44092
2020-07-08,1.7291
2020-07-19,2.01729
2020-07-27,1.7291
2020-07-30,1.44092
2020-08-05,2.30547
2020-08-06,1.44092
2020-08-11,3.17002
2020-08-13,1.7291
2020-08-16,2.01729
2020-08-20,1.44092
2020-08-21,1.44092
2020-08-25,1.7291
2020-08-26,1.7291
2020-08-27,3.45821
2020-08-28,3.74639
2020-08-30,2.01729
2020-08-31,2.59365
2020-09-02,1.44092
2020-09-03,1.7291
2020-09-04,1.44092
2020-09-05,4.61095
2020-09-06,1.44092
2020-09-07,6.62824
2020-09-08,2.01729
2020-09-09,2.88184
2020-09-14,2.01729
2020-09-15,1.7291
2020-09-19,1.44092
2020-09-23,1.44092
2020-09-29,1.7291
2020-10-01,1.44092
2020-10-02,1.44092
2020-10-03,1.44092
2020-10-04,2.59365
2020-10-05,2.59365
2020-10-06,2.59365
2020-10-11,2.30547
2020-10-12,2.01729
2020-10-15,1.44092
2020-10-20,1.44092
2020-10-23,1.7291
2020-11-11,1.44092
2020-11-13,2.30547
2020-11-20,2.59365
2020-11-28,2.01729
2020-12-03,3.74639
2020-12-04,2.01729
2020-12-05,1.44092
2020-12-06,3.17002
2020-12-07,2.88184
2020-12-08,1.7291
2020-12-09,3.74639
2020-12-10,4.61095
2020-12-11,1.44092
2020-12-12,2.01729
2020-12-13,1.44092
2020-12-14,1.7291
2020-12-15,3.45821
2020-12-18,3.74639
2020-12-19,2.59365
2020-12-20,3.17002
2020-12-21,2.30547
2020-12-22,2.30547
2020-12-23,2.01729
2020-12-25,2.01729
2020-12-26,2.01729
2020-12-28,2.59365
2020-12-29,2.30547
2020-12-30,5.18731
2021-01-01,2.88184
2021-01-02,4.03458
2021-01-03,1.44092
2021-01-04,4.32276
2021-01-05,1.44092
2021-01-06,3.74639
2021-01-07,4.03458
2021-01-08,2.01729
2021-01-09,3.74639
2021-01-10,2.30547
2021-01-11,4.61095
2021-01-12,5.4755
2021-01-13,6.05187
2021-01-14,2.59365
2021-01-15,4.61095
2021-01-16,3.74639
2021-01-17,3.45821
2021-01-18,2.88184
2021-01-19,2.59365
2021-01-20,2.59365
2021-01-21,3.45821
2021-01-22,2.59365
2021-01-23,1.44092
2021-01-24,3.17002
2021-01-25,3.17002
2021-01-26,2.01729
2021-01-27,1.44092
2021-01-28,1.44092
2021-01-29,2.01729
2021-01-30,3.17002
2021-01-31,2.30547
2021-02-03,3.17002
2021-02-04,1.44092
2021-02-06,2.01729
2021-02-08,2.59365
2021-02-10,3.74639
2021-02-12,2.01729
2021-02-13,2.59365
2021-02-14,2.01729
2021-02-15,1.44092
2021-02-16,4.03458
2021-02-17,6.34005
2021-02-18,5.18731
2021-02-19,6.91642
2021-02-20,2.01729
2021-02-21,5.4755
2021-02-22,8.06916
2021-02-23,7.78097
2021-02-24,12.10374
2021-02-25,6.91642
2021-02-26,26.80115
2021-02-27,7.78097
2021-02-28,5.76368
2021-03-01,6.05187
2021-03-02,3.74639
2021-03-03,4.89913
2021-03-04,8.64553
2021-03-05,8.93371
2021-03-06,3.74639
2021-03-07,3.74639
2021-03-08,6.05187
2021-03-09,5.76368
2021-03-10,15.27377
2021-03-11,15.85014
2021-03-12,16.71469
2021-03-13,12.96829
2021-03-14,14.40922
2021-03-15,15.85014
2021-03-16,17.29106
2021-03-17,21.03746
2021-03-18,24.78386
2021-03-19,21.03746
2021-03-20,10.08645
2021-03-21,10.37463
2021-03-22,10.66282
2021-03-23,6.91642
2021-03-24,8.93371
2021-03-25,13.54466
2021-03-26,8.06916
2021-03-27,6.91642
2021-03-28,10.66282
2021-03-29,9.2219
2021-03-30,8.35734
2021-03-31,8.06916
2021-04-01,12.39193
2021-04-02,9.79827
2021-04-03,7.78097
2021-04-04,8.35734
2021-04-05,13.54466
2021-04-06,16.13832
2021-04-07,9.51008
2021-04-08,6.05187
2021-04-09,6.05187
2021-04-10,6.62824
2021-04-11,7.49279
2021-04-12,9.2219
2021-04-13,5.18731
2021-04-15,2.01729
2021-04-16,2.59365
2021-04-17,3.45821
2021-04-18,15.27377
2021-04-19,15.56195
2021-04-20,17.00288
2021-04-21,12.10374
2021-04-22,6.34005
2021-04-23,13.83285
2021-04-24,10.08645
2021-04-25,9.51008
2021-04-26,12.39193
2021-04-27,6.05187
2021-04-28,10.08645
2021-04-29,6.62824
2021-04-30,10.08645
2021-05-01,7.49279
2021-05-02,13.83285
2021-05-03,12.68011
2021-05-04,8.35734
2021-05-05,6.05187
2021-05-06,12.10374
2021-05-07,10.66282
2021-05-08,10.66282
2021-05-09,8.06916
2021-05-10,15.85014
2021-05-11,14.98559
2021-05-12,15.56195
2021-05-13,18.73198
2021-05-14,15.56195
2021-05-15,10.08645
2021-05-16,9.2219
2021-05-17,9.51008
2021-05-18,6.34005
2021-05-19,8.06916
2021-05-20,12.39193
2021-05-21,13.25648
2021-05-22,9.51008
2021-05-23,7.78097
2021-05-24,11.23919
2021-05-25,10.951
2021-05-26,12.39193
2021-05-27,10.66282
2021-05-28,8.93371
2021-05-29,7.49279
2021-05-30,5.18731
2021-05-31,8.93371
2021-06-01,12.96829
2021-06-02,7.78097
2021-06-03,9.79827
2021-06-04,11.81556
2021-06-05,8.93371
2021-06-06,7.78097
2021-06-07,6.62824
2021-06-08,7.78097
2021-06-09,8.35734
2021-06-10,10.951
2021-06-11,7.49279
2021-06-12,6.34005
2021-06-13,5.4755
2021-06-14,7.78097
2021-06-15,11.52737
2021-06-16,10.951
2021-06-17,9.51008
2021-06-18,10.37463
2021-06-19,14.40922
2021-06-20,12.10374
2021-06-21,14.40922
2021-06-22,10.37463
2021-06-23,4.32276
2021-06-24,2.59365
2021-06-25,7.20461
2021-06-26,5.76368
2021-06-27,5.76368
2021-06-28,6.62824
2021-06-29,8.64553
2021-06-30,5.4755
2021-07-01,5.4755
