date,주식창
2020-03-20,12.46492
2020-03-21,9.21843
2020-03-22,6.97394
2020-03-23,12.58517
2020-03-24,12.34468
2020-03-25,15.1503
2020-03-26,14.98997
2020-03-27,16.19238
2020-03-28,7.49498
2020-03-29,6.93386
2020-03-30,15.87174
2020-03-31,18.11623
2020-04-01,17.1543
2020-04-02,14.90981
2020-04-03,27.65531
2020-04-04,7.13426
2020-04-05,7.37474
2020-04-06,15.51102
2020-04-07,15.99198
2020-04-08,16.03206
2020-04-09,22.72545
2020-04-10,12.62525
2020-04-11,5.97194
2020-04-12,5.13026
2020-04-13,9.21843
2020-04-14,11.02204
2020-04-15,15.1503
2020-04-16,13.34669
2020-04-17,13.82765
2020-04-18,7.57515
2020-04-19,7.65531
2020-04-20,12.74549
2020-04-21,11.74348
2020-04-22,12.38476
2020-04-23,12.50501
2020-04-24,11.74348
2020-04-25,6.41282
2020-04-26,5.17034
2020-04-27,9.69939
2020-04-28,9.85971
2020-04-29,9.37875
2020-04-30,5.01002
2020-05-01,5.4509
2020-05-02,4.88977
2020-05-03,4.76953
2020-05-04,9.21843
2020-05-05,6.73346
2020-05-06,11.74348
2020-05-07,10.501
2020-05-08,12.70541
2020-05-09,6.17234
2020-05-10,5.49098
2020-05-11,10.18036
2020-05-12,10.62124
2020-05-13,10.3006
2020-05-14,11.9038
2020-05-15,12.18436
2020-05-16,7.89579
2020-05-17,7.09418
2020-05-18,10.86172
2020-05-19,12.38476
2020-05-20,9.81963
2020-05-21,17.1543
2020-05-22,9.81963
2020-05-23,7.93587
2020-05-24,5.17034
2020-05-25,11.58316
2020-05-26,11.18236
2020-05-27,9.45891
2020-05-28,9.09819
2020-05-29,9.93987
2020-05-30,7.17434
2020-05-31,5.89178
2020-06-01,10.26052
2020-06-02,10.86172
2020-06-03,11.7034
2020-06-04,11.98396
2020-06-05,11.02204
2020-06-06,7.81563
2020-06-07,5.13026
2020-06-08,11.38276
2020-06-09,9.49899
2020-06-10,11.02204
2020-06-11,12.66533
2020-06-12,10.78156
2020-06-13,8.13627
2020-06-14,8.61723
2020-06-15,11.98396
