date,프로그램매매
2020-03-20,100.0
2020-03-21,31.10236
2020-03-22,22.04724
2020-03-23,75.19685
2020-03-24,77.95275
2020-03-25,80.51181
2020-03-26,79.3307
2020-03-27,87.20472
2020-03-28,38.38582
2020-03-29,26.9685
2020-03-30,48.03149
2020-03-31,63.97637
2020-04-01,79.13385
2020-04-02,74.21259
2020-04-03,56.10236
2020-04-04,33.07086
2020-04-05,19.09448
2020-04-06,54.92125
2020-04-07,68.11023
2020-04-08,70.27559
2020-04-09,62.20472
2020-04-10,53.937
2020-04-11,20.07874
2020-04-12,17.12598
2020-04-13,47.44094
2020-04-14,53.5433
2020-04-15,17.51968
2020-04-16,44.29133
2020-04-17,52.95275
2020-04-18,18.70078
2020-04-19,10.82677
2020-04-20,48.22834
2020-04-21,43.30708
2020-04-22,37.59842
2020-04-23,36.61417
2020-04-24,27.3622
2020-04-25,7.08661
2020-04-26,8.46456
2020-04-27,23.22834
2020-04-28,25.3937
2020-04-29,16.73228
2020-04-30,8.66141
2020-05-01,5.90551
2020-05-02,4.52755
2020-05-03,3.937
2020-05-04,16.92913
2020-05-05,7.87401
2020-05-06,17.71653
2020-05-07,13.97637
2020-05-08,13.38582
2020-05-09,5.11811
2020-05-10,4.13385
2020-05-11,15.74803
2020-05-12,15.74803
2020-05-13,16.92913
2020-05-14,16.33858
2020-05-15,17.32283
2020-05-16,7.48031
2020-05-17,8.85826
2020-05-18,14.17322
2020-05-19,22.63779
2020-05-20,17.51968
2020-05-21,18.30708
2020-05-22,18.70078
2020-05-23,5.51181
2020-05-24,5.70866
2020-05-25,10.23622
2020-05-26,14.56692
2020-05-27,14.96062
2020-05-28,13.38582
2020-05-29,19.29133
2020-05-30,4.52755
2020-05-31,4.13385
2020-06-01,17.12598
2020-06-02,22.04724
2020-06-03,21.65354
2020-06-04,26.37795
2020-06-05,20.47244
2020-06-06,6.29921
2020-06-07,5.90551
2020-06-08,15.74803
2020-06-09,17.71653
2020-06-10,20.86614
2020-06-11,25.59055
2020-06-12,21.25984
2020-06-13,4.52755
2020-06-14,2.55905
2020-06-15,22.04724
2020-06-16,36.02362
2020-06-17,15.74803
2020-06-18,16.33858
2020-06-19,16.92913
2020-06-20,4.13385
2020-06-21,5.51181
2020-06-22,16.53543
2020-06-23,13.97637
2020-06-24,18.30708
2020-06-25,17.12598
2020-06-26,16.92913
2020-06-27,3.937
2020-06-28,5.51181
2020-06-29,14.56692
2020-06-30,11.81102
2020-07-01,12.99212
2020-07-02,14.37007
2020-07-03,15.35433
2020-07-04,5.31496
2020-07-05,3.5433
2020-07-06,14.17322
2020-07-07,17.91338
2020-07-08,12.20472
2020-07-09,15.55118
2020-07-10,13.18897
2020-07-11,3.5433
2020-07-12,3.34645
2020-07-13,12.40157
2020-07-14,12.59842
2020-07-15,18.30708
2020-07-16,15.74803
2020-07-17,10.82677
2020-07-18,5.31496
2020-07-19,3.1496
2020-07-20,12.40157
2020-07-21,15.94488
2020-07-22,19.88188
2020-07-23,19.48818
2020-07-24,12.59842
2020-07-25,4.92125
2020-07-26,7.08661
2020-07-27,13.38582
2020-07-28,16.92913
2020-07-29,13.38582
2020-07-30,15.94488
2020-07-31,15.74803
2020-08-01,5.90551
2020-08-02,5.31496
2020-08-03,11.81102
2020-08-04,22.63779
2020-08-05,22.04724
2020-08-06,28.74015
2020-08-07,19.48818
2020-08-08,6.10236
2020-08-09,5.51181
2020-08-10,20.27559
2020-08-11,20.27559
2020-08-12,23.42519
2020-08-13,23.22834
2020-08-14,23.03149
2020-08-15,9.64566
2020-08-16,5.90551
2020-08-17,5.70866
2020-08-18,14.76377
2020-08-19,17.51968
2020-08-20,21.06299
2020-08-21,17.51968
2020-08-22,7.48031
2020-08-23,5.31496
2020-08-24,16.33858
2020-08-25,18.70078
2020-08-26,22.44094
2020-08-27,20.47244
2020-08-28,21.45669
2020-08-29,5.70866
2020-08-30,6.10236
2020-08-31,28.34645
2020-09-01,24.21259
2020-09-02,18.11023
2020-09-03,14.17322
2020-09-04,24.01574
2020-09-05,9.64566
2020-09-06,6.88976
2020-09-07,21.25984
2020-09-08,24.60629
2020-09-09,26.5748
2020-09-10,25.98425
2020-09-11,22.24409
2020-09-12,6.49606
2020-09-13,6.10236
2020-09-14,16.73228
2020-09-15,18.50393
2020-09-16,20.66929
2020-09-17,25.19685
2020-09-18,21.85039
2020-09-19,6.49606
2020-09-20,6.10236
2020-09-21,15.74803
2020-09-22,19.29133
2020-09-23,22.44094
2020-09-24,19.48818
2020-09-25,18.30708
2020-09-26,3.937
2020-09-27,4.92125
2020-09-28,15.35433
2020-09-29,17.51968
2020-09-30,2.16535
2020-10-01,3.937
2020-10-02,3.34645
2020-10-03,3.74015
2020-10-04,5.11811
2020-10-05,12.99212
2020-10-06,13.97637
2020-10-07,12.99212
2020-10-08,13.18897
2020-10-09,3.937
2020-10-10,4.52755
2020-10-11,4.3307
2020-10-12,11.22047
2020-10-13,15.15748
2020-10-14,10.03937
2020-10-15,17.12598
2020-10-16,14.96062
2020-10-17,4.7244
2020-10-18,3.937
2020-10-19,10.82677
2020-10-20,14.96062
2020-10-21,12.79527
2020-10-22,13.97637
2020-10-23,15.94488
2020-10-24,4.13385
2020-10-25,3.74015
2020-10-26,13.38582
2020-10-27,12.99212
2020-10-28,10.23622
2020-10-29,11.02362
2020-10-30,11.22047
2020-10-31,6.10236
2020-11-01,7.87401
2020-11-02,7.87401
2020-11-03,13.58267
2020-11-04,11.81102
2020-11-05,12.40157
2020-11-06,12.40157
2020-11-07,3.74015
2020-11-08,1.1811
2020-11-09,13.77952
2020-11-10,15.74803
2020-11-11,13.18897
2020-11-12,14.37007
2020-11-13,16.33858
2020-11-14,3.5433
2020-11-15,4.3307
2020-11-16,11.61417
2020-11-17,16.92913
2020-11-18,14.56692
2020-11-19,13.38582
2020-11-20,13.77952
2020-11-21,4.7244
2020-11-22,3.1496
2020-11-23,12.59842
2020-11-24,15.15748
2020-11-25,21.45669
2020-11-26,17.51968
2020-11-27,13.18897
2020-11-28,5.51181
2020-11-29,5.51181
2020-11-30,23.42519
2020-12-01,19.88188
2020-12-02,15.35433
2020-12-03,14.56692
2020-12-04,19.48818
2020-12-05,3.5433
2020-12-06,1.77165
2020-12-07,14.76377
2020-12-08,17.32283
2020-12-09,16.73228
2020-12-10,21.06299
2020-12-11,16.73228
2020-12-12,7.08661
2020-12-13,5.51181
2020-12-14,17.71653
2020-12-15,17.91338
2020-12-16,20.27559
2020-12-17,15.55118
2020-12-18,15.94488
2020-12-19,4.52755
2020-12-20,6.29921
2020-12-21,16.53543
2020-12-22,17.12598
2020-12-23,14.37007
2020-12-24,18.70078
2020-12-25,5.70866
2020-12-26,6.49606
2020-12-27,3.937
2020-12-28,19.68503
2020-12-29,16.92913
2020-12-30,17.91338
2020-12-31,4.7244
2021-01-01,5.31496
2021-01-02,4.3307
2021-01-03,6.69291
2021-01-04,17.12598
2021-01-05,19.68503
2021-01-06,23.62204
2021-01-07,21.45669
2021-01-08,26.37795
2021-01-09,8.07086
2021-01-10,6.10236
2021-01-11,38.58267
2021-01-12,26.37795
2021-01-13,26.9685
2021-01-14,31.88976
2021-01-15,26.5748
2021-01-16,9.44881
2021-01-17,8.46456
2021-01-18,28.1496
2021-01-19,30.31496
2021-01-20,25.0
2021-01-21,29.52755
2021-01-22,22.63779
2021-01-23,11.61417
2021-01-24,7.08661
2021-01-25,19.29133
2021-01-26,32.48031
2021-01-27,28.34645
2021-01-28,57.67716
2021-01-29,39.76377
2021-01-30,10.62992
2021-01-31,12.99212
2021-02-01,21.85039
2021-02-02,25.19685
2021-02-03,21.65354
2021-02-04,21.65354
2021-02-05,19.88188
2021-02-06,10.23622
2021-02-07,11.41732
2021-02-08,21.45669
2021-02-09,18.50393
2021-02-10,17.91338
2021-02-11,4.7244
2021-02-12,5.11811
2021-02-13,5.31496
2021-02-14,6.69291
2021-02-15,17.91338
2021-02-16,23.03149
2021-02-17,28.937
2021-02-18,27.16535
2021-02-19,25.7874
2021-02-20,7.48031
2021-02-21,9.05511
2021-02-22,19.68503
2021-02-23,17.51968
2021-02-24,26.1811
2021-02-25,23.62204
2021-02-26,22.04724
2021-02-27,8.46456
2021-02-28,4.13385
2021-03-01,4.52755
2021-03-02,16.33858
2021-03-03,15.15748
2021-03-04,13.97637
2021-03-05,19.09448
2021-03-06,5.11811
2021-03-07,4.3307
2021-03-08,17.12598
2021-03-09,13.77952
2021-03-10,19.09448
2021-03-11,21.45669
2021-03-12,16.14173
2021-03-13,4.52755
2021-03-14,6.69291
2021-03-15,12.40157
2021-03-16,15.94488
2021-03-17,15.94488
2021-03-18,16.53543
2021-03-19,14.56692
2021-03-20,4.92125
2021-03-21,5.51181
2021-03-22,12.00787
2021-03-23,12.99212
2021-03-24,11.41732
2021-03-25,12.20472
2021-03-26,18.89763
2021-03-27,5.11811
2021-03-28,4.3307
2021-03-29,12.20472
2021-03-30,18.70078
2021-03-31,18.50393
