date,연금저축IRP
2020-03-20,6.8217
2020-03-21,7.44186
2020-03-22,5.73643
2020-03-23,6.51162
2020-03-24,6.8217
2020-03-25,6.97674
2020-03-26,7.59689
2020-03-27,8.68217
2020-03-28,4.96124
2020-03-29,5.27131
2020-03-30,9.92248
2020-03-31,5.89147
2020-04-01,5.11627
2020-04-02,6.20155
2020-04-03,5.42635
2020-04-04,2.48062
2020-04-05,6.66666
2020-04-06,4.96124
2020-04-07,5.73643
2020-04-08,5.42635
2020-04-09,4.031
2020-04-10,7.44186
2020-04-11,4.49612
2020-04-12,6.20155
2020-04-13,4.18604
2020-04-14,3.10077
2020-04-15,4.49612
2020-04-16,4.65116
2020-04-17,4.49612
2020-04-18,2.17054
2020-04-19,5.27131
2020-04-20,5.27131
2020-04-21,4.65116
2020-04-22,6.04651
2020-04-23,5.73643
2020-04-24,5.11627
2020-04-25,1.70542
2020-04-26,2.63565
2020-04-27,4.18604
2020-04-28,6.04651
2020-04-29,4.49612
2020-04-30,2.79069
2020-05-01,3.87596
2020-05-02,3.10077
2020-05-03,5.89147
2020-05-04,4.8062
2020-05-05,4.49612
2020-05-06,3.72093
2020-05-07,6.20155
2020-05-08,3.41085
2020-05-09,2.94573
2020-05-10,1.55038
2020-05-11,4.031
2020-05-12,5.89147
2020-05-13,6.20155
2020-05-14,4.18604
2020-05-15,2.94573
2020-05-16,2.0155
2020-05-17,3.72093
2020-05-18,6.04651
2020-05-19,5.58139
2020-05-20,5.11627
2020-05-21,7.75193
2020-05-22,5.42635
2020-05-23,1.70542
2020-05-24,2.48062
2020-05-25,8.99224
2020-05-26,10.38759
2020-05-27,4.49612
2020-05-28,5.11627
2020-05-29,5.27131
2020-05-30,2.48062
2020-05-31,4.031
2020-06-01,3.87596
2020-06-02,4.49612
2020-06-03,6.35658
2020-06-04,4.96124
2020-06-05,7.28682
2020-06-06,4.8062
2020-06-07,5.42635
2020-06-08,9.76744
2020-06-09,4.65116
2020-06-10,6.66666
2020-06-11,6.20155
2020-06-12,4.8062
2020-06-13,3.87596
2020-06-14,3.56589
2020-06-15,4.49612
2020-06-16,4.031
2020-06-17,4.18604
2020-06-18,4.34108
2020-06-19,3.25581
2020-06-20,2.63565
2020-06-21,3.41085
2020-06-22,5.42635
2020-06-23,5.27131
2020-06-24,5.73643
2020-06-25,11.31782
2020-06-26,4.96124
2020-06-27,2.32558
2020-06-28,2.94573
2020-06-29,3.72093
2020-06-30,4.18604
2020-07-01,3.25581
2020-07-02,3.72093
2020-07-03,2.48062
2020-07-04,4.49612
2020-07-05,3.87596
2020-07-06,2.79069
2020-07-07,5.42635
