date,WTI유가
2020-11-08,0.75138
2020-11-09,3.29826
2020-11-10,4.80707
2020-11-11,4.80103
2020-11-12,4.04964
2020-11-13,2.96229
2020-11-14,1.47461
2020-11-15,0.67393
2020-11-16,2.58207
2020-11-17,3.21477
2020-11-18,3.01561
2020-11-19,2.90798
2020-11-20,2.29641
2020-11-21,1.39011
2020-11-22,0.63772
2020-11-23,2.53681
2020-11-24,3.4934
2020-11-25,4.71252
2020-11-26,4.69743
2020-11-27,3.67647
2020-11-28,1.65768
2020-11-29,0.78357
2020-11-30,2.67562
2020-12-01,3.07696
2020-12-02,2.89892
2020-12-03,3.40589
2020-12-04,3.45819
2020-12-05,2.00571
2020-12-06,0.90931
2020-12-07,2.51066
2020-12-08,2.91301
2020-12-09,3.08199
2020-12-10,2.96229
2020-12-11,3.98728
2020-12-12,1.63655
2020-12-13,0.72925
2020-12-14,2.63639
2020-12-15,3.28015
2020-12-16,3.17956
2020-12-17,3.6131
2020-12-18,3.11418
2020-12-19,2.03588
2020-12-20,0.94351
2020-12-21,3.36967
2020-12-22,3.49742
2020-12-23,3.19968
2020-12-24,3.13732
2020-12-25,1.5762
2020-12-26,0.90729
2020-12-27,0.80872
2020-12-28,2.4674
2020-12-29,2.69171
2020-12-30,2.53077
2020-12-31,1.87997
2021-01-01,1.12557
2021-01-02,0.67997
2021-01-03,0.63973
2021-01-04,2.86975
2021-01-05,3.60404
2021-01-06,5.30699
2021-01-07,4.64613
2021-01-08,3.87965
2021-01-09,2.34167
2021-01-10,1.2684
2021-01-11,3.47328
2021-01-12,4.29105
2021-01-13,4.54655
2021-01-14,4.22366
2021-01-15,3.81829
2021-01-16,1.89003
2021-01-17,0.93646
2021-01-18,2.78928
2021-01-19,3.23992
2021-01-20,3.29122
2021-01-21,3.12525
2021-01-22,2.75911
2021-01-23,1.43437
2021-01-24,0.65985
2021-01-25,2.10428
2021-01-26,2.74
2021-01-27,2.51166
2021-01-28,2.56196
2021-01-29,2.31652
2021-01-30,1.33378
2021-01-31,0.55926
2021-02-01,1.99364
2021-02-02,3.61611
2021-02-03,3.69357
2021-02-04,3.74989
2021-02-05,3.09909
2021-02-06,1.63253
2021-02-07,0.73831
2021-02-08,2.39599
2021-02-09,3.80321
2021-02-10,2.89289
2021-02-11,2.06707
2021-02-12,1.85382
2021-02-13,1.87997
2021-02-14,1.07125
2021-02-15,3.59398
2021-02-16,4.21763
2021-02-17,3.97119
2021-02-18,4.17035
2021-02-19,4.02752
2021-02-20,1.92323
2021-02-21,1.01593
2021-02-22,2.95525
2021-02-23,4.65317
2021-02-24,4.10296
2021-02-25,4.50128
2021-02-26,3.85249
2021-02-27,1.94133
2021-02-28,0.86605
2021-03-01,2.34066
2021-03-02,4.06775
2021-03-03,3.94805
2021-03-04,3.96314
2021-03-05,4.83724
