date,NFT코인
2020-08-23,0.05441
2020-08-24,0.32651
2020-08-25,0.04664
2020-08-26,0.20213
2020-08-27,0.06219
2020-08-28,0.08551
2020-08-29,0.15548
2020-08-30,0.482
2020-08-31,0.32651
2020-09-01,0.15548
2020-09-02,0.10106
2020-09-03,0.13993
2020-09-04,0.2099
2020-09-05,0.16325
2020-09-06,0.09329
2020-09-07,0.12438
2020-09-08,0.13993
2020-09-09,0.14771
2020-09-10,0.19435
2020-09-11,0.12438
2020-09-12,0.08551
2020-09-13,0.16325
2020-09-14,0.1788
2020-09-15,0.16325
2020-09-16,0.20213
2020-09-17,0.23322
2020-09-18,0.17103
2020-09-19,0.19435
2020-09-20,0.07774
2020-09-21,0.14771
2020-09-22,0.10883
2020-09-23,0.69968
2020-09-24,0.41203
2020-09-25,0.08551
2020-09-26,0.09329
2020-09-27,0.07774
2020-09-28,0.25654
2020-09-29,0.17103
2020-09-30,0.14771
2020-10-01,0.08551
2020-10-02,0.12438
2020-10-03,0.08551
2020-10-04,0.22545
2020-10-05,0.19435
2020-10-06,0.1788
2020-10-07,0.15548
2020-10-08,0.15548
2020-10-09,0.13993
2020-10-10,0.09329
2020-10-11,0.07774
2020-10-12,0.24877
2020-10-13,0.24877
2020-10-14,0.33429
2020-10-15,0.241
2020-10-16,0.2099
2020-10-17,0.17103
2020-10-18,0.19435
2020-10-19,0.28764
2020-10-20,0.22545
2020-10-21,0.25654
2020-10-22,0.17103
2020-10-23,0.14771
2020-10-24,0.07774
2020-10-25,0.09329
2020-10-26,0.03887
2020-10-27,0.08551
2020-10-28,0.22545
2020-10-29,0.17103
2020-10-30,0.13993
2020-10-31,0.06219
2020-11-01,0.06996
2020-11-05,0.08551
2020-11-09,0.03887
2020-11-10,0.05441
2020-11-12,0.10883
2020-11-14,0.04664
2020-11-16,0.04664
2020-11-19,0.04664
2020-11-20,0.06219
2020-11-22,0.03887
2020-11-23,0.12438
2020-11-24,0.10883
2020-11-25,0.06219
2020-11-26,0.03887
2020-11-27,0.05441
2020-11-30,0.06996
2020-12-02,0.04664
2020-12-03,0.03887
2020-12-04,0.03887
2020-12-07,0.03887
2020-12-08,0.11661
2020-12-13,0.03887
2020-12-14,0.08551
2020-12-15,0.18658
2020-12-16,0.10883
2020-12-17,0.06219
2020-12-18,0.09329
2020-12-19,0.21767
2020-12-20,0.21767
2020-12-21,0.16325
2020-12-22,0.08551
2020-12-23,0.06996
2020-12-27,0.05441
2020-12-28,0.06996
2020-12-29,0.04664
2020-12-30,0.04664
2021-01-01,0.04664
2021-01-02,0.05441
2021-01-03,0.19435
2021-01-04,0.22545
2021-01-05,0.19435
2021-01-06,0.12438
2021-01-07,0.13993
2021-01-08,0.15548
2021-01-09,0.13993
2021-01-10,0.10106
2021-01-11,0.09329
2021-01-12,0.09329
2021-01-13,0.08551
2021-01-14,0.15548
2021-01-15,0.03887
2021-01-16,0.32651
2021-01-17,0.22545
2021-01-18,0.21767
2021-01-19,2.65878
2021-01-20,0.6919
2021-01-21,4.2525
2021-01-22,1.53152
2021-01-23,3.66166
2021-01-24,1.87359
2021-01-25,2.38669
2021-01-26,1.15836
2021-01-27,0.92513
2021-01-28,0.9951
2021-01-29,0.74632
2021-01-30,0.54419
2021-01-31,1.01065
2021-02-01,0.723
2021-02-02,0.90958
2021-02-03,1.01842
2021-02-04,0.90958
2021-02-05,1.14281
2021-02-06,0.94845
2021-02-07,1.4771
2021-02-08,1.75697
2021-02-09,1.61704
2021-02-10,1.51597
2021-02-11,1.76475
2021-02-12,1.5082
2021-02-13,2.43333
2021-02-14,5.97838
2021-02-15,5.58967
2021-02-16,6.5148
2021-02-17,6.19606
2021-02-18,6.10277
2021-02-19,7.68871
2021-02-20,3.96486
