date,신탁형ISA
2020-03-20,19.93127
2020-03-21,6.18556
2020-03-22,6.5292
2020-03-23,20.61855
2020-03-24,25.08591
2020-03-25,25.77319
2020-03-26,16.49484
2020-03-27,19.24398
2020-03-28,8.9347
2020-03-29,10.30927
2020-03-30,17.18213
2020-03-31,14.77663
2020-04-01,18.90034
2020-04-02,42.61168
2020-04-03,50.51546
2020-04-04,11.3402
2020-04-05,10.99656
2020-04-06,18.90034
2020-04-07,64.94845
2020-04-08,80.75601
2020-04-09,71.13402
2020-04-10,57.38831
2020-04-11,14.43298
2020-04-12,10.65292
2020-04-13,19.93127
2020-04-14,16.49484
2020-04-15,6.5292
2020-04-16,18.5567
2020-04-17,10.99656
2020-04-18,4.46735
2020-04-19,9.27835
2020-04-20,16.1512
2020-04-21,25.42955
2020-04-22,12.71477
2020-04-23,12.71477
2020-04-24,14.77663
2020-04-25,5.84192
2020-04-26,7.21649
2020-04-27,13.40206
2020-04-28,11.68384
2020-04-29,11.68384
2020-04-30,8.9347
2020-05-01,7.90378
2020-05-02,5.15463
2020-05-03,3.78006
2020-05-04,16.83848
2020-05-05,7.56013
2020-05-06,10.99656
2020-05-07,8.9347
2020-05-08,11.68384
2020-05-09,7.56013
2020-05-10,4.81099
2020-05-11,8.24742
2020-05-12,43.64261
2020-05-13,47.76632
2020-05-14,60.13745
2020-05-15,61.85567
2020-05-16,8.24742
2020-05-17,6.87285
2020-05-18,19.58762
2020-05-19,12.37113
2020-05-20,12.02749
2020-05-21,10.65292
2020-05-22,10.30927
2020-05-23,4.81099
2020-05-24,6.5292
2020-05-25,13.7457
2020-05-26,13.7457
2020-05-27,9.27835
2020-05-28,9.96563
2020-05-29,9.62199
2020-05-30,3.43642
2020-05-31,6.18556
2020-06-01,17.18213
2020-06-02,15.12027
2020-06-03,8.24742
2020-06-04,7.56013
2020-06-05,12.02749
2020-06-06,5.84192
2020-06-07,4.81099
2020-06-08,10.65292
2020-06-09,7.90378
2020-06-10,10.65292
2020-06-11,11.68384
2020-06-12,7.21649
2020-06-13,4.12371
2020-06-14,7.21649
2020-06-15,12.71477
2020-06-16,12.37113
2020-06-17,9.96563
2020-06-18,10.30927
2020-06-19,8.9347
2020-06-20,7.21649
2020-06-22,9.27835
2020-06-23,31.27147
2020-06-24,45.01718
2020-06-25,22.68041
2020-06-26,46.0481
2020-06-27,8.9347
2020-06-28,4.81099
2020-06-29,10.30927
2020-06-30,10.65292
2020-07-01,17.86941
2020-07-02,6.5292
2020-07-03,13.05841
2020-07-04,7.56013
2020-07-05,8.9347
2020-07-06,10.99656
2020-07-07,10.30927
2020-07-08,9.96563
2020-07-09,9.96563
2020-07-10,9.62199
2020-07-11,7.56013
2020-07-12,6.5292
2020-07-13,12.02749
2020-07-14,10.30927
2020-07-15,13.7457
2020-07-16,14.43298
2020-07-17,6.18556
2020-07-18,4.81099
2020-07-19,2.74914
2020-07-20,8.24742
2020-07-21,13.05841
2020-07-22,30.92783
2020-07-23,43.98625
2020-07-24,41.58075
2020-07-25,8.59106
2020-07-26,9.27835
2020-07-27,21.30584
2020-07-28,15.12027
2020-07-29,15.46391
2020-07-30,11.68384
2020-07-31,12.02749
2020-08-01,9.27835
2020-08-02,7.90378
2020-08-03,14.43298
2020-08-04,11.3402
2020-08-05,14.77663
2020-08-06,10.65292
2020-08-07,10.99656
2020-08-08,6.18556
2020-08-09,6.87285
2020-08-10,8.9347
2020-08-11,16.83848
2020-08-12,10.65292
2020-08-13,7.56013
2020-08-14,7.21649
2020-08-15,7.90378
2020-08-16,5.15463
2020-08-17,5.84192
2020-08-18,13.40206
2020-08-19,28.52233
2020-08-20,35.39518
2020-08-21,32.98969
2020-08-22,10.99656
2020-08-23,9.62199
2020-08-24,10.30927
2020-08-25,11.68384
2020-08-26,11.68384
2020-08-27,11.68384
2020-08-28,14.77663
2020-08-29,8.59106
2020-08-30,8.9347
2020-08-31,16.1512
2020-09-01,18.21305
2020-09-02,12.37113
2020-09-03,16.49484
2020-09-04,13.7457
2020-09-05,7.21649
2020-09-06,5.49828
2020-09-07,11.3402
2020-09-08,12.71477
2020-09-09,10.99656
2020-09-10,8.59106
2020-09-11,13.7457
2020-09-12,3.09278
2020-09-14,11.3402
2020-09-15,13.05841
2020-09-16,15.46391
2020-09-17,11.68384
2020-09-18,7.56013
2020-09-19,4.12371
2020-09-20,6.5292
2020-09-21,7.90378
2020-09-22,7.56013
2020-09-23,8.59106
2020-09-24,10.99656
2020-09-25,9.27835
2020-09-26,5.84192
2020-09-27,4.81099
2020-09-28,7.90378
2020-09-29,11.3402
2020-09-30,10.30927
2020-10-01,6.18556
2020-10-02,3.78006
2020-10-03,4.46735
2020-10-04,4.46735
2020-10-05,16.1512
2020-10-06,17.18213
2020-10-07,12.71477
2020-10-08,9.96563
2020-10-10,2.74914
2020-10-11,3.43642
2020-10-12,9.96563
2020-10-13,10.99656
2020-10-14,8.59106
2020-10-15,10.99656
2020-10-16,10.30927
2020-10-17,2.06185
2020-10-18,2.74914
2020-10-19,7.90378
2020-10-20,13.05841
2020-10-21,11.3402
2020-10-22,4.46735
2020-10-23,10.30927
2020-10-24,3.43642
2020-10-25,5.15463
2020-10-26,10.99656
2020-10-27,12.71477
2020-10-28,8.9347
2020-10-29,8.9347
2020-10-30,7.56013
2020-10-31,7.21649
2020-11-01,4.81099
2020-11-02,15.12027
2020-11-03,13.40206
2020-11-04,9.62199
2020-11-05,5.15463
2020-11-06,8.24742
2020-11-07,3.09278
2020-11-08,3.43642
2020-11-09,10.99656
2020-11-10,12.71477
2020-11-11,11.68384
2020-11-12,6.87285
2020-11-13,9.27835
2020-11-14,7.21649
2020-11-15,4.81099
2020-11-16,11.68384
2020-11-17,11.68384
2020-11-18,10.30927
2020-11-19,10.30927
2020-11-20,20.27491
2020-11-21,7.56013
2020-11-22,7.21649
2020-11-23,15.12027
2020-11-24,15.80756
2020-11-25,19.58762
2020-11-26,13.40206
2020-11-27,16.49484
2020-11-28,7.90378
2020-11-29,9.27835
2020-11-30,12.37113
2020-12-01,25.08591
2020-12-02,16.1512
2020-12-03,17.18213
2020-12-04,8.9347
2020-12-05,6.18556
2020-12-06,8.59106
2020-12-07,13.05841
2020-12-08,13.7457
2020-12-09,19.24398
2020-12-10,17.86941
2020-12-11,15.12027
2020-12-12,8.9347
2020-12-13,3.78006
2020-12-14,23.71134
2020-12-15,31.61512
2020-12-16,41.23711
2020-12-17,34.7079
2020-12-18,34.02061
2020-12-19,12.02749
2020-12-20,10.65292
2020-12-21,19.58762
2020-12-22,28.86597
2020-12-23,22.33676
2020-12-24,36.08247
2020-12-25,13.7457
2020-12-26,8.9347
2020-12-27,15.12027
2020-12-28,35.05154
2020-12-29,31.27147
2020-12-30,43.29896
2020-12-31,51.54639
2021-01-01,16.49484
2021-01-02,12.02749
2021-01-03,16.83848
2021-01-04,31.95876
2021-01-05,26.11683
2021-01-06,24.74226
2021-01-07,27.4914
2021-01-08,27.4914
2021-01-09,15.80756
2021-01-10,21.64948
2021-01-11,30.24054
2021-01-12,26.46048
2021-01-13,30.24054
2021-01-14,32.64604
2021-01-15,36.42611
2021-01-16,11.68384
2021-01-17,13.05841
2021-01-18,30.58419
2021-01-19,36.42611
2021-01-20,32.3024
2021-01-21,40.89347
2021-01-22,32.98969
2021-01-23,16.1512
2021-01-24,18.90034
2021-01-25,41.23711
2021-01-26,37.45704
2021-01-27,29.55326
2021-01-28,48.10996
2021-01-29,54.98281
2021-01-30,16.83848
2021-01-31,18.5567
2021-02-01,31.27147
2021-02-02,37.45704
2021-02-03,44.32989
2021-02-04,51.20274
2021-02-05,54.63917
2021-02-06,20.27491
2021-02-07,16.49484
2021-02-08,48.4536
2021-02-09,35.05154
2021-02-10,67.0103
2021-02-11,23.71134
2021-02-12,11.68384
2021-02-13,14.43298
2021-02-14,15.46391
2021-02-15,46.0481
2021-02-16,54.29553
2021-02-17,68.72852
2021-02-18,46.0481
2021-02-19,44.67353
2021-02-20,17.52577
2021-02-21,11.68384
2021-02-22,40.54982
2021-02-23,40.54982
2021-02-24,34.7079
2021-02-25,42.61168
2021-02-26,48.79725
2021-02-27,16.83848
2021-02-28,13.40206
2021-03-01,19.93127
2021-03-02,27.83505
2021-03-03,32.3024
2021-03-04,42.95532
2021-03-05,56.35738
2021-03-06,18.5567
2021-03-07,19.93127
2021-03-08,45.70446
2021-03-09,34.7079
2021-03-10,38.48797
2021-03-11,55.6701
2021-03-12,54.98281
2021-03-13,16.83848
2021-03-14,15.46391
2021-03-15,45.36082
2021-03-16,41.23711
2021-03-17,41.92439
2021-03-18,36.76975
2021-03-19,59.10652
2021-03-20,20.27491
2021-03-21,13.05841
2021-03-22,44.67353
2021-03-23,33.33333
2021-03-24,40.20618
2021-03-25,34.02061
2021-03-26,38.14432
2021-03-27,17.52577
2021-03-28,19.58762
2021-03-29,37.80068
2021-03-30,31.61512
2021-03-31,25.42955
2021-04-01,40.20618
2021-04-02,30.92783
2021-04-03,15.80756
2021-04-04,8.59106
2021-04-05,28.17869
2021-04-06,23.71134
2021-04-07,32.3024
2021-04-08,28.52233
2021-04-09,28.86597
2021-04-10,14.77663
2021-04-11,15.46391
2021-04-12,29.20962
2021-04-13,36.42611
2021-04-14,29.55326
2021-04-15,23.02405
2021-04-16,29.55326
2021-04-17,13.7457
2021-04-18,11.3402
2021-04-19,24.74226
2021-04-20,29.20962
2021-04-21,26.80412
2021-04-22,17.18213
2021-04-23,28.17869
2021-04-24,12.37113
2021-04-25,8.59106
2021-04-26,29.8969
2021-04-27,24.39862
2021-04-28,47.76632
2021-04-29,27.14776
2021-04-30,54.29553
2021-05-01,12.71477
2021-05-02,8.24742
2021-05-03,31.95876
2021-05-04,20.61855
2021-05-05,8.59106
2021-05-06,28.86597
2021-05-07,18.21305
2021-05-08,7.21649
2021-05-09,7.21649
2021-05-10,20.96219
2021-05-11,13.7457
2021-05-12,18.21305
2021-05-13,15.80756
2021-05-14,18.5567
2021-05-15,5.15463
2021-05-16,7.90378
2021-05-17,15.12027
2021-05-18,23.71134
2021-05-19,13.05841
2021-05-20,18.21305
2021-05-21,18.5567
2021-05-22,6.87285
2021-05-23,5.15463
2021-05-24,15.46391
2021-05-25,20.61855
2021-05-26,14.77663
2021-05-27,15.12027
2021-05-28,13.40206
2021-05-29,5.84192
2021-05-30,8.24742
2021-05-31,15.46391
2021-06-01,14.08934
2021-06-02,17.86941
2021-06-03,15.12027
2021-06-04,18.5567
2021-06-05,6.87285
2021-06-06,9.27835
2021-06-07,13.7457
2021-06-08,18.21305
2021-06-09,16.49484
2021-06-10,15.80756
2021-06-11,16.83848
2021-06-12,7.21649
2021-06-13,7.90378
2021-06-14,19.24398
2021-06-15,22.33676
2021-06-16,34.36426
2021-06-17,41.58075
