date,KB자동차보험
2020-03-20,24.82897
2020-03-21,16.86116
2020-03-22,15.09054
2020-03-23,35.41247
2020-03-24,26.84104
2020-03-25,26.96177
2020-03-26,28.41046
2020-03-27,30.34205
2020-03-28,19.55734
2020-03-29,14.52716
2020-03-30,31.46881
2020-03-31,24.78873
2020-04-01,26.51911
2020-04-02,26.03621
2020-04-03,27.04225
2020-04-04,17.14285
2020-04-05,16.94164
2020-04-06,29.73843
2020-04-07,24.38631
2020-04-08,24.30583
2020-04-09,25.31187
2020-04-10,25.07042
2020-04-11,16.57947
2020-04-12,17.82696
2020-04-13,33.6016
2020-04-14,27.84708
2020-04-15,15.01006
2020-04-16,28.20925
2020-04-17,27.76659
2020-04-18,17.54527
2020-04-19,17.3843
2020-04-20,35.7344
2020-04-21,32.83702
2020-04-22,32.87726
2020-04-23,28.97384
2020-04-24,28.69215
2020-04-25,17.3843
2020-04-26,17.90744
2020-04-27,35.2515
2020-04-28,31.7505
2020-04-29,34.36619
2020-04-30,24.70824
2020-05-01,24.58752
2020-05-02,13.92354
2020-05-03,17.58551
2020-05-04,38.63179
2020-05-05,17.78672
2020-05-06,39.15492
2020-05-07,31.38832
2020-05-08,34.44668
2020-05-09,21.93158
2020-05-10,19.35613
2020-05-11,47.16297
2020-05-12,38.79275
2020-05-13,34.16498
2020-05-14,32.83702
2020-05-15,35.13078
2020-05-16,23.66197
2020-05-17,21.52917
2020-05-18,45.23138
2020-05-19,36.05633
2020-05-20,35.65392
2020-05-21,33.6016
2020-05-22,33.52112
2020-05-23,22.49496
2020-05-24,20.36217
2020-05-25,42.85714
2020-05-26,32.71629
2020-05-27,35.85513
2020-05-28,42.53521
2020-05-29,38.14889
2020-05-30,22.57545
2020-05-31,22.53521
2020-06-01,44.62776
2020-06-02,39.67806
2020-06-03,48.53118
2020-06-04,44.22535
2020-06-05,39.67806
2020-06-06,22.29376
2020-06-07,20.04024
2020-06-08,37.26358
2020-06-09,38.67203
2020-06-10,35.13078
2020-06-11,35.57344
2020-06-12,34.32595
2020-06-13,24.62776
2020-06-14,24.26559
2020-06-15,47.16297
2020-06-16,37.3843
2020-06-17,35.09054
2020-06-18,41.56941
2020-06-19,38.91348
2020-06-20,22.73641
2020-06-21,21.32796
2020-06-22,41.60965
2020-06-23,34.20523
2020-06-24,33.36016
2020-06-25,34.60764
2020-06-26,32.99798
2020-06-27,23.78269
2020-06-28,21.24748
2020-06-29,40.44265
2020-06-30,43.17907
2020-07-01,39.87927
2020-07-02,37.46478
2020-07-03,35.17102
2020-07-04,20.24144
2020-07-05,21.12676
2020-07-06,46.63983
2020-07-07,40.2012
2020-07-08,35.81488
2020-07-09,36.9014
2020-07-10,36.2173
2020-07-11,24.06438
2020-07-12,24.58752
2020-07-13,47.24346
2020-07-14,42.97786
2020-07-15,46.8008
2020-07-16,39.0342
2020-07-17,39.31589
2020-07-18,25.27162
2020-07-19,25.6338
2020-07-20,48.4507
2020-07-21,40.40241
2020-07-22,34.36619
2020-07-23,39.67806
2020-07-24,41.32796
2020-07-25,29.17505
2020-07-26,24.86921
2020-07-27,46.51911
2020-07-28,39.23541
2020-07-29,34.60764
2020-07-30,39.75855
2020-07-31,41.8511
2020-08-01,27.76659
2020-08-02,24.26559
2020-08-03,48.57142
2020-08-04,43.09859
2020-08-05,45.99597
2020-08-06,47.64587
2020-08-07,41.81086
2020-08-08,29.37625
2020-08-09,25.67404
2020-08-10,50.90543
2020-08-11,42.21327
2020-08-12,40.44265
2020-08-13,42.25352
2020-08-14,44.06438
2020-08-15,28.24949
2020-08-16,25.67404
2020-08-17,32.55533
2020-08-18,52.71629
2020-08-19,42.97786
2020-08-20,40.48289
2020-08-21,40.40241
2020-08-22,26.43863
2020-08-23,23.42052
2020-08-24,51.02615
2020-08-25,45.31187
2020-08-26,41.44869
2020-08-27,39.35613
2020-08-28,41.44869
2020-08-29,23.86317
2020-08-30,24.90945
2020-08-31,48.41046
2020-09-01,42.93762
2020-09-02,38.43058
2020-09-03,46.07645
2020-09-04,41.44869
2020-09-05,26.1167
2020-09-06,24.14486
2020-09-07,44.50704
2020-09-08,39.11468
2020-09-09,37.66599
2020-09-10,40.52313
2020-09-11,38.39034
2020-09-12,27.88732
2020-09-13,27.72635
2020-09-14,48.00804
2020-09-15,45.07042
2020-09-16,40.76458
2020-09-17,42.93762
2020-09-18,40.56338
2020-09-19,31.62977
2020-09-20,30.62374
2020-09-21,53.19919
2020-09-22,48.04828
2020-09-23,39.07444
2020-09-24,40.96579
2020-09-25,41.48893
2020-09-26,30.02012
2020-09-27,27.52515
2020-09-28,49.17505
2020-09-29,42.85714
2020-09-30,25.07042
2020-10-01,30.62374
2020-10-02,27.84708
2020-10-03,21.69014
2020-10-04,21.93158
2020-10-05,57.70623
2020-10-06,44.18511
2020-10-07,41.40845
2020-10-08,37.94768
2020-10-09,25.67404
2020-10-10,26.15694
2020-10-11,24.30583
2020-10-12,62.89738
2020-10-13,49.1348
2020-10-14,45.07042
2020-10-15,44.70824
2020-10-16,42.65593
2020-10-17,31.7505
2020-10-18,26.88128
2020-10-19,52.27364
2020-10-20,43.09859
2020-10-21,41.44869
2020-10-22,39.31589
2020-10-23,42.69617
2020-10-24,28.04828
2020-10-25,27.36418
2020-10-26,50.62374
2020-10-27,38.83299
2020-10-28,34.96981
2020-10-29,39.83903
2020-10-30,41.77062
2020-10-31,24.38631
2020-11-01,23.74245
2020-11-02,47.68611
2020-11-03,42.61569
2020-11-04,36.17706
2020-11-05,36.01609
2020-11-06,35.2515
2020-11-07,21.97183
2020-11-08,20.64386
2020-11-09,39.23541
2020-11-10,38.59154
2020-11-11,37.02213
2020-11-12,33.92354
2020-11-13,37.30382
2020-11-14,24.22535
2020-11-15,22.37424
2020-11-16,45.23138
2020-11-17,37.18309
2020-11-18,33.07847
2020-11-19,36.25754
2020-11-20,38.43058
2020-11-21,24.06438
2020-11-22,21.64989
2020-11-23,44.26559
2020-11-24,39.55734
2020-11-25,32.27364
2020-11-26,33.4004
2020-11-27,36.13682
2020-11-28,23.29979
2020-11-29,24.54728
2020-11-30,47.32394
2020-12-01,39.07444
2020-12-02,38.26961
2020-12-03,36.86116
2020-12-04,42.01207
2020-12-05,24.70824
2020-12-06,23.38028
2020-12-07,45.99597
2020-12-08,38.3501
2020-12-09,41.08651
2020-12-10,38.30985
2020-12-11,39.83903
2020-12-12,25.43259
2020-12-13,27.9678
2020-12-14,55.49295
2020-12-15,50.82494
2020-12-16,51.06639
2020-12-17,44.62776
2020-12-18,43.74245
2020-12-19,31.14688
2020-12-20,27.76659
2020-12-21,52.95774
2020-12-22,43.62173
2020-12-23,43.78269
