date,신용정보회사
2020-03-20,22.93986
2020-03-21,9.79955
2020-03-22,12.47216
2020-03-23,23.3853
2020-03-24,28.50779
2020-03-25,32.07126
2020-03-26,26.0579
2020-03-27,24.05345
2020-03-28,9.79955
2020-03-29,11.13585
2020-03-30,25.61247
2020-03-31,27.3942
2020-04-01,27.61692
2020-04-02,28.06236
2020-04-03,24.27616
2020-04-04,11.58129
2020-04-05,9.35412
2020-04-06,23.16258
2020-04-07,33.18485
2020-04-08,27.3942
2020-04-09,25.61247
2020-04-10,21.38084
2020-04-11,11.35857
2020-04-12,8.90868
2020-04-13,32.96213
2020-04-14,26.50334
2020-04-15,12.02672
2020-04-16,26.94877
2020-04-17,23.16258
2020-04-18,12.69487
2020-04-19,12.24944
2020-04-20,22.49443
2020-04-21,28.50779
2020-04-22,30.73496
2020-04-23,26.94877
2020-04-24,27.83964
2020-04-25,10.4677
2020-04-26,8.90868
2020-04-27,29.39866
2020-04-28,21.38084
2020-04-29,18.04008
2020-04-30,11.35857
2020-05-01,11.13585
2020-05-02,6.01336
2020-05-03,7.57238
2020-05-04,18.70824
2020-05-05,8.46325
2020-05-06,28.28507
2020-05-07,25.16703
2020-05-08,21.60356
2020-05-09,7.7951
2020-05-10,6.23608
2020-05-11,28.73051
2020-05-12,28.95322
2020-05-13,19.82182
2020-05-14,23.60801
2020-05-15,24.7216
2020-05-16,11.35857
2020-05-17,9.35412
2020-05-18,26.50334
2020-05-19,24.49888
2020-05-20,22.71714
2020-05-21,22.93986
2020-05-22,16.70378
2020-05-23,10.69042
2020-05-24,10.4677
2020-05-25,28.95322
2020-05-26,24.27616
2020-05-27,26.28062
2020-05-28,21.15812
2020-05-29,23.83073
2020-05-30,11.58129
2020-05-31,11.13585
2020-06-01,27.3942
2020-06-02,26.94877
2020-06-03,18.93095
2020-06-04,18.48552
2020-06-05,17.81737
2020-06-06,5.79064
2020-06-07,9.57683
2020-06-08,21.38084
2020-06-09,21.60356
2020-06-10,19.82182
2020-06-11,24.94432
2020-06-12,36.97104
2020-06-13,27.3942
2020-06-14,12.47216
2020-06-15,39.86636
2020-06-16,34.52115
2020-06-17,29.39866
2020-06-18,24.05345
2020-06-19,18.04008
2020-06-20,8.90868
2020-06-21,4.23162
2020-06-22,22.93986
2020-06-23,29.39866
2020-06-24,20.93541
2020-06-25,19.37639
2020-06-26,24.49888
2020-06-27,6.68151
2020-06-28,10.24498
2020-06-29,24.7216
2020-06-30,28.28507
2020-07-01,27.83964
2020-07-02,21.15812
2020-07-03,24.27616
2020-07-04,5.12249
2020-07-05,18.48552
2020-07-06,36.52561
2020-07-07,28.73051
2020-07-08,25.83518
2020-07-09,23.3853
2020-07-10,22.71714
2020-07-11,6.68151
2020-07-12,6.90423
2020-07-13,24.94432
2020-07-14,24.7216
2020-07-15,24.94432
2020-07-16,30.51224
2020-07-17,21.82628
2020-07-18,10.4677
2020-07-19,5.34521
2020-07-20,22.27171
2020-07-21,20.71269
2020-07-22,27.17149
2020-07-23,23.60801
2020-07-24,22.71714
2020-07-25,6.01336
2020-07-26,10.02227
2020-07-27,28.50779
2020-07-28,23.16258
2020-07-29,21.15812
2020-07-30,23.16258
2020-07-31,22.04899
2020-08-01,6.90423
2020-08-02,4.67706
2020-08-03,23.60801
2020-08-04,26.50334
2020-08-05,22.49443
2020-08-06,20.93541
2020-08-07,17.14922
2020-08-08,6.45879
2020-08-09,6.90423
2020-08-10,22.93986
2020-08-11,26.50334
2020-08-12,25.38975
2020-08-13,21.60356
2020-08-14,19.15367
2020-08-15,6.01336
2020-08-16,4.67706
2020-08-17,7.57238
2020-08-18,26.94877
2020-08-19,24.27616
2020-08-20,23.60801
2020-08-21,21.38084
2020-08-22,7.57238
2020-08-23,4.0089
2020-08-24,22.49443
2020-08-25,24.94432
2020-08-26,21.38084
2020-08-27,23.83073
2020-08-28,18.70824
2020-08-29,9.1314
2020-08-30,6.45879
2020-08-31,29.62138
2020-09-01,24.49888
2020-09-02,26.0579
2020-09-03,27.17149
2020-09-04,24.05345
2020-09-05,8.68596
2020-09-06,12.47216
2020-09-07,19.37639
2020-09-08,26.0579
2020-09-09,20.48997
2020-09-10,25.38975
2020-09-11,23.3853
2020-09-12,10.24498
2020-09-13,9.79955
2020-09-14,26.0579
2020-09-15,26.50334
2020-09-16,31.62583
2020-09-17,26.72605
2020-09-18,26.94877
2020-09-19,9.1314
2020-09-20,9.79955
2020-09-21,21.38084
2020-09-22,25.83518
2020-09-23,22.04899
2020-09-24,19.37639
2020-09-25,20.04454
2020-09-26,8.01781
2020-09-27,6.68151
2020-09-28,18.2628
2020-09-29,20.71269
