date,씨티카드
2020-11-08,12.79677
2020-11-09,34.6573
2020-11-10,35.98626
2020-11-11,31.74555
2020-11-12,29.37136
2020-11-13,32.47722
2020-11-14,11.73659
2020-11-15,12.24428
2020-11-16,40.34642
2020-11-17,36.83738
2020-11-18,31.35732
2020-11-19,29.13244
2020-11-20,31.67089
2020-11-21,12.15469
2020-11-22,13.15514
2020-11-23,41.85456
2020-11-24,37.89756
2020-11-25,39.98805
2020-11-26,36.00119
2020-11-27,34.34373
2020-11-28,13.51351
2020-11-29,14.00627
2020-11-30,44.24369
2020-12-01,41.80976
2020-12-02,34.85142
2020-12-03,31.9546
2020-12-04,31.10347
2020-12-05,13.43885
2020-12-06,12.64745
2020-12-07,43.18351
2020-12-08,35.31431
2020-12-09,31.25279
2020-12-10,32.28311
2020-12-11,34.38853
2020-12-12,13.43885
2020-12-13,12.27415
2020-12-14,37.10616
2020-12-15,39.3609
2020-12-16,35.77721
2020-12-17,30.19262
2020-12-18,30.96909
2020-12-19,12.51306
2020-12-20,12.66238
2020-12-21,39.12199
2020-12-22,36.25503
2020-12-23,34.95595
2020-12-24,32.23831
2020-12-25,13.85695
2020-12-26,14.33477
2020-12-27,15.88771
2020-12-28,47.76765
2020-12-29,60.20606
2020-12-30,52.97894
2020-12-31,41.317
2021-01-01,18.18724
2021-01-02,18.00806
2021-01-03,16.94788
2021-01-04,48.30521
2021-01-05,44.36314
2021-01-06,41.45139
2021-01-07,31.26773
2021-01-08,34.34373
2021-01-09,14.09586
2021-01-10,15.40988
2021-01-11,44.1093
2021-01-12,37.7781
2021-01-13,38.10661
2021-01-14,35.28445
2021-01-15,39.3609
2021-01-16,17.96326
2021-01-17,16.45512
2021-01-18,43.39256
2021-01-19,38.31566
2021-01-20,34.92608
2021-01-21,36.68806
2021-01-22,35.79214
2021-01-23,15.99223
2021-01-24,16.29087
2021-01-25,48.88756
2021-01-26,39.79393
2021-01-27,37.38987
2021-01-28,33.20889
2021-01-29,32.55188
2021-01-30,15.05151
2021-01-31,15.9773
2021-02-01,42.82514
2021-02-02,34.38853
2021-02-03,34.07495
2021-02-04,32.13379
2021-02-05,29.16231
2021-02-06,12.75197
2021-02-07,12.70718
2021-02-08,34.08989
2021-02-09,32.10392
2021-02-10,31.49171
2021-02-11,10.63162
2021-02-12,7.80946
2021-02-13,9.28774
2021-02-14,12.3936
2021-02-15,55.59205
2021-02-16,38.85321
2021-02-17,35.26952
2021-02-18,31.85008
2021-02-19,31.92474
2021-02-20,14.4393
2021-02-21,13.40898
2021-02-22,37.56906
2021-02-23,33.1641
2021-02-24,33.50754
2021-02-25,39.01747
2021-02-26,35.94146
2021-02-27,13.91667
2021-02-28,15.15604
2021-03-01,18.62027
2021-03-02,47.87218
2021-03-03,37.37494
2021-03-04,36.43422
2021-03-05,31.6261
2021-03-06,12.12483
2021-03-07,12.0651
2021-03-08,35.37404
2021-03-09,29.95371
2021-03-10,32.40256
2021-03-11,31.43198
2021-03-12,29.38629
2021-03-13,11.79632
2021-03-14,13.15514
2021-03-15,40.92877
2021-03-16,33.71658
2021-03-17,32.01433
2021-03-18,36.31476
2021-03-19,30.86456
2021-03-20,12.49813
2021-03-21,13.03568
2021-03-22,38.12154
2021-03-23,34.94101
2021-03-24,32.65641
2021-03-25,36.76272
2021-03-26,32.56682
2021-03-27,12.78184
2021-03-28,13.11034
2021-03-29,37.76317
2021-03-30,31.73062
2021-03-31,35.20979
2021-04-01,31.73062
2021-04-02,28.8786
2021-04-03,11.79632
2021-04-04,11.13931
2021-04-05,38.79348
2021-04-06,32.7012
2021-04-07,27.98267
2021-04-08,24.69762
2021-04-09,25.83246
2021-04-10,10.30312
2021-04-11,10.4823
2021-04-12,36.47902
2021-04-13,33.26862
2021-04-14,30.07316
2021-04-15,39.07719
2021-04-16,56.01015
2021-04-17,21.09899
2021-04-18,16.69404
2021-04-19,39.09213
2021-04-20,34.83649
2021-04-21,31.87994
2021-04-22,29.80439
2021-04-23,30.17769
2021-04-24,11.55741
2021-04-25,12.60265
2021-04-26,40.5704
2021-04-27,34.89622
2021-04-28,30.70031
2021-04-29,28.19172
2021-04-30,29.71479
2021-05-01,11.19904
2021-05-02,11.94564
2021-05-03,39.4057
2021-05-04,35.16499
2021-05-05,11.57234
2021-05-06,35.09033
2021-05-07,30.22248
2021-05-08,11.04972
2021-05-09,12.60265
2021-05-10,40.12244
2021-05-11,35.20979
2021-05-12,34.22427
2021-05-13,33.88084
2021-05-14,29.56547
2021-05-15,9.61624
2021-05-16,11.40809
2021-05-17,38.77855
2021-05-18,32.19351
2021-05-19,11.6918
2021-05-20,36.31476
2021-05-21,34.284
2021-05-22,12.45333
2021-05-23,13.91667
2021-05-24,41.57085
2021-05-25,44.99029
2021-05-26,45.31879
2021-05-27,39.85366
2021-05-28,33.67179
2021-05-29,13.66283
2021-05-30,14.3945
2021-05-31,39.76407
2021-06-01,34.62744
2021-06-02,33.92563
2021-06-03,32.29804
2021-06-04,26.28042
2021-06-05,9.94475
2021-06-06,11.57234
2021-06-07,33.07451
2021-06-08,27.20621
2021-06-09,25.84739
2021-06-10,27.6243
2021-06-11,24.9216
2021-06-12,9.40719
2021-06-13,8.39181
2021-06-14,32.7012
2021-06-15,34.16455
2021-06-16,32.11885
2021-06-17,27.04195
2021-06-18,26.47454
2021-06-19,10.5271
2021-06-20,10.01941
2021-06-21,35.34418
2021-06-22,30.96909
2021-06-23,28.8786
2021-06-24,27.23607
2021-06-25,32.05913
2021-06-26,10.78094
2021-06-27,11.10945
2021-06-28,35.00074
2021-06-29,32.08899
2021-06-30,35.06047
2021-07-01,30.38674
2021-07-02,27.16141
2021-07-03,9.54158
2021-07-04,9.76556
2021-07-05,37.34507
2021-07-06,34.16455
2021-07-07,30.96909
2021-07-08,26.14603
2021-07-09,28.02747
2021-07-10,11.01985
2021-07-11,11.88591
2021-07-12,37.31521
2021-07-13,34.43332
2021-07-14,32.46229
2021-07-15,33.43288
2021-07-16,29.68493
2021-07-17,12.69225
2021-07-18,12.31894
2021-07-19,36.43422
2021-07-20,33.68672
2021-07-21,34.3736
2021-07-22,29.78945
2021-07-23,31.71569
2021-07-24,13.39405
2021-07-25,12.61758
2021-07-26,43.36269
2021-07-27,33.43288
2021-07-28,30.31208
2021-07-29,28.16186
2021-07-30,31.43198
2021-07-31,13.52844
2021-08-01,14.28998
2021-08-02,34.49305
2021-08-03,29.86411
2021-08-04,28.74421
2021-08-05,28.25145
2021-08-06,24.20486
2021-08-07,11.28863
2021-08-08,12.05017
2021-08-09,30.49126
2021-08-10,32.7012
2021-08-11,27.38539
2021-08-12,25.54875
2021-08-13,30.8347
2021-08-14,12.79677
2021-08-15,11.39316
2021-08-16,16.26101
2021-08-17,36.95684
2021-08-18,32.91025
2021-08-19,29.44602
2021-08-20,29.6252
2021-08-21,12.57279
2021-08-22,16.47006
2021-08-23,39.49529
2021-08-24,33.77631
2021-08-25,37.80797
2021-08-26,33.5822
2021-08-27,34.94101
2021-08-28,13.09541
2021-08-29,12.21442
2021-08-30,40.01791
2021-08-31,35.98626
2021-09-01,36.2849
2021-09-02,32.61161
2021-09-03,30.96909
2021-09-04,15.39495
2021-09-05,17.67955
2021-09-06,59.10109
2021-09-07,46.34911
2021-09-08,38.47991
2021-09-09,37.52426
2021-09-10,39.85366
2021-09-11,17.82887
2021-09-12,14.00627
2021-09-13,37.4496
2021-09-14,34.82156
2021-09-15,33.62699
2021-09-16,31.14827
2021-09-17,27.69896
2021-09-18,11.70673
2021-09-19,8.66059
2021-09-20,8.58593
2021-09-21,7.91399
2021-09-22,12.13976
2021-09-23,43.12378
2021-09-24,40.73465
2021-09-25,14.27504
2021-09-26,13.15514
2021-09-27,44.8559
2021-09-28,39.22651
2021-09-29,35.01567
2021-09-30,36.703
2021-10-01,41.76496
2021-10-02,14.18545
2021-10-03,11.67687
2021-10-04,17.02254
2021-10-05,44.5274
2021-10-06,37.06137
2021-10-07,33.43288
2021-10-08,30.8347
2021-10-09,12.76691
2021-10-10,10.67642
2021-10-11,18.2619
2021-10-12,40.21203
2021-10-13,35.40391
2021-10-14,32.65641
2021-10-15,34.04509
2021-10-16,12.63252
2021-10-17,12.12483
2021-10-18,31.64103
2021-10-19,29.52068
2021-10-20,27.48992
2021-10-21,28.52023
2021-10-22,26.4596
2021-10-23,10.73615
2021-10-24,13.42392
2021-10-25,88.1738
2021-10-26,79.70733
2021-10-27,79.51321
2021-10-28,52.45632
2021-10-29,38.49484
2021-10-30,15.5144
2021-10-31,17.58996
2021-11-01,41.86949
2021-11-02,38.04688
2021-11-03,31.79035
2021-11-04,26.51933
2021-11-05,26.68358
2021-11-06,10.72121
2021-11-07,11.6022
2021-11-08,29.65506
2021-11-09,29.74466
2021-11-10,30.43153
2021-11-11,29.50574
2021-11-12,27.72883
2021-11-13,10.9004
2021-11-14,13.2298
2021-11-15,37.80797
2021-11-16,30.93922
2021-11-17,26.77318
2021-11-18,24.29446
2021-11-19,25.50395
2021-11-20,9.42212
2021-11-21,10.109
2021-11-22,30.89443
2021-11-23,32.07406
2021-11-24,29.89398
2021-11-25,33.68672
2021-11-26,28.77407
2021-11-27,11.15424
2021-11-28,11.28863
2021-11-29,34.82156
2021-11-30,35.01567
2021-12-01,27.83335
2021-12-02,25.3397
2021-12-03,23.99581
2021-12-04,8.67552
2021-12-05,9.60131
2021-12-06,26.16096
2021-12-07,25.96685
2021-12-08,21.86053
2021-12-09,19.8447
2021-12-10,24.41391
2021-12-11,8.79498
2021-12-12,9.79543
2021-12-13,28.68448
2021-12-14,27.13155
2021-12-15,28.81887
2021-12-16,25.26504
2021-12-17,21.15872
2021-12-18,8.04837
2021-12-19,9.42212
2021-12-20,29.6252
2021-12-21,25.77273
2021-12-22,22.86098
2021-12-23,23.18948
2021-12-24,23.7569
2021-12-25,8.73525
2021-12-26,9.97461
2021-12-27,31.35732
2021-12-28,30.65551
2021-12-29,25.04106
2021-12-30,23.8017
2021-12-31,22.77139
2022-01-01,9.58638
2022-01-02,10.4823
2022-01-03,34.01523
2022-01-04,30.90936
2022-01-05,27.84829
2022-01-06,24.62296
2022-01-07,23.66731
2022-01-08,10.25832
2022-01-09,10.09407
2022-01-10,32.59668
2022-01-11,32.73107
2022-01-12,30.93922
2022-01-13,36.80752
2022-01-14,36.6134
2022-01-15,11.76646
2022-01-16,10.73615
2022-01-17,38.40525
2022-01-18,38.03195
2022-01-19,35.17993
2022-01-20,34.11975
2022-01-21,35.94146
2022-01-22,12.45333
2022-01-23,12.22935
2022-01-24,37.83783
2022-01-25,36.40436
2022-01-26,30.49126
2022-01-27,27.07182
2022-01-28,26.80304
2022-01-29,10.54203
2022-01-30,8.4814
2022-01-31,8.04837
2022-02-01,6.77915
2022-02-02,11.2737
2022-02-03,35.61296
2022-02-04,31.13334
2022-02-05,13.39405
2022-02-06,11.2737
2022-02-07,34.03016
2022-02-08,26.26549
2022-02-09,25.22024
2022-02-10,29.65506
2022-02-11,27.63924
2022-02-12,10.39271
2022-02-13,13.11034
2022-02-14,36.73286
2022-02-15,30.52112
2022-02-16,23.62251
2022-02-17,19.12796
2022-02-18,18.45602
2022-02-19,7.83933
2022-02-20,8.63073
2022-02-21,24.66776
2022-02-22,23.45826
2022-02-23,20.65103
2022-02-24,21.83067
2022-02-25,25.20531
2022-02-26,10.4375
2022-02-27,8.22756
2022-02-28,30.99895
2022-03-01,11.97551
2022-03-02,25.41436
2022-03-03,19.94923
2022-03-04,18.76959
2022-03-05,6.80901
2022-03-06,6.64476
2022-03-07,21.39764
2022-03-08,16.67911
2022-03-09,7.52575
2022-03-10,19.56099
