date,신협특판
2020-03-20,1.05495
2020-03-21,0.90775
2020-03-22,0.368
2020-03-23,1.30029
2020-03-24,1.25122
2020-03-25,1.20215
2020-03-26,1.17762
2020-03-27,1.27576
2020-03-28,0.61334
2020-03-29,0.4416
2020-03-30,1.61923
2020-03-31,1.54563
2020-04-01,1.9627
2020-04-02,1.37389
2020-04-03,0.71148
2020-04-04,0.63788
2020-04-05,0.46614
2020-04-06,1.34936
2020-04-07,1.39842
2020-04-08,1.7419
2020-04-09,1.5947
2020-04-10,1.47203
2020-04-11,0.66241
2020-04-12,0.95682
2020-04-13,1.5947
2020-04-14,0.98135
2020-04-15,0.51521
2020-04-16,1.69283
2020-04-17,1.00588
2020-04-18,1.03042
2020-04-19,0.80961
2020-04-20,2.13444
2020-04-21,1.79097
2020-04-22,1.8891
2020-04-23,1.44749
2020-04-24,1.52109
2020-04-25,0.90775
2020-04-26,0.95682
2020-04-27,1.69283
2020-04-28,1.6683
2020-04-29,1.49656
2020-04-30,1.03042
2020-05-01,0.80961
2020-05-02,0.56427
2020-05-03,0.71148
2020-05-04,1.98724
2020-05-05,0.98135
2020-05-06,2.03631
2020-05-07,1.69283
2020-05-08,1.52109
2020-05-09,0.58881
2020-05-10,0.73601
2020-05-11,1.69283
2020-05-12,1.91364
2020-05-13,2.28164
2020-05-14,1.93817
2020-05-15,1.30029
2020-05-16,0.68694
2020-05-17,0.68694
2020-05-18,1.12855
2020-05-19,1.37389
2020-05-20,1.71736
2020-05-21,1.34936
2020-05-22,1.6683
2020-05-23,0.73601
2020-05-24,1.00588
2020-05-25,1.93817
2020-05-26,1.98724
2020-05-27,2.18351
2020-05-28,1.84003
2020-05-29,1.07948
2020-05-30,0.4416
2020-05-31,0.78508
2020-06-01,1.5947
2020-06-02,2.03631
2020-06-03,1.61923
2020-06-04,1.64376
2020-06-05,1.49656
2020-06-06,0.71148
2020-06-07,1.17762
2020-06-08,1.8891
2020-06-09,1.6683
2020-06-10,2.06084
2020-06-11,1.86457
2020-06-12,1.03042
2020-06-13,0.90775
2020-06-14,1.05495
2020-06-15,1.9627
2020-06-16,1.61923
2020-06-17,1.30029
2020-06-18,1.6683
2020-06-19,1.84003
2020-06-20,0.76054
2020-06-21,0.56427
2020-06-22,2.18351
2020-06-23,1.91364
2020-06-24,1.91364
2020-06-25,1.86457
2020-06-26,1.71736
2020-06-27,1.12855
2020-06-28,0.95682
2020-06-29,1.76643
2020-06-30,1.93817
2020-07-01,2.18351
2020-07-02,2.06084
2020-07-03,1.9627
2020-07-04,1.03042
2020-07-05,0.98135
2020-07-06,3.04219
2020-07-07,3.16486
2020-07-08,3.21393
2020-07-09,3.45927
2020-07-10,3.80274
2020-07-11,1.49656
2020-07-12,2.03631
2020-07-13,3.4102
2020-07-14,2.84592
2020-07-15,2.77232
2020-07-16,2.87046
2020-07-17,2.52698
2020-07-18,1.07948
2020-07-19,1.00588
2020-07-20,3.09126
