date,현대모비스주가
2020-11-07,1.30536
2020-11-08,1.05212
2020-11-09,12.54185
2020-11-10,14.55393
2020-11-11,14.13223
2020-11-12,11.89129
2020-11-13,12.73786
2020-11-14,1.4484
2020-11-15,1.22801
2020-11-16,13.4361
2020-11-17,13.00699
2020-11-18,11.0659
2020-11-19,10.32422
2020-11-20,9.62174
2020-11-21,1.23543
2020-11-22,1.07438
2020-11-23,12.18054
2020-11-24,12.16359
2020-11-25,12.18372
2020-11-26,10.67175
2020-11-27,10.46302
2020-11-28,1.37741
2020-11-29,1.45899
2020-11-30,11.0553
2020-12-01,10.65162
2020-12-02,11.23331
2020-12-03,13.5908
2020-12-04,14.87179
2020-12-05,2.02055
2020-12-06,1.81606
2020-12-07,12.77495
2020-12-08,11.3986
2020-12-09,11.97393
2020-12-10,11.77262
2020-12-11,11.10404
2020-12-12,1.99618
2020-12-13,1.49713
2020-12-14,21.35833
2020-12-15,19.37698
2020-12-16,16.01504
2020-12-17,14.057
2020-12-18,12.46132
2020-12-19,1.78427
2020-12-20,1.8203
2020-12-21,12.52595
2020-12-22,11.85844
2020-12-23,14.39711
2020-12-24,14.81881
2020-12-25,2.87984
2020-12-26,1.91566
2020-12-27,1.99194
2020-12-28,13.74443
2020-12-29,13.29201
2020-12-30,16.33714
2020-12-31,3.28565
2021-01-01,2.8862
2021-01-02,4.52532
2021-01-03,4.48506
2021-01-04,41.90506
2021-01-05,39.12799
2021-01-06,31.15278
2021-01-07,41.76096
2021-01-08,100.0
2021-01-09,15.13986
2021-01-10,11.54058
2021-01-11,80.96418
2021-01-12,58.78999
2021-01-13,55.50964
2021-01-14,48.00699
2021-01-15,41.92943
2021-01-16,7.09684
2021-01-17,5.15575
2021-01-18,43.58974
2021-01-19,53.18393
2021-01-20,52.97308
2021-01-21,53.48272
2021-01-22,46.15702
2021-01-23,5.49904
2021-01-24,5.19389
2021-01-25,45.73108
2021-01-26,42.26001
2021-01-27,42.05975
2021-01-28,43.74867
2021-01-29,42.43165
2021-01-30,5.95359
2021-01-31,4.63233
2021-02-01,44.10574
2021-02-02,39.6673
2021-02-03,50.79042
2021-02-04,54.71816
2021-02-05,43.88323
2021-02-06,6.43674
2021-02-07,5.38461
2021-02-08,65.16105
2021-02-09,49.89404
2021-02-10,39.62915
2021-02-11,5.74592
2021-02-12,3.85568
2021-02-13,4.14176
2021-02-14,4.28162
2021-02-15,38.96164
2021-02-16,35.47255
2021-02-17,32.7813
2021-02-18,33.63848
2021-02-19,36.19198
2021-02-20,4.60478
2021-02-21,5.07734
2021-02-22,33.62894
2021-02-23,33.77304
2021-02-24,35.23098
2021-02-25,35.00953
2021-02-26,32.06399
2021-02-27,4.13752
2021-02-28,4.1852
2021-03-01,4.2795
2021-03-02,32.5482
2021-03-03,29.92265
2021-03-04,25.27018
2021-03-05,25.5446
2021-03-06,3.79211
2021-03-07,3.88217
2021-03-08,26.30218
2021-03-09,26.70586
2021-03-10,25.44077
2021-03-11,26.97923
2021-03-12,26.49078
2021-03-13,3.27611
2021-03-14,2.83216
2021-03-15,24.6726
2021-03-16,22.69654
2021-03-17,21.9485
2021-03-18,24.23924
2021-03-19,21.726
2021-03-20,3.07268
2021-03-21,2.58741
2021-03-22,22.82475
2021-03-23,21.72282
2021-03-24,21.85102
2021-03-25,21.50879
2021-03-26,21.86798
2021-03-27,3.92032
2021-03-28,3.19029
2021-03-29,22.61602
2021-03-30,28.00699
2021-03-31,24.82517
2021-04-01,26.56495
2021-04-02,32.90209
2021-04-03,4.94172
2021-04-04,3.60881
2021-04-05,25.81902
2021-04-06,25.10383
2021-04-07,24.82729
2021-04-08,36.02776
2021-04-09,30.74062
2021-04-10,3.76139
2021-04-11,2.83004
2021-04-12,27.02691
2021-04-13,27.87454
2021-04-14,33.95528
2021-04-15,31.96545
2021-04-16,27.94871
2021-04-17,4.11633
2021-04-18,3.05361
2021-04-19,25.22992
2021-04-20,24.69273
2021-04-21,24.58783
2021-04-22,24.54969
2021-04-23,27.71455
2021-04-24,4.35367
2021-04-25,3.26658
2021-04-26,31.28522
2021-04-27,37.37444
2021-04-28,28.93515
2021-04-29,34.24242
2021-04-30,29.68531
2021-05-01,4.31659
2021-05-02,3.43399
2021-05-03,31.50879
2021-05-04,28.41491
2021-05-05,4.87285
2021-05-06,27.79932
2021-05-07,26.35515
2021-05-08,3.3969
2021-05-09,3.48908
2021-05-10,31.56918
2021-05-11,25.1727
2021-05-12,27.19961
2021-05-13,25.14303
2021-05-14,23.98707
2021-05-15,3.15003
2021-05-16,2.60118
2021-05-17,22.52913
2021-05-18,23.21678
2021-05-19,3.17122
2021-05-20,20.59334
2021-05-21,22.92328
2021-05-22,2.37974
2021-05-23,1.98453
2021-05-24,20.0445
2021-05-25,18.97541
2021-05-26,18.31108
2021-05-27,19.8898
2021-05-28,24.97668
2021-05-29,3.12354
2021-05-30,2.57151
2021-05-31,23.37571
2021-06-01,23.29624
2021-06-02,23.57173
2021-06-03,24.67895
2021-06-04,28.33333
2021-06-05,5.14939
2021-06-06,3.13837
2021-06-07,29.90252
2021-06-08,29.40453
2021-06-09,28.31849
2021-06-10,28.01864
2021-06-11,31.74719
2021-06-12,4.24242
2021-06-13,2.92222
2021-06-14,27.082
2021-06-15,28.41597
2021-06-16,28.35664
2021-06-17,26.03729
2021-06-18,26.17715
2021-06-19,4.9004
2021-06-20,7.73786
2021-06-21,26.39118
2021-06-22,34.54015
2021-06-23,32.87349
2021-06-24,34.63339
2021-06-25,30.88578
2021-06-26,4.91099
2021-06-27,4.16825
2021-06-28,26.16656
2021-06-29,23.93303
2021-06-30,26.04577
2021-07-01,25.19389
2021-07-02,23.82814
2021-07-03,3.87899
2021-07-04,3.00275
2021-07-05,25.68552
2021-07-06,25.10383
2021-07-07,23.56855
2021-07-08,22.80356
2021-07-09,23.79847
2021-07-10,2.99109
2021-07-11,2.61813
2021-07-12,23.56855
2021-07-13,23.2242
2021-07-14,20.8275
2021-07-15,23.87899
2021-07-16,19.7171
2021-07-17,2.0873
2021-07-18,1.98029
2021-07-19,18.17652
2021-07-20,19.43844
2021-07-21,19.58889
2021-07-22,21.61686
2021-07-23,23.84403
2021-07-24,2.94342
2021-07-25,2.26848
2021-07-26,25.63678
2021-07-27,22.49735
2021-07-28,20.09959
2021-07-29,19.29963
2021-07-30,20.07522
2021-07-31,2.83958
2021-08-01,2.17418
2021-08-02,19.76266
2021-08-03,22.17418
2021-08-04,26.36363
2021-08-05,22.02267
2021-08-06,19.84106
2021-08-07,2.63403
2021-08-08,3.13413
2021-08-09,19.96927
2021-08-10,18.21678
2021-08-11,19.24454
2021-08-12,21.68467
2021-08-13,20.20449
2021-08-14,2.43271
2021-08-15,2.04492
2021-08-16,3.50074
2021-08-17,19.48929
2021-08-18,19.51684
2021-08-19,20.78512
2021-08-20,21.87327
2021-08-21,4.6175
2021-08-22,2.90315
2021-08-23,29.01144
2021-08-24,26.39118
2021-08-25,22.7421
2021-08-26,23.63954
2021-08-27,23.48908
2021-08-28,3.45094
2021-08-29,3.27082
2021-08-30,26.17609
2021-08-31,26.13901
2021-09-01,25.60923
2021-09-02,21.47171
2021-09-03,22.95825
2021-09-04,3.1299
2021-09-05,2.43695
2021-09-06,23.47425
2021-09-07,20.30938
2021-09-08,19.98834
2021-09-09,20.77346
2021-09-10,24.56982
2021-09-11,2.54926
2021-09-12,1.9591
2021-09-13,19.2509
2021-09-14,21.98559
2021-09-15,19.324
2021-09-16,17.21127
2021-09-17,16.89023
2021-09-18,2.07777
2021-09-19,1.39436
2021-09-20,1.2545
2021-09-21,1.26615
2021-09-22,1.57342
2021-09-23,17.98262
2021-09-24,17.77071
2021-09-25,2.16889
2021-09-26,1.66878
2021-09-27,17.55774
2021-09-28,17.26848
2021-09-29,19.03157
2021-09-30,18.58974
2021-10-01,18.83026
2021-10-02,2.42212
2021-10-03,1.95698
2021-10-04,3.06102
2021-10-05,21.09769
2021-10-06,19.78491
2021-10-07,25.47785
2021-10-08,28.95634
2021-10-09,3.03348
2021-10-10,2.30451
2021-10-11,3.5802
2021-10-12,21.83513
2021-10-13,25.29773
2021-10-14,26.04471
2021-10-15,22.56198
2021-10-16,2.48887
2021-10-17,1.7991
2021-10-18,19.47764
2021-10-19,18.78152
2021-10-20,17.15617
2021-10-21,16.66348
2021-10-22,15.6389
2021-10-23,1.4484
2021-10-24,1.54905
2021-10-25,18.17969
2021-10-26,18.13837
2021-10-27,16.40707
2021-10-28,17.20385
2021-10-29,21.18775
2021-10-30,2.26531
2021-10-31,1.67514
2021-11-01,16.71646
2021-11-02,17.72197
2021-11-03,15.57321
2021-11-04,17.27696
2021-11-05,15.27972
2021-11-06,1.65183
2021-11-07,1.63805
2021-11-08,16.62428
2021-11-09,15.57639
2021-11-10,15.10383
2021-11-11,16.10828
2021-11-12,15.58275
2021-11-13,2.20915
2021-11-14,2.25259
2021-11-15,18.30896
2021-11-16,16.48442
2021-11-17,16.04365
2021-11-18,16.48018
2021-11-19,17.69124
2021-11-20,2.67111
2021-11-21,2.24305
2021-11-22,23.89171
2021-11-23,19.02309
2021-11-24,17.8756
2021-11-25,15.18118
2021-11-26,16.59991
2021-11-27,2.39033
2021-11-28,1.85208
2021-11-29,17.38397
2021-11-30,18.88747
2021-12-01,21.10086
2021-12-02,22.05657
2021-12-03,19.58995
2021-12-04,2.06611
2021-12-05,1.78215
2021-12-06,17.55244
2021-12-07,18.77092
2021-12-08,18.87794
2021-12-09,18.05785
2021-12-10,17.082
2021-12-11,2.23882
2021-12-12,2.03538
2021-12-13,20.99597
2021-12-14,17.05763
2021-12-15,15.62619
2021-12-16,17.43695
2021-12-17,18.33121
2021-12-18,2.37974
2021-12-19,2.07459
2021-12-20,15.84763
2021-12-21,16.50031
2021-12-22,21.66136
2021-12-23,25.12078
2021-12-24,26.62958
2021-12-25,3.53676
2021-12-26,3.45306
2021-12-27,22.4539
2021-12-28,22.07883
2021-12-29,20.54248
2021-12-30,18.21466
2021-12-31,4.60902
2022-01-01,1.55117
2022-01-02,1.82136
2022-01-03,18.43504
2022-01-04,18.452
2022-01-05,20.55308
2022-01-06,35.83492
2022-01-07,28.63954
2022-01-08,3.07692
2022-01-09,2.62873
2022-01-10,21.50773
2022-01-11,20.21296
2022-01-12,21.15808
2022-01-13,18.67556
2022-01-14,16.85844
2022-01-15,2.01737
2022-01-16,1.96757
2022-01-17,15.77029
2022-01-18,15.38991
2022-01-19,15.98749
2022-01-20,16.5713
2022-01-21,15.55838
2022-01-22,1.93897
2022-01-23,1.82242
2022-01-24,15.45984
2022-01-25,15.69718
2022-01-26,17.34795
2022-01-27,18.55477
2022-01-28,18.26552
2022-01-29,2.09578
2022-01-30,1.38482
2022-01-31,1.19304
2022-02-01,1.18881
2022-02-02,1.61686
2022-02-03,17.39563
2022-02-04,15.42063
2022-02-05,1.94426
2022-02-06,1.61898
2022-02-07,14.81351
2022-02-08,15.18012
2022-02-09,15.25535
2022-02-10,14.94384
2022-02-11,13.80377
2022-02-12,1.70692
2022-02-13,1.38376
2022-02-14,13.76456
2022-02-15,14.04958
2022-02-16,14.8559
2022-02-17,14.66942
2022-02-18,12.43271
2022-02-19,1.4325
2022-02-20,1.03199
2022-02-21,12.87349
2022-02-22,11.94956
2022-02-23,13.114
2022-02-24,13.92032
2022-02-25,13.38207
2022-02-26,1.60203
2022-02-27,1.13371
2022-02-28,13.21784
2022-03-01,1.99406
2022-03-02,13.11294
2022-03-03,13.80271
2022-03-04,11.01292
2022-03-05,1.37635
2022-03-06,1.05424
2022-03-07,11.60521
2022-03-08,11.62216
2022-03-09,1.31277
2022-03-10,12.33312
2022-03-11,16.48018
2022-03-12,2.21763
2022-03-13,1.77791
