date,팬오션주가
2020-03-20,5.83441
2020-03-21,0.89933
2020-03-22,0.52273
2020-03-23,4.62031
2020-03-24,4.82266
2020-03-25,5.28919
2020-03-26,4.32241
2020-03-27,4.51351
2020-03-28,0.37659
2020-03-29,0.31476
2020-03-30,3.91771
2020-03-31,4.60907
2020-04-01,5.26108
2020-04-02,4.68214
2020-04-03,4.62031
2020-04-04,0.5958
2020-04-05,0.52273
2020-04-06,6.17165
2020-04-07,5.89623
2020-04-08,4.85076
2020-04-09,4.60907
2020-04-10,4.66528
2020-04-11,0.55646
2020-04-12,0.40469
2020-04-13,3.65915
2020-04-14,4.23809
2020-04-15,0.55084
2020-04-16,4.14254
2020-04-17,4.86762
2020-04-18,0.57894
2020-04-19,0.44404
2020-04-20,4.39548
2020-04-21,4.18188
2020-04-22,4.12568
2020-04-23,6.76184
2020-04-24,13.68669
2020-04-25,1.05109
2020-04-26,0.9724
2020-04-27,6.70563
2020-04-28,5.44657
2020-04-29,4.73273
2020-04-30,0.61266
2020-05-01,0.71946
2020-05-02,0.41031
2020-05-03,0.39907
2020-05-04,3.61418
2020-05-05,0.48901
2020-05-06,3.97954
2020-05-07,3.78843
2020-05-08,4.11443
2020-05-09,0.59018
2020-05-10,0.38221
2020-05-11,4.32803
2020-05-12,3.51863
2020-05-13,3.62542
2020-05-14,4.03012
2020-05-15,4.23809
2020-05-16,0.49463
2020-05-17,0.25293
2020-05-18,3.42307
2020-05-19,5.8063
2020-05-20,4.51913
2020-05-21,5.01377
2020-05-22,4.15378
2020-05-23,0.42718
2020-05-24,0.48339
2020-05-25,4.31678
2020-05-26,3.78281
2020-05-27,4.16502
2020-05-28,3.83901
2020-05-29,3.79967
2020-05-30,0.55084
2020-05-31,0.44404
2020-06-01,4.4011
2020-06-02,5.1037
2020-06-03,8.33005
2020-06-04,7.36327
2020-06-05,8.30757
2020-06-06,0.89371
2020-06-07,0.8656
2020-06-08,6.53139
2020-06-09,5.51964
2020-06-10,4.55286
2020-06-11,4.91259
2020-06-12,4.13692
2020-06-13,0.39345
2020-06-14,0.42718
2020-06-15,4.06947
2020-06-16,4.74397
2020-06-17,4.4292
2020-06-18,5.55336
2020-06-19,6.25035
2020-06-20,0.54521
2020-06-21,0.54521
2020-06-22,5.12056
2020-06-23,4.64279
2020-06-24,4.41234
2020-06-25,3.47928
2020-06-26,8.26822
2020-06-27,0.91619
2020-06-28,0.82626
2020-06-29,5.85127
2020-06-30,5.24984
2020-07-01,4.49665
2020-07-02,4.31116
2020-07-03,4.2662
2020-07-04,0.54521
2020-07-05,0.31476
2020-07-06,4.27182
2020-07-07,6.30655
2020-07-08,4.64279
2020-07-09,5.08684
2020-07-10,4.38986
2020-07-11,0.50587
2020-07-12,0.4609
2020-07-13,4.44044
2020-07-14,3.82777
2020-07-15,4.15378
2020-07-16,3.7266
2020-07-17,3.63667
2020-07-18,0.47214
2020-07-19,0.46652
2020-07-20,4.22685
2020-07-21,4.5922
2020-07-22,4.03012
2020-07-23,3.54111
2020-07-24,3.52987
2020-07-25,0.4328
2020-07-26,0.39345
2020-07-27,3.82777
2020-07-28,4.49103
2020-07-29,4.21561
2020-07-30,4.46293
2020-07-31,4.41796
2020-08-01,0.72508
2020-08-02,0.68011
2020-08-03,4.25496
2020-08-04,4.16502
2020-08-05,3.93457
2020-08-06,4.77207
2020-08-07,3.82777
2020-08-08,0.54521
2020-08-09,0.4609
2020-08-10,4.95194
2020-08-11,4.88449
2020-08-12,5.05873
2020-08-13,6.10983
2020-08-14,5.84565
2020-08-15,0.79253
2020-08-16,0.62391
2020-08-17,1.07919
2020-08-18,4.43482
2020-08-19,4.10881
2020-08-20,3.66477
2020-08-21,4.00202
2020-08-22,0.60704
2020-08-23,0.42156
2020-08-24,3.47366
2020-08-25,4.62031
2020-08-26,4.07509
2020-08-27,4.19875
2020-08-28,4.32241
2020-08-29,0.5958
2020-08-30,0.56208
2020-08-31,3.46242
2020-09-01,3.95143
2020-09-02,4.36737
2020-09-03,4.66528
2020-09-04,3.49052
2020-09-05,0.47214
2020-09-06,0.60704
2020-09-07,4.58096
2020-09-08,3.73784
2020-09-09,3.33314
2020-09-10,4.0245
2020-09-11,4.18188
2020-09-12,1.03423
2020-09-13,0.75881
2020-09-14,5.64892
2020-09-15,5.20487
2020-09-16,5.7782
2020-09-17,4.28868
2020-09-18,4.01888
2020-09-19,0.62953
2020-09-20,0.50025
2020-09-21,3.84464
2020-09-22,3.56359
2020-09-23,3.99078
2020-09-24,3.66477
