date,비상금대출
2020-03-20,32.48369
2020-03-21,19.56135
2020-03-22,19.2946
2020-03-23,35.56609
2020-03-24,32.12803
2020-03-25,32.00948
2020-03-26,32.24659
2020-03-27,26.82276
2020-03-28,16.56787
2020-03-29,17.78304
2020-03-30,31.38707
2020-03-31,27.56372
2020-04-01,26.88203
2020-04-02,26.25963
2020-04-03,22.46591
2020-04-04,15.11558
2020-04-05,15.32305
2020-04-06,29.66804
2020-04-07,26.17071
2020-04-08,24.86662
2020-04-09,23.68109
2020-04-10,25.45939
2020-04-11,16.44931
2020-04-12,15.61944
2020-04-13,27.62299
2020-04-14,27.97866
2020-04-15,20.62833
2020-04-16,28.27504
2020-04-17,24.06639
2020-04-18,16.53823
2020-04-19,16.03438
2020-04-20,31.47599
2020-04-21,28.92708
2020-04-22,28.54179
2020-04-23,25.99288
2020-04-24,23.88855
2020-04-25,16.24184
2020-04-26,14.55245
2020-04-27,30.82394
2020-04-28,26.97095
2020-04-29,23.85892
2020-04-30,17.24955
2020-05-01,16.56787
2020-05-02,13.01126
2020-05-03,12.62596
2020-05-04,24.00711
2020-05-05,15.88618
2020-05-06,24.57024
2020-05-07,21.96206
2020-05-08,24.48132
2020-05-09,17.19027
2020-05-10,15.50088
2020-05-11,28.2454
2020-05-12,25.07409
2020-05-13,25.84469
2020-05-14,23.77
2020-05-15,22.88085
2020-05-16,14.96739
2020-05-17,14.58209
2020-05-18,25.75577
2020-05-19,24.9259
2020-05-20,24.65915
2020-05-21,21.78423
2020-05-22,21.07291
2020-05-23,14.16716
2020-05-24,15.53052
2020-05-25,24.71843
2020-05-26,23.29579
2020-05-27,18.49436
2020-05-28,19.59098
2020-05-29,19.62062
2020-05-30,12.56668
2020-05-31,13.4262
2020-06-01,22.43627
2020-06-02,18.9093
2020-06-03,19.65026
2020-06-04,19.41315
2020-06-05,18.67219
2020-06-06,11.885
2020-06-07,11.76644
2020-06-08,23.35506
2020-06-09,20.12448
2020-06-10,21.25074
2020-06-11,19.05749
2020-06-12,19.23532
2020-06-13,14.67101
2020-06-14,15.85655
2020-06-15,27.94902
2020-06-16,25.78541
2020-06-17,23.41434
2020-06-18,23.59217
2020-06-19,23.26615
2020-06-20,15.50088
2020-06-21,15.44161
2020-06-22,27.74155
2020-06-23,24.45168
2020-06-24,24.42205
2020-06-25,26.79312
2020-06-26,23.3847
2020-06-27,15.38233
2020-06-28,16.95317
2020-06-29,26.28927
2020-06-30,22.55483
2020-07-01,21.51748
2020-07-02,21.51748
2020-07-03,18.96858
2020-07-04,14.67101
2020-07-05,13.90041
2020-07-06,26.43746
2020-07-07,24.89626
2020-07-08,22.02133
2020-07-09,21.54712
2020-07-10,22.76229
2020-07-11,15.35269
2020-07-12,15.29342
2020-07-13,28.74925
2020-07-14,26.4671
2020-07-15,28.09721
2020-07-16,25.28156
2020-07-17,24.45168
2020-07-18,16.62714
2020-07-19,15.82691
2020-07-20,30.11262
2020-07-21,25.13337
2020-07-22,26.20035
2020-07-23,22.9994
2020-07-24,23.02904
2020-07-25,17.21991
2020-07-26,15.17486
2020-07-27,31.06105
2020-07-28,24.09602
2020-07-29,22.85121
2020-07-30,23.50326
2020-07-31,20.8358
2020-08-01,13.10017
2020-08-02,14.70065
2020-08-03,23.08832
2020-08-04,22.49555
2020-08-05,22.2288
2020-08-06,21.8435
2020-08-07,21.87314
2020-08-08,15.64908
2020-08-09,15.08595
2020-08-10,26.76348
2020-08-11,24.80735
2020-08-12,26.14107
2020-08-13,24.62951
2020-08-14,24.03675
2020-08-15,16.03438
2020-08-16,14.70065
2020-08-17,21.04327
2020-08-18,29.13455
2020-08-19,22.64374
2020-08-20,22.55483
2020-08-21,24.21458
2020-08-22,16.59751
2020-08-23,14.25607
2020-08-24,28.06757
2020-08-25,27.14878
2020-08-26,25.10373
2020-08-27,24.5406
2020-08-28,20.33195
2020-08-29,13.57439
2020-08-30,14.55245
2020-08-31,21.01363
2020-09-01,23.14759
2020-09-02,22.02133
2020-09-03,21.72495
2020-09-04,19.62062
2020-09-05,14.01896
2020-09-06,15.73799
2020-09-07,24.18494
2020-09-08,24.03675
2020-09-09,22.28808
2020-09-10,22.85121
2020-09-11,19.50207
2020-09-12,13.278
2020-09-13,13.95969
2020-09-14,28.42323
2020-09-15,26.58565
2020-09-16,24.09602
2020-09-17,23.85892
2020-09-18,21.39893
2020-09-19,14.61173
2020-09-20,15.11558
2020-09-21,25.22228
2020-09-22,25.13337
2020-09-23,22.85121
2020-09-24,25.07409
2020-09-25,24.80735
2020-09-26,14.70065
2020-09-27,13.75222
2020-09-28,24.74807
2020-09-29,20.56905
2020-09-30,11.4997
2020-10-01,11.1144
2020-10-02,10.7291
2020-10-03,10.25489
2020-10-04,14.67101
2020-10-05,27.32661
2020-10-06,22.67338
2020-10-07,21.9917
2020-10-08,22.70302
2020-10-09,18.46473
2020-10-10,15.61944
2020-10-11,16.59751
2020-10-12,27.74155
2020-10-13,27.2377
2020-10-14,22.94013
2020-10-15,24.62951
2020-10-16,20.80616
2020-10-17,12.98162
2020-10-18,13.6633
2020-10-19,25.75577
2020-10-20,22.73266
2020-10-21,22.91049
2020-10-22,23.97747
2020-10-23,21.96206
2020-10-24,13.33728
2020-10-25,14.37462
2020-10-26,25.63722
2020-10-27,21.4582
2020-10-28,20.59869
