date,연말정산연금저축세액공제
2020-12-09,0.5597
2020-12-23,0.5597
2020-12-28,0.46641
2020-12-31,0.5597
2021-01-14,1.39925
2021-01-15,0.83955
2021-01-17,0.46641
2021-01-18,1.02611
2021-01-19,1.30597
2021-01-20,2.89179
2021-01-21,1.86567
2021-01-22,1.58582
2021-01-24,0.93283
2021-01-25,0.46641
2021-01-26,1.1194
2021-01-27,0.83955
2021-01-28,0.46641
2021-01-29,0.5597
2021-01-31,0.46641
2021-02-01,0.74626
2021-02-03,0.74626
2021-02-04,0.65298
2021-02-08,0.83955
2021-02-09,0.93283
2021-02-10,0.46641
2021-02-15,0.74626
2021-02-16,1.39925
2021-02-17,1.95895
2021-02-18,0.83955
2021-02-19,1.21268
2021-02-22,1.21268
2021-02-23,12.12686
2021-02-24,17.53731
2021-02-25,20.70895
2021-02-26,13.99253
2021-02-27,5.59701
2021-02-28,6.43656
2021-03-01,7.27611
2021-03-02,12.40671
2021-03-03,12.77985
2021-03-04,10.63432
2021-03-05,10.26119
2021-03-06,6.62313
2021-03-07,5.50373
2021-03-08,9.88805
2021-03-09,8.86194
2021-03-10,11.66044
2021-03-11,9.0485
2021-03-12,8.58208
2021-03-13,3.45149
2021-03-15,4.66417
2021-03-16,5.59701
2021-03-17,6.43656
2021-03-18,3.45149
2021-12-27,0.46641
2021-12-28,0.65298
2022-01-15,0.46641
2022-01-17,0.65298
2022-01-18,1.6791
2022-01-19,1.6791
2022-01-20,0.74626
2022-01-21,1.30597
2022-01-22,0.5597
2022-01-24,1.6791
2022-01-25,0.5597
2022-01-26,0.46641
2022-01-27,0.46641
2022-01-28,0.5597
2022-02-03,0.74626
2022-02-04,0.46641
2022-02-07,0.5597
2022-02-08,1.21268
2022-02-09,1.30597
2022-02-10,0.46641
2022-02-11,1.6791
2022-02-14,0.5597
2022-02-15,0.65298
2022-02-16,0.5597
2022-02-17,1.49253
2022-02-18,0.93283
2022-02-21,0.46641
2022-02-22,0.83955
2022-02-24,0.65298
2022-11-21,0.46641
2022-12-13,0.5597
2022-12-28,1.30597
2022-12-30,0.5597
2023-01-11,0.46641
2023-01-16,2.05223
2023-01-17,1.58582
2023-01-18,1.30597
2023-01-19,1.6791
2023-01-25,1.86567
2023-01-26,2.14552
2023-01-27,11.84701
2023-01-28,5.41044
2023-01-29,3.63805
2023-01-30,16.51119
2023-01-31,13.6194
2023-02-01,13.71268
2023-02-02,13.89925
2023-02-03,11.38059
2023-02-04,4.85074
2023-02-05,3.45149
2023-02-06,11.47388
2023-02-07,12.5
2023-02-08,14.1791
2023-02-09,9.0485
2023-02-10,9.23507
2023-02-11,3.54477
2023-02-12,2.14552
2023-02-13,13.33955
2023-02-14,11.56716
2023-02-15,10.35447
2023-02-16,14.83208
2023-02-17,14.27238
2023-02-18,6.8097
2023-02-19,5.31716
2023-02-20,17.91044
2023-02-21,16.79104
2023-02-22,17.63059
2023-02-23,13.52611
2023-02-24,14.83208
2023-02-25,6.52985
2023-02-26,7.64925
2023-02-27,11.28731
2023-02-28,12.12686
2023-03-01,6.43656
2023-03-02,10.16791
2023-03-03,8.4888
2023-03-04,5.87686
2023-03-05,5.78358
2023-03-06,8.4888
2023-03-07,8.39552
2023-03-08,8.02238
2023-03-09,8.86194
2023-03-10,8.58208
2023-03-11,2.98507
2023-03-12,3.82462
2023-03-13,6.90298
2023-03-14,4.94402
2023-03-15,5.50373
2023-03-16,5.22388
2023-03-17,4.38432
2023-03-18,3.17164
2023-03-19,2.98507
2023-03-20,5.13059
2023-03-21,4.85074
2023-03-22,5.41044
2023-03-23,6.25
2023-03-24,5.59701
2023-03-25,2.61194
2023-03-26,3.3582
2023-03-27,5.03731
2023-03-28,5.41044
2023-03-29,3.91791
2023-03-30,3.54477
2023-03-31,3.45149
2023-04-01,1.49253
2023-04-02,2.98507
2023-04-03,3.82462
2023-04-04,3.45149
2023-04-05,5.03731
2023-04-06,4.10447
2023-04-07,3.45149
2023-04-08,2.14552
2023-04-09,2.2388
2023-04-10,4.01119
2023-04-11,3.54477
2023-04-12,3.26492
2023-04-13,2.7985
2023-04-14,2.70522
2023-04-15,1.77238
2023-04-16,1.02611
2023-04-17,2.7985
2023-04-18,1.77238
2023-04-19,1.6791
2023-04-20,2.2388
2023-04-21,2.14552
2023-04-22,1.21268
2023-04-23,1.02611
2023-04-24,2.05223
2023-04-25,2.7985
2023-04-26,4.38432
