date,부동산스터디
2020-03-20,35.8541
2020-03-21,30.98003
2020-03-22,32.10883
2020-03-23,38.22262
2020-03-24,38.28787
2020-03-25,40.54547
2020-03-26,37.1917
2020-03-27,34.7775
2020-03-28,28.9247
2020-03-29,29.33576
2020-03-30,34.86232
2020-03-31,33.37465
2020-04-01,32.4155
2020-04-02,31.61947
2020-04-03,29.77945
2020-04-04,25.77319
2020-04-05,26.99986
2020-04-06,30.67989
2020-04-07,32.16103
2020-04-08,31.19535
2020-04-09,30.54939
2020-04-10,29.65548
2020-04-11,27.26738
2020-04-12,28.10909
2020-04-13,32.35677
2020-04-14,31.74344
2020-04-15,40.291
2020-04-16,45.80451
2020-04-17,32.2328
2020-04-18,28.43533
2020-04-19,30.78428
2020-04-20,31.82826
2020-04-21,34.68615
2020-04-22,31.50202
2020-04-23,31.33237
2020-04-24,29.96868
2020-04-25,26.94767
2020-04-26,26.85632
2020-04-27,30.62116
2020-04-28,31.16925
2020-04-29,30.54939
2020-04-30,26.62795
2020-05-01,27.21518
2020-05-02,26.60185
2020-05-03,27.34568
2020-05-04,32.44812
2020-05-05,32.77437
2020-05-06,35.44303
2020-05-07,36.62403
2020-05-08,33.81182
2020-05-09,31.37805
2020-05-10,30.33407
2020-05-11,33.86402
2020-05-12,33.51167
2020-05-13,31.2345
2020-05-14,34.34033
2020-05-15,31.3389
2020-05-16,27.32611
2020-05-17,28.51363
2020-05-18,35.12984
2020-05-19,33.77267
2020-05-20,35.39736
2020-05-21,34.15764
2020-05-22,33.03536
2020-05-23,28.52668
2020-05-24,28.77463
2020-05-25,32.64387
2020-05-26,34.7514
2020-05-27,33.5704
2020-05-28,33.92927
2020-05-29,31.53464
2020-05-30,26.6671
2020-05-31,29.76641
2020-06-01,35.54743
2020-06-02,38.09213
2020-06-03,38.58149
2020-06-04,38.88163
2020-06-05,37.80503
2020-06-06,34.8819
2020-06-07,36.45439
2020-06-08,43.46209
2020-06-09,43.9906
2020-06-10,44.50606
2020-06-11,46.20905
2020-06-12,45.39344
2020-06-13,41.07399
2020-06-14,43.21414
2020-06-15,54.87407
2020-06-16,58.78898
2020-06-17,81.76301
2020-06-18,68.01513
2020-06-19,62.17538
2020-06-20,53.04058
2020-06-21,54.62612
2020-06-22,62.94532
2020-06-23,61.6012
2020-06-24,61.22928
2020-06-25,59.81338
2020-06-26,56.20514
2020-06-27,50.58071
2020-06-28,53.86271
2020-06-29,62.37113
2020-06-30,61.93396
2020-07-01,61.86871
2020-07-02,67.04293
2020-07-03,64.23071
2020-07-04,56.825
2020-07-05,57.92117
2020-07-06,73.13715
2020-07-07,74.018
2020-07-08,73.84183
2020-07-09,86.14772
2020-07-10,100.0
2020-07-11,67.52577
2020-07-12,67.38875
2020-07-13,75.72099
2020-07-14,74.45517
2020-07-15,72.9153
2020-07-16,73.90708
2020-07-17,76.39305
2020-07-18,64.68745
2020-07-19,64.58958
2020-07-20,76.93462
2020-07-21,77.71107
2020-07-22,76.59532
2020-07-23,74.66396
2020-07-24,67.77371
2020-07-25,59.98303
2020-07-26,61.02701
2020-07-27,74.47474
2020-07-28,76.01461
2020-07-29,83.66175
2020-07-30,73.74396
2020-07-31,70.87955
2020-08-01,67.28435
2020-08-02,65.52916
2020-08-03,72.32806
2020-08-04,95.70664
2020-08-05,78.56583
2020-08-06,75.44695
2020-08-07,74.50737
2020-08-08,62.86702
2020-08-09,63.68915
2020-08-10,72.0475
2020-08-11,63.7805
2020-08-12,59.94388
2020-08-13,57.66018
2020-08-14,55.52655
2020-08-15,46.86806
2020-08-16,45.1194
2020-08-17,45.97416
2020-08-18,47.07686
2020-08-19,46.95941
2020-08-20,47.87942
2020-08-21,45.10635
2020-08-22,40.93044
2020-08-23,37.87028
2020-08-24,44.76053
2020-08-25,43.81443
2020-08-26,45.17812
2020-08-27,43.8862
2020-08-28,39.59284
2020-08-29,35.20814
2020-08-30,36.0368
2020-08-31,40.67597
2020-09-01,39.72987
2020-09-02,41.19796
2020-09-03,38.80986
2020-09-04,37.94858
2020-09-05,33.51167
2020-09-06,32.2328
2020-09-07,39.371
2020-09-08,37.64844
2020-09-09,36.38261
2020-09-10,36.67623
2020-09-11,35.9324
2020-09-12,29.89038
2020-09-13,30.47761
2020-09-14,35.48871
2020-09-15,34.97324
2020-09-16,34.16416
2020-09-17,32.87224
2020-09-18,31.54769
2020-09-19,28.44186
2020-09-20,26.3017
2020-09-21,30.84301
2020-09-22,31.1301
2020-09-23,29.25094
2020-09-24,30.12527
2020-09-25,28.97037
2020-09-26,24.69006
2020-09-27,25.5122
2020-09-28,29.37491
2020-09-29,28.01774
2020-09-30,22.28239
2020-10-01,22.16494
2020-10-02,23.46992
2020-10-03,24.71616
2020-10-04,26.02766
2020-10-05,29.44016
2020-10-06,28.70938
2020-10-07,29.8186
2020-10-08,27.7176
2020-10-09,24.63134
2020-10-10,25.34255
2020-10-11,24.98368
2020-10-12,31.41719
2020-10-13,31.03223
2020-10-14,31.01918
2020-10-15,30.17747
2020-10-16,28.45491
2020-10-17,24.93801
2020-10-18,24.93148
2020-10-19,31.56074
2020-10-20,31.44982
2020-10-21,30.69294
2020-10-22,31.79564
2020-10-23,29.32924
2020-10-24,23.49601
2020-10-25,24.56609
2020-10-26,31.31932
2020-10-27,32.19365
2020-10-28,31.97181
2020-10-29,31.98486
