date,주식세금
2020-11-07,4.13985
2020-11-08,3.96989
2020-11-09,8.59536
2020-11-10,9.95508
2020-11-11,9.85795
2020-11-12,9.10525
2020-11-13,7.9155
2020-11-14,4.01845
2020-11-15,4.58904
2020-11-16,10.95058
2020-11-17,9.74869
2020-11-18,9.63943
2020-11-19,9.44518
2020-11-20,9.59087
2020-11-21,6.03375
2020-11-22,6.09445
2020-11-23,12.46813
2020-11-24,13.13585
2020-11-25,12.45599
2020-11-26,10.54995
2020-11-27,10.9263
2020-11-28,7.44202
2020-11-29,6.27655
2020-11-30,11.72757
2020-12-01,15.57605
2020-12-02,15.38181
2020-12-03,16.80223
2020-12-04,17.97984
2020-12-05,11.3755
2020-12-06,10.65922
2020-12-07,16.38946
2020-12-08,14.3863
2020-12-09,17.19072
2020-12-10,14.94476
2020-12-11,15.35753
2020-12-12,7.61199
2020-12-13,7.12638
2020-12-14,14.3256
2020-12-15,12.04321
2020-12-16,13.42721
2020-12-17,15.90384
2020-12-18,16.6444
2020-12-19,9.46946
2020-12-20,8.26757
2020-12-21,14.73837
2020-12-22,13.28153
2020-12-23,14.05851
2020-12-24,14.67767
2020-12-25,9.05669
2020-12-26,7.36918
2020-12-27,7.67269
2020-12-28,18.44118
2020-12-29,17.79774
2020-12-30,19.46096
2020-12-31,11.58188
2021-01-01,9.44518
2021-01-02,9.03241
2021-01-03,8.92315
2021-01-04,20.92995
2021-01-05,21.09991
2021-01-06,36.77309
2021-01-07,54.21876
2021-01-08,51.12298
2021-01-09,31.85625
2021-01-10,30.64222
2021-01-11,45.21063
2021-01-12,32.34187
2021-01-13,26.29598
2021-01-14,30.94573
2021-01-15,37.27085
2021-01-16,19.69163
2021-01-17,13.43935
2021-01-18,17.23928
2021-01-19,22.01044
2021-01-20,22.38679
2021-01-21,22.15612
2021-01-22,21.06349
2021-01-23,11.78827
2021-01-24,10.65922
2021-01-25,21.5491
2021-01-26,19.52167
2021-01-27,16.81437
2021-01-28,14.55627
2021-01-29,12.58953
2021-01-30,7.83052
2021-01-31,7.58771
2021-02-01,12.79592
2021-02-02,15.10258
2021-02-03,15.41823
2021-02-04,13.58504
2021-02-05,12.33458
2021-02-06,8.07332
2021-02-07,7.2235
