date,저축성연금보험
2020-03-20,30.19271
2020-03-21,21.41327
2020-03-22,22.9122
2020-03-23,38.32976
2020-03-24,41.75588
2020-03-25,36.40256
2020-03-26,36.2955
2020-03-27,34.6895
2020-03-28,23.01927
2020-03-29,22.2698
2020-03-30,37.79443
2020-03-31,36.50963
2020-04-01,30.94218
2020-04-02,28.80085
2020-04-03,24.62526
2020-04-04,21.73447
2020-04-05,18.20128
2020-04-06,26.23126
2020-04-07,29.44325
2020-04-08,30.94218
2020-04-09,31.90578
2020-04-10,26.23126
2020-04-11,20.87794
2020-04-12,20.34261
2020-04-13,32.01284
2020-04-14,28.26552
2020-04-15,18.84368
2020-04-16,24.5182
2020-04-17,26.87366
2020-04-18,21.52034
2020-04-19,18.84368
2020-04-20,32.01284
2020-04-21,30.94218
2020-04-22,29.12205
2020-04-23,28.15845
2020-04-24,24.62526
2020-04-25,20.66381
2020-04-26,23.2334
2020-04-27,32.54817
2020-04-28,31.47751
2020-04-29,25.48179
2020-04-30,15.52462
2020-05-01,17.34475
2020-05-02,15.63169
2020-05-03,15.31049
2020-05-04,25.48179
2020-05-05,21.6274
2020-05-06,24.30406
2020-05-07,23.98286
2020-05-08,21.41327
2020-05-09,17.55888
2020-05-10,15.52462
2020-05-11,27.94432
2020-05-12,33.29764
2020-05-13,33.61884
2020-05-14,38.65096
2020-05-15,24.5182
2020-05-16,17.55888
2020-05-17,15.84582
2020-05-18,29.65738
2020-05-19,38.75802
2020-05-20,31.04925
2020-05-21,32.01284
2020-05-22,25.58886
2020-05-23,17.77301
2020-05-24,20.98501
2020-05-25,31.47751
2020-05-26,36.08137
2020-05-27,33.08351
2020-05-28,29.01498
2020-05-29,22.16274
2020-05-30,14.45396
2020-05-31,18.52248
2020-06-01,28.15845
2020-06-02,30.51391
2020-06-03,30.29978
2020-06-04,33.94004
2020-06-05,30.40685
2020-06-06,22.69807
2020-06-07,16.27408
2020-06-08,28.69379
2020-06-09,28.80085
2020-06-10,31.26338
2020-06-11,25.16059
2020-06-12,25.48179
2020-06-13,16.27408
2020-06-14,17.98715
2020-06-15,28.05139
2020-06-16,28.58672
2020-06-17,28.15845
2020-06-18,26.33832
2020-06-19,26.01713
2020-06-20,16.80942
2020-06-21,17.66595
2020-06-22,29.76445
2020-06-23,25.91006
2020-06-24,34.0471
2020-06-25,32.01284
2020-06-26,25.80299
2020-06-27,17.98715
2020-06-28,16.59528
2020-06-29,34.6895
2020-06-30,33.83297
2020-07-01,28.26552
2020-07-02,28.15845
2020-07-03,29.55032
2020-07-04,17.34475
2020-07-05,17.02355
2020-07-06,27.08779
2020-07-07,31.69164
2020-07-08,25.37473
2020-07-09,22.48394
2020-07-10,29.22912
2020-07-11,17.66595
2020-07-12,25.80299
