date,연말정산연금저축
2020-03-20,6.15174
2020-03-21,4.37457
2020-03-22,4.98974
2020-03-23,4.16951
2020-03-24,6.3568
2020-03-25,6.4935
2020-03-26,3.96445
2020-03-27,4.71633
2020-03-28,2.93916
2020-03-29,2.66575
2020-03-30,4.64798
2020-03-31,5.67327
2020-04-01,3.8961
2020-04-02,3.21257
2020-04-03,4.64798
2020-04-04,2.87081
2020-04-05,2.46069
2020-04-06,2.87081
2020-04-07,3.48598
2020-04-08,4.64798
2020-04-09,3.07587
2020-04-10,3.82775
2020-04-11,2.11893
2020-04-12,3.34928
2020-04-13,3.00751
2020-04-14,2.7341
2020-04-15,2.5974
2020-04-16,3.14422
2020-04-17,3.55434
2020-04-18,1.23034
2020-04-19,3.28092
2020-04-20,3.41763
2020-04-21,4.23786
2020-04-22,5.33151
2020-04-23,3.48598
2020-04-24,3.8961
2020-04-25,0.95693
2020-04-26,2.5974
2020-04-27,4.10116
2020-04-28,2.66575
2020-04-29,3.55434
2020-04-30,2.39234
2020-05-01,3.14422
2020-05-02,3.21257
2020-05-03,2.52904
2020-05-04,3.07587
2020-05-05,2.93916
2020-05-06,3.82775
2020-05-07,2.7341
2020-05-08,2.52904
2020-05-09,2.25563
2020-05-10,1.36705
2020-05-11,4.23786
2020-05-12,4.37457
2020-05-13,3.69104
2020-05-14,3.00751
2020-05-15,3.48598
2020-05-16,1.4354
2020-05-17,2.66575
2020-05-18,5.05809
2020-05-19,4.92139
2020-05-20,5.46821
2020-05-21,5.26315
2020-05-22,4.0328
2020-05-23,1.57211
2020-05-24,1.91387
2020-05-25,6.42515
2020-05-26,4.51127
2020-05-27,3.07587
2020-05-28,3.55434
2020-05-29,3.07587
2020-05-30,1.77717
2020-05-31,1.84552
2020-06-01,3.07587
2020-06-02,3.48598
2020-06-03,2.39234
2020-06-04,2.93916
2020-06-05,2.52904
2020-06-06,1.64046
2020-06-07,1.84552
2020-06-08,2.18728
2020-06-09,3.69104
2020-06-10,2.46069
2020-06-11,2.87081
2020-06-12,2.11893
2020-06-13,0.82023
2020-06-14,1.4354
2020-06-15,2.18728
2020-06-16,2.39234
2020-06-17,1.64046
2020-06-18,2.5974
2020-06-19,2.66575
2020-06-20,1.2987
