date,실손보험비교사이트
2020-03-20,21.29629
2020-03-21,14.81481
2020-03-22,7.4074
2020-03-23,13.88888
2020-03-24,16.66666
2020-03-25,24.07407
2020-03-26,20.37037
2020-03-27,21.29629
2020-03-28,12.03703
2020-03-29,11.11111
2020-03-30,16.66666
2020-03-31,25.0
2020-04-01,12.96296
2020-04-02,20.37037
2020-04-03,17.59259
2020-04-04,15.74074
2020-04-05,20.37037
2020-04-06,31.48148
2020-04-07,18.51851
2020-04-08,8.33333
2020-04-09,6.48148
2020-04-10,10.18518
2020-04-11,11.11111
2020-04-12,8.33333
2020-04-13,10.18518
2020-04-14,14.81481
2020-04-15,32.4074
2020-04-16,8.33333
2020-04-17,14.81481
2020-04-18,14.81481
2020-04-19,13.88888
2020-04-20,12.03703
2020-04-21,6.48148
2020-04-22,13.88888
2020-04-23,23.14814
2020-04-24,24.07407
2020-04-26,8.33333
2020-04-27,23.14814
2020-04-28,12.96296
2020-04-29,17.59259
2020-04-30,4.62962
2020-05-01,11.11111
2020-05-02,4.62962
2020-05-03,8.33333
2020-05-04,10.18518
2020-05-05,9.25925
2020-05-06,12.03703
2020-05-07,12.03703
2020-05-08,19.44444
2020-05-09,12.03703
2020-05-10,4.62962
2020-05-11,12.96296
2020-05-12,18.51851
2020-05-13,25.0
2020-05-14,17.59259
2020-05-15,11.11111
2020-05-16,12.96296
2020-05-17,5.55555
2020-05-18,18.51851
2020-05-19,11.11111
2020-05-20,6.48148
2020-05-21,12.96296
2020-05-22,5.55555
2020-05-23,4.62962
2020-05-24,4.62962
2020-05-25,25.92592
2020-05-26,16.66666
2020-05-27,12.03703
2020-05-28,18.51851
2020-05-29,7.4074
2020-05-31,4.62962
2020-06-01,17.59259
2020-06-02,13.88888
2020-06-03,10.18518
2020-06-04,19.44444
2020-06-05,7.4074
2020-06-06,12.03703
2020-06-07,4.62962
2020-06-08,6.48148
2020-06-09,14.81481
2020-06-10,23.14814
2020-06-11,27.77777
2020-06-12,21.29629
2020-06-14,8.33333
2020-06-15,15.74074
2020-06-16,5.55555
2020-06-17,18.51851
2020-06-18,15.74074
2020-06-19,7.4074
2020-06-20,6.48148
2020-06-21,4.62962
2020-06-22,17.59259
2020-06-23,16.66666
2020-06-24,8.33333
2020-06-25,11.11111
2020-06-26,5.55555
2020-06-27,7.4074
2020-06-28,4.62962
2020-06-29,14.81481
2020-06-30,14.81481
2020-07-01,13.88888
2020-07-02,15.74074
2020-07-03,12.03703
2020-07-04,4.62962
2020-07-05,4.62962
2020-07-06,14.81481
2020-07-07,8.33333
2020-07-08,10.18518
2020-07-09,16.66666
2020-07-10,14.81481
2020-07-12,6.48148
2020-07-13,13.88888
2020-07-14,15.74074
2020-07-15,12.03703
2020-07-16,13.88888
2020-07-17,14.81481
2020-07-18,7.4074
2020-07-19,12.96296
2020-07-20,7.4074
2020-07-21,6.48148
2020-07-22,12.03703
2020-07-23,12.96296
2020-07-24,12.96296
2020-07-25,8.33333
2020-07-26,4.62962
2020-07-27,13.88888
2020-07-28,15.74074
2020-07-29,7.4074
2020-07-30,23.14814
2020-08-02,4.62962
2020-08-03,4.62962
2020-08-04,15.74074
2020-08-05,20.37037
2020-08-06,6.48148
2020-08-07,25.0
2020-08-09,11.11111
2020-08-10,10.18518
2020-08-11,14.81481
2020-08-12,10.18518
2020-08-13,16.66666
2020-08-14,13.88888
2020-08-17,7.4074
2020-08-18,22.22222
2020-08-19,10.18518
2020-08-20,12.03703
2020-08-21,9.25925
2020-08-22,5.55555
2020-08-25,6.48148
2020-08-26,12.03703
2020-08-27,19.44444
2020-08-28,4.62962
2020-08-30,7.4074
2020-08-31,4.62962
2020-09-01,16.66666
2020-09-02,5.55555
2020-09-03,11.11111
2020-09-04,19.44444
2020-09-05,4.62962
2020-09-07,4.62962
2020-09-08,11.11111
2020-09-09,15.74074
2020-09-10,19.44444
2020-09-11,11.11111
2020-09-13,7.4074
2020-09-14,21.29629
2020-09-15,12.96296
2020-09-16,12.96296
2020-09-17,23.14814
2020-09-18,8.33333
2020-09-19,4.62962
2020-09-21,16.66666
2020-09-22,6.48148
2020-09-23,13.88888
2020-09-24,22.22222
2020-09-25,20.37037
2020-09-26,7.4074
2020-09-28,4.62962
2020-09-29,12.03703
2020-10-02,11.11111
2020-10-03,6.48148
2020-10-04,15.74074
2020-10-05,16.66666
2020-10-06,12.96296
2020-10-07,5.55555
2020-10-08,9.25925
2020-10-12,19.44444
2020-10-13,11.11111
2020-10-14,13.88888
2020-10-16,4.62962
2020-10-19,7.4074
2020-10-20,10.18518
2020-10-21,23.14814
2020-10-22,9.25925
2020-10-23,15.74074
2020-10-24,5.55555
2020-10-25,4.62962
2020-10-26,19.44444
2020-10-27,19.44444
2020-10-28,15.74074
2020-10-29,21.29629
2020-10-30,17.59259
2020-10-31,5.55555
2020-11-01,6.48148
