date,바이오관련주
2020-03-20,5.51149
2020-03-21,3.37034
2020-03-22,4.34179
2020-03-23,7.15701
2020-03-24,5.76923
2020-03-25,6.80015
2020-03-26,9.93259
2020-03-27,10.58683
2020-03-28,6.38382
2020-03-29,5.43219
2020-03-30,8.40602
2020-03-31,10.72561
2020-04-01,10.64631
2020-04-02,7.25614
2020-04-03,6.02696
2020-04-04,3.90563
2020-04-05,4.22283
2020-04-06,6.32434
2020-04-07,7.93021
2020-04-08,6.26486
2020-04-09,7.83108
2020-04-10,10.05154
2020-04-11,8.80253
2020-04-12,8.06899
2020-04-13,10.26962
2020-04-14,7.91038
2020-04-15,5.29341
2020-04-16,6.08643
2020-04-17,7.51387
2020-04-18,6.40364
2020-04-19,7.41475
2020-04-20,8.34655
2020-04-21,8.42585
2020-04-22,9.41712
2020-04-23,9.73433
2020-04-24,8.86201
2020-04-25,9.59555
2020-04-26,8.88183
2020-04-27,9.17922
2020-04-28,9.73433
2020-04-29,7.43457
2020-04-30,6.44329
2020-05-01,6.78033
2020-05-02,5.63045
2020-05-03,7.89056
2020-05-04,15.0674
2020-05-05,10.66613
2020-05-06,17.14908
2020-05-07,18.89373
2020-05-08,17.12926
2020-05-09,14.15543
2020-05-10,18.65582
2020-05-11,28.1126
2020-05-12,30.96748
2020-05-13,33.58445
2020-05-14,30.03568
2020-05-15,22.46233
2020-05-16,15.97938
2020-05-17,15.74147
2020-05-18,25.39651
2020-05-19,32.27597
2020-05-20,26.22918
2020-05-21,28.94528
2020-05-22,25.35685
2020-05-23,18.27914
2020-05-24,19.66693
2020-05-25,25.39651
2020-05-26,25.51546
2020-05-27,26.70499
2020-05-28,21.60983
2020-05-29,17.26804
2020-05-30,14.8295
2020-05-31,19.42902
2020-06-01,38.54084
2020-06-02,43.93338
2020-06-03,43.73513
2020-06-04,33.82236
2020-06-05,30.25376
2020-06-06,22.85884
2020-06-07,23.71134
2020-06-08,37.52973
2020-06-09,38.38223
2020-06-10,59.71451
2020-06-11,67.72402
2020-06-12,51.68517
2020-06-13,33.6241
2020-06-14,32.71213
2020-06-15,45.71768
2020-06-16,42.96193
2020-06-17,38.56066
2020-06-18,36.71689
2020-06-19,31.99841
2020-06-20,21.15384
2020-06-21,21.94686
2020-06-22,36.32038
2020-06-23,32.63283
2020-06-24,35.76526
2020-06-25,27.59714
2020-06-26,17.26804
2020-06-27,13.73909
2020-06-28,12.62886
2020-06-29,22.83901
2020-06-30,20.79698
2020-07-01,23.15622
2020-07-02,28.60824
2020-07-03,24.06819
2020-07-04,12.29183
2020-07-05,14.9881
2020-07-06,27.53766
2020-07-07,26.52656
2020-07-08,23.61221
2020-07-09,22.20459
2020-07-10,17.7042
