date,감정평가사시험
2020-03-20,4.07419
2020-03-21,3.34495
2020-03-22,3.39251
2020-03-23,4.72415
2020-03-24,4.91439
2020-03-25,5.31071
2020-03-26,4.59733
2020-03-27,4.58148
2020-03-28,3.88395
2020-03-29,3.83639
2020-03-30,5.43753
2020-03-31,6.34115
2020-04-01,5.43753
2020-04-02,4.86683
2020-04-03,4.86683
2020-04-04,4.05833
2020-04-05,5.45339
2020-04-06,6.53138
2020-04-07,5.84971
2020-04-08,6.00824
2020-04-09,6.29359
2020-04-10,4.96195
2020-04-11,3.82054
2020-04-12,4.05833
2020-04-13,6.3253
2020-04-14,4.85098
2020-04-15,5.86556
2020-04-16,7.29232
2020-04-17,5.32656
2020-04-18,4.72415
2020-04-19,5.27901
2020-04-20,8.60811
2020-04-21,7.02282
2020-04-22,12.87254
2020-04-23,16.09067
2020-04-24,8.8459
2020-04-25,5.84971
2020-04-26,5.70703
2020-04-27,6.48383
2020-04-28,6.10336
2020-04-29,6.61065
2020-04-30,5.05707
2020-05-01,4.54977
2020-05-02,3.70957
2020-05-03,4.58148
2020-05-04,5.818
2020-05-05,4.88268
2020-05-06,5.34242
2020-05-07,4.9778
2020-05-08,4.91439
2020-05-09,3.82054
2020-05-10,4.29613
2020-05-11,5.35827
2020-05-12,5.16804
2020-05-13,5.50095
2020-05-14,5.2473
2020-05-15,4.35954
2020-05-16,5.08877
2020-05-17,4.12175
2020-05-18,5.56436
2020-05-19,5.15218
2020-05-20,4.58148
2020-05-21,4.34369
2020-05-22,4.80342
2020-05-23,3.42422
2020-05-24,4.1376
2020-05-25,5.37412
2020-05-26,4.78757
2020-05-27,4.05833
2020-05-28,3.78883
2020-05-29,4.10589
2020-05-30,3.58275
2020-05-31,3.97907
2020-06-01,5.62777
2020-06-02,4.7083
2020-06-03,4.72415
2020-06-04,4.93024
2020-06-05,4.74001
2020-06-06,5.00951
2020-06-07,5.34242
2020-06-08,6.54724
2020-06-09,5.88142
2020-06-10,5.92897
2020-06-11,6.83259
2020-06-12,10.74825
2020-06-13,36.5409
2020-06-14,11.92136
2020-06-15,9.40076
2020-06-16,7.13379
2020-06-17,5.92897
2020-06-18,6.40456
2020-06-19,5.13633
2020-06-20,5.5168
2020-06-21,4.86683
2020-06-22,5.18389
2020-06-23,5.31071
2020-06-24,4.81927
2020-06-25,4.39124
2020-06-26,4.39124
2020-06-27,3.82054
2020-06-28,3.09131
2020-06-29,5.12048
2020-06-30,4.09004
2020-07-01,3.80469
2020-07-02,3.97907
2020-07-03,4.23272
2020-07-04,4.04248
2020-07-05,3.80469
2020-07-06,5.15218
2020-07-07,5.34242
2020-07-08,5.16804
2020-07-09,4.7083
2020-07-10,3.56689
2020-07-11,3.50348
2020-07-12,4.02663
2020-07-13,4.62904
2020-07-14,5.5168
2020-07-15,4.56563
2020-07-16,4.4388
2020-07-17,3.8681
2020-07-18,2.98034
2020-07-19,3.67786
2020-07-20,5.34242
2020-07-21,4.50221
2020-07-22,4.80342
2020-07-23,3.72542
2020-07-24,3.78883
2020-07-25,2.74254
2020-07-26,3.01204
2020-07-27,4.62904
2020-07-28,4.12175
2020-07-29,7.60938
2020-07-30,5.21559
2020-07-31,3.99492
2020-08-01,3.64616
2020-08-02,3.74128
2020-08-03,5.18389
2020-08-04,4.91439
2020-08-05,4.7083
2020-08-06,4.20101
2020-08-07,3.93151
2020-08-08,2.77425
2020-08-09,3.15472
2020-08-10,4.48636
2020-08-11,3.51934
2020-08-12,3.91566
2020-08-13,3.0596
2020-08-14,3.17057
2020-08-15,2.77425
2020-08-16,3.66201
2020-08-17,3.55104
2020-08-18,4.15345
2020-08-19,3.5986
2020-08-20,4.12175
2020-08-21,3.8681
2020-08-22,3.34495
2020-08-23,4.4071
2020-08-24,4.9461
2020-08-25,4.4071
2020-08-26,4.4388
2020-08-27,4.47051
2020-08-28,4.81927
2020-08-29,4.47051
2020-08-30,4.20101
2020-08-31,5.88142
2020-09-01,5.23145
2020-09-02,5.26315
2020-09-03,4.51807
2020-09-04,4.21686
2020-09-05,3.53519
2020-09-06,4.4388
2020-09-07,5.80215
2020-09-08,5.40583
2020-09-09,5.04121
2020-09-10,6.29359
2020-09-11,6.38871
2020-09-12,4.78757
2020-09-13,4.54977
2020-09-14,4.77171
2020-09-15,5.62777
2020-09-16,5.5485
2020-09-17,5.42168
2020-09-18,7.68864
2020-09-19,20.52948
2020-09-20,7.62523
2020-09-21,5.7863
2020-09-22,5.5485
2020-09-23,6.13506
2020-09-24,5.88142
2020-09-25,4.02663
2020-09-26,3.93151
2020-09-27,4.56563
2020-09-28,4.51807
2020-09-29,4.86683
2020-09-30,3.53519
2020-10-01,3.72542
2020-10-02,4.15345
2020-10-03,4.42295
2020-10-04,5.26315
2020-10-05,6.16677
2020-10-06,4.99365
2020-10-07,5.12048
2020-10-08,4.59733
2020-10-09,3.93151
2020-10-10,4.28027
2020-10-11,4.31198
2020-10-12,5.70703
2020-10-13,4.91439
2020-10-14,4.39124
2020-10-15,4.4388
2020-10-16,4.7083
2020-10-17,4.09004
2020-10-18,4.1376
2020-10-19,5.69118
2020-10-20,5.62777
2020-10-21,5.38998
2020-10-22,5.45339
2020-10-23,5.34242
2020-10-24,4.47051
2020-10-25,4.89854
2020-10-26,6.07165
2020-10-27,6.0558
2020-10-28,5.86556
2020-10-29,5.92897
2020-10-30,6.16677
2020-10-31,9.81293
2020-11-01,13.11033
2020-11-02,10.85922
2020-11-03,9.54343
2020-11-04,7.27647
2020-11-05,6.6265
2020-11-06,6.0875
2020-11-07,5.13633
2020-11-08,5.50095
2020-11-09,6.54724
2020-11-10,5.88142
2020-11-11,6.02409
2020-11-12,7.22891
2020-11-13,6.42041
2020-11-14,5.59606
2020-11-15,5.31071
2020-11-16,6.70577
2020-11-17,6.27774
2020-11-18,6.68991
2020-11-19,5.65948
2020-11-20,5.97653
2020-11-21,4.88268
2020-11-22,5.2473
2020-11-23,5.89727
2020-11-24,6.38871
2020-11-25,6.70577
2020-11-26,6.51553
2020-11-27,8.32276
2020-11-28,5.46924
2020-11-29,6.53138
2020-11-30,7.08623
2020-12-01,7.22891
2020-12-02,9.14711
2020-12-03,8.2435
2020-12-04,7.21306
2020-12-05,6.42041
2020-12-06,7.65694
2020-12-07,9.78123
2020-12-08,9.17882
2020-12-09,8.16423
2020-12-10,8.94102
2020-12-11,7.27647
2020-12-12,6.68991
2020-12-13,7.62523
2020-12-14,9.05199
2020-12-15,11.0336
2020-12-16,16.66138
2020-12-17,8.92517
2020-12-18,7.75206
2020-12-19,5.97653
2020-12-20,7.30818
2020-12-21,8.83005
2020-12-22,7.05453
2020-12-23,7.51426
2020-12-24,6.64235
2020-12-25,5.26315
2020-12-26,6.37285
2020-12-27,6.88015
2020-12-28,7.95814
2020-12-29,7.38744
2020-12-30,7.14965
2020-12-31,5.58021
2021-01-01,5.15218
2021-01-02,6.38871
2021-01-03,7.78376
2021-01-04,8.38617
2021-01-05,7.26062
2021-01-06,6.29359
2021-01-07,5.65948
2021-01-08,5.48509
2021-01-09,5.26315
2021-01-10,6.19847
2021-01-11,7.40329
2021-01-12,6.73747
2021-01-13,6.56309
2021-01-14,6.42041
2021-01-15,5.89727
2021-01-16,5.2473
2021-01-17,6.03994
2021-01-18,12.80913
2021-01-19,8.43373
2021-01-20,7.14965
2021-01-21,8.13253
2021-01-22,7.40329
2021-01-23,4.64489
2021-01-24,5.12048
