date,청약
2020-03-20,4.37829
2020-03-21,7.61467
2020-03-22,5.84813
2020-03-23,8.65508
2020-03-24,13.49014
2020-03-25,8.87565
2020-03-26,6.504
2020-03-27,4.99316
2020-03-28,3.47452
2020-03-29,3.8454
2020-03-30,8.65313
2020-03-31,8.35057
2020-04-01,7.67714
2020-04-02,6.1136
2020-04-03,4.66133
2020-04-04,3.83954
2020-04-05,3.68729
2020-04-06,5.94768
2020-04-07,6.84169
2020-04-08,5.325
2020-04-09,4.82139
2020-04-10,4.5891
2020-04-11,3.03337
2020-04-12,3.67558
2020-04-13,5.569
2020-04-14,5.97501
2020-04-15,3.52527
2020-04-16,7.3902
2020-04-17,5.24692
2020-04-18,3.61506
2020-04-19,4.13429
2020-04-20,8.02459
2020-04-21,9.77552
2020-04-22,7.82549
2020-04-23,5.90864
2020-04-24,4.48565
2020-04-25,2.93187
2020-04-26,3.68924
2020-04-27,7.47804
2020-04-28,7.29845
2020-04-29,5.43236
2020-04-30,3.26566
2020-05-01,3.44134
2020-05-02,2.87526
2020-05-03,3.64434
2020-05-04,6.45129
2020-05-05,4.55982
2020-05-06,8.30372
2020-05-07,7.25746
2020-05-08,6.43958
2020-05-09,3.75951
2020-05-10,4.06207
2020-05-11,9.92582
2020-05-12,11.4835
2020-05-13,7.39605
2020-05-14,6.64259
2020-05-15,6.59184
2020-05-16,4.35096
2020-05-17,4.99512
2020-05-18,10.12687
2020-05-19,11.585
2020-05-20,28.64922
2020-05-21,9.84969
2020-05-22,7.19109
2020-05-23,4.12063
2020-05-24,4.76673
2020-05-25,9.27776
2020-05-26,12.68007
2020-05-27,10.17372
2020-05-28,9.55299
2020-05-29,6.40054
2020-05-30,4.02108
2020-05-31,4.72379
2020-06-01,9.57642
2020-06-02,18.59652
2020-06-03,13.23443
2020-06-04,9.50614
2020-06-05,6.64259
2020-06-06,4.4427
2020-06-07,5.07515
2020-06-08,10.93695
2020-06-09,15.14347
2020-06-10,12.60979
2020-06-11,11.47179
2020-06-12,8.06949
2020-06-13,4.30607
2020-06-14,5.07319
2020-06-15,11.8251
2020-06-16,12.90454
2020-06-17,10.48604
2020-06-18,8.49111
2020-06-19,7.94846
2020-06-20,4.21823
2020-06-21,4.63205
2020-06-22,10.03513
2020-06-23,13.05289
2020-06-24,9.74819
2020-06-25,8.14366
2020-06-26,6.73238
2020-06-27,3.49209
2020-06-28,4.51688
2020-06-29,8.14561
2020-06-30,9.97072
2020-07-01,9.06695
2020-07-02,7.64981
2020-07-03,6.40445
2020-07-04,3.74585
2020-07-05,4.87995
2020-07-06,8.48526
2020-07-07,8.54967
2020-07-08,9.02596
2020-07-09,8.05973
2020-07-10,7.0974
2020-07-11,4.1382
2020-07-12,4.67109
2020-07-13,7.96603
2020-07-14,8.86589
2020-07-15,8.78586
2020-07-16,8.25688
2020-07-17,9.13527
2020-07-18,3.94495
2020-07-19,4.59105
2020-07-20,10.35526
2020-07-21,14.10306
2020-07-22,8.87565
2020-07-23,7.52488
2020-07-24,6.8534
2020-07-25,4.16943
2020-07-26,4.47589
2020-07-27,8.55748
2020-07-28,9.09232
2020-07-29,9.7111
2020-07-30,8.48135
2020-07-31,6.69529
2020-08-01,3.88639
2020-08-02,4.23384
2020-08-03,9.29143
2020-08-04,14.00936
2020-08-05,8.40327
2020-08-06,7.55026
2020-08-07,8.49697
2020-08-08,4.75502
2020-08-09,5.39332
2020-08-10,13.39254
2020-08-11,20.26937
2020-08-12,12.3658
2020-08-13,12.29357
2020-08-14,13.38083
2020-08-15,4.22994
2020-08-16,4.07378
2020-08-17,5.26644
2020-08-18,9.33632
2020-08-19,11.62014
2020-08-20,9.72281
2020-08-21,7.96017
2020-08-22,3.65215
2020-08-23,3.91177
2020-08-24,7.88405
2020-08-25,7.33554
2020-08-26,8.52039
2020-08-27,6.67772
2020-08-28,6.34589
2020-08-29,4.12453
2020-08-30,4.1909
2020-08-31,9.68768
2020-09-01,13.59554
2020-09-02,10.83349
2020-09-03,7.76107
2020-09-04,5.92035
2020-09-05,3.74194
2020-09-06,4.85848
2020-09-07,7.79426
2020-09-08,15.82471
2020-09-09,11.98906
2020-09-10,7.89771
