date,옵션
2020-03-20,37.49365
2020-03-21,26.83916
2020-03-22,26.28107
2020-03-23,35.87011
2020-03-24,32.36935
2020-03-25,30.18772
2020-03-26,29.27447
2020-03-27,25.87519
2020-03-28,20.90309
2020-03-29,18.2141
2020-03-30,25.41856
2020-03-31,24.86047
2020-04-01,26.23033
2020-04-02,27.7524
2020-04-03,28.61491
2020-04-04,19.43176
2020-04-05,22.07001
2020-04-06,31.76052
2020-04-07,36.22526
2020-04-08,51.04008
2020-04-09,51.39523
2020-04-10,25.82445
2020-04-11,19.27955
2020-04-12,21.25824
2020-04-13,27.85388
2020-04-14,25.31709
2020-04-15,20.44647
2020-04-16,24.55606
2020-04-17,25.41856
2020-04-18,18.61998
2020-04-19,26.99137
2020-04-20,29.07153
2020-04-21,32.87671
2020-04-22,31.35464
2020-04-23,32.97818
2020-04-24,26.68696
2020-04-25,22.37442
2020-04-26,26.1796
2020-04-27,28.05682
2020-04-28,27.6002
2020-04-29,24.25164
2020-04-30,18.31557
2020-05-01,17.85895
2020-05-02,17.14865
2020-05-03,21.66412
2020-05-04,26.58548
2020-05-05,25.62151
2020-05-06,27.85388
2020-05-07,24.759
2020-05-08,23.49061
2020-05-09,21.30898
2020-05-10,19.83764
2020-05-11,28.86859
2020-05-12,28.15829
2020-05-13,31.15169
2020-05-14,33.02891
2020-05-15,23.84576
2020-05-16,19.33028
2020-05-17,23.64282
2020-05-18,27.44799
2020-05-19,27.85388
2020-05-20,24.09944
2020-05-21,22.88178
2020-05-22,21.71486
2020-05-23,17.25012
2020-05-24,19.38102
2020-05-25,24.25164
2020-05-26,21.25824
2020-05-27,23.3384
2020-05-28,24.55606
2020-05-29,20.90309
2020-05-30,17.75748
2020-05-31,20.54794
2020-06-01,28.97006
2020-06-02,24.96194
2020-06-03,27.34652
2020-06-04,24.25164
2020-06-05,25.82445
2020-06-06,21.15677
2020-06-07,21.15677
2020-06-08,28.4627
2020-06-09,26.94063
2020-06-10,31.25317
2020-06-11,41.65398
2020-06-12,24.70826
2020-06-13,20.54794
2020-06-14,21.25824
2020-06-15,26.78843
2020-06-16,25.67224
2020-06-17,22.88178
2020-06-18,24.09944
2020-06-19,23.74429
2020-06-20,17.35159
2020-06-21,18.36631
2020-06-22,21.7656
2020-06-23,23.38914
2020-06-24,23.99797
2020-06-25,22.17148
2020-06-26,19.78691
2020-06-27,15.57584
2020-06-28,19.93911
2020-06-29,24.40385
2020-06-30,22.88178
2020-07-01,23.18619
2020-07-02,21.96854
2020-07-03,22.4759
2020-07-04,15.57584
2020-07-05,15.47437
2020-07-06,23.3384
2020-07-07,24.09944
2020-07-08,30.39066
2020-07-09,30.4414
2020-07-10,19.68543
2020-07-11,14.96702
2020-07-12,18.16336
2020-07-13,26.38254
2020-07-14,22.07001
2020-07-15,20.44647
2020-07-16,20.345
2020-07-17,19.93911
