date,다운우미린
2022-02-14,1.6279
2022-02-16,2.09302
2022-02-17,1.86046
2022-02-21,1.6279
2022-02-22,1.39534
2022-02-23,1.16279
2022-02-24,2.55813
2022-02-26,1.6279
2022-02-27,2.32558
2022-02-28,20.0
2022-03-01,12.79069
2022-03-02,9.06976
2022-03-03,9.53488
2022-03-04,8.8372
2022-03-05,8.13953
2022-03-06,9.30232
2022-03-07,7.67441
2022-03-08,16.27906
2022-03-09,8.13953
2022-03-10,42.09302
2022-03-11,53.25581
2022-03-12,21.86046
2022-03-13,13.48837
2022-03-14,22.32558
2022-03-15,12.55813
2022-03-16,9.76744
2022-03-17,7.67441
2022-03-18,39.06976
2022-03-19,11.39534
2022-03-20,11.39534
2022-03-21,10.93023
2022-03-22,8.37209
2022-03-23,4.88372
2022-03-24,7.2093
2022-03-25,7.2093
2022-03-26,3.95348
2022-03-27,1.6279
2022-03-28,1.39534
2022-03-29,4.18604
2022-03-30,1.6279
2022-03-31,2.09302
2022-04-01,5.58139
2022-04-02,1.16279
2022-04-04,2.55813
2022-04-05,2.09302
2022-04-06,3.25581
2022-04-08,2.32558
2022-04-09,3.25581
2022-04-10,1.86046
2022-04-11,3.25581
2022-04-12,2.79069
2022-04-17,1.16279
2022-04-23,2.79069
2022-04-24,1.86046
2022-04-25,3.72093
2022-04-26,2.55813
2022-04-29,1.16279
2022-05-01,1.39534
2022-05-04,1.39534
2022-05-06,1.16279
2022-05-11,1.86046
2022-05-13,1.6279
2022-05-16,1.6279
2022-05-17,2.79069
2022-05-19,1.16279
2022-05-21,1.6279
2022-05-22,1.6279
2022-05-26,2.55813
2022-05-27,1.16279
2022-05-28,1.16279
2022-05-29,1.6279
2022-05-31,1.16279
2022-06-01,2.32558
2022-06-04,1.39534
2022-06-06,2.09302
2022-06-12,2.09302
2022-06-19,1.16279
2022-06-21,1.16279
2022-06-30,1.16279
2022-07-10,1.39534
2022-07-25,1.16279
2022-07-26,2.55813
2022-08-06,1.16279
2022-08-10,1.39534
2022-08-15,2.32558
2022-08-18,1.16279
2022-08-21,1.86046
2022-08-26,1.6279
2022-09-02,1.16279
2022-09-03,2.09302
2022-09-05,1.16279
2022-09-19,1.39534
2022-09-21,1.39534
2022-09-23,1.39534
2022-10-11,1.16279
2022-11-05,1.39534
2022-12-15,1.16279
2023-01-08,1.39534
2023-02-01,1.16279
2023-02-21,1.16279
2023-04-16,1.16279
2023-04-20,1.39534
2023-07-22,2.32558
2023-07-24,1.16279
2023-08-05,1.39534
2023-08-06,1.16279
2023-08-07,1.6279
2023-08-08,1.86046
2023-08-12,1.16279
2023-08-13,1.39534
2023-08-18,1.6279
2023-08-21,2.09302
2023-08-22,3.25581
2023-08-23,3.02325
2023-08-24,1.16279
2023-08-25,2.32558
2023-08-26,1.86046
2023-08-27,3.25581
2023-08-28,3.02325
2023-08-29,4.18604
2023-08-30,2.09302
2023-08-31,2.09302
2023-09-01,3.48837
2023-09-02,4.4186
2023-09-03,2.32558
2023-09-04,3.95348
2023-09-05,3.95348
2023-09-06,3.48837
2023-09-07,3.72093
2023-09-08,5.81395
2023-09-09,3.25581
2023-09-10,4.18604
2023-09-11,4.4186
2023-09-12,5.34883
2023-09-13,6.74418
2023-09-14,7.2093
2023-09-15,4.18604
2023-09-16,3.48837
2023-09-17,5.81395
2023-09-18,6.74418
2023-09-19,6.04651
2023-09-20,8.8372
2023-09-21,4.4186
2023-09-22,4.65116
2023-09-23,3.95348
2023-09-24,2.32558
2023-09-25,8.8372
2023-09-26,10.93023
2023-09-27,10.46511
2023-09-28,5.81395
