date,유화액자
2020-03-20,28.42809
2020-03-21,32.44147
2020-03-22,32.10702
2020-03-23,26.08695
2020-03-24,29.76588
2020-03-25,22.74247
2020-03-26,22.74247
2020-03-27,25.41806
2020-03-28,22.40802
2020-03-29,27.42474
2020-03-30,27.42474
2020-03-31,20.40133
2020-04-01,31.43812
2020-04-02,30.76923
2020-04-03,25.7525
2020-04-04,19.73244
2020-04-05,31.77257
2020-04-06,31.10367
2020-04-07,29.43143
2020-04-08,25.08361
2020-04-09,20.73578
2020-04-10,21.40468
2020-04-11,25.08361
2020-04-12,31.10367
2020-04-13,34.44816
2020-04-14,33.11036
2020-04-15,33.77926
2020-04-16,27.0903
2020-04-17,29.43143
2020-04-18,24.41471
2020-04-19,34.7826
2020-04-20,33.77926
2020-04-21,32.77591
2020-04-22,32.44147
2020-04-23,30.43478
2020-04-24,26.08695
2020-04-25,21.73913
2020-04-26,42.80936
2020-04-27,26.4214
2020-04-28,31.43812
2020-04-29,30.10033
2020-04-30,31.43812
2020-05-01,26.4214
2020-05-02,25.08361
2020-05-03,35.78595
2020-05-04,33.44481
2020-05-05,29.09698
2020-05-06,31.10367
2020-05-07,25.7525
2020-05-08,23.07692
2020-05-09,19.73244
2020-05-10,32.44147
2020-05-11,34.7826
2020-05-12,37.12374
2020-05-13,31.77257
2020-05-14,23.41137
2020-05-15,24.08026
2020-05-16,27.75919
2020-05-17,42.14046
2020-05-18,30.10033
2020-05-19,37.45819
2020-05-20,30.10033
2020-05-21,28.09364
2020-05-22,24.41471
2020-05-23,26.75585
2020-05-24,31.77257
2020-05-25,30.43478
2020-05-26,23.74581
2020-05-27,24.08026
2020-05-28,22.74247
2020-05-29,20.06688
2020-05-30,26.75585
2020-05-31,24.74916
2020-06-01,27.0903
2020-06-02,29.43143
2020-06-03,20.06688
2020-06-04,29.43143
2020-06-05,21.40468
2020-06-06,12.37458
2020-06-07,29.09698
2020-06-08,19.73244
2020-06-09,20.06688
2020-06-10,21.40468
2020-06-11,21.73913
2020-06-12,18.39464
2020-06-13,22.40802
2020-06-14,25.08361
2020-06-15,23.74581
2020-06-16,24.08026
2020-06-17,20.73578
2020-06-18,19.73244
2020-06-19,30.76923
2020-06-20,33.44481
2020-06-21,26.4214
2020-06-22,28.09364
2020-06-23,34.7826
2020-06-24,24.41471
2020-06-25,21.73913
2020-06-26,25.08361
2020-06-27,27.0903
2020-06-28,39.13043
2020-06-29,24.74916
2020-06-30,27.75919
2020-07-01,24.08026
2020-07-02,20.40133
2020-07-03,31.10367
2020-07-04,29.76588
2020-07-05,21.73913
2020-07-06,24.41471
2020-07-07,32.77591
2020-07-08,21.40468
2020-07-09,22.74247
2020-07-10,25.08361
2020-07-11,26.75585
2020-07-12,27.0903
2020-07-13,30.10033
2020-07-14,24.74916
2020-07-15,20.40133
2020-07-16,21.07023
2020-07-17,18.72909
2020-07-18,16.05351
2020-07-19,28.42809
2020-07-20,24.74916
2020-07-21,34.11371
2020-07-22,29.43143
2020-07-23,24.08026
2020-07-24,22.40802
2020-07-25,24.41471
2020-07-26,23.07692
2020-07-27,29.43143
2020-07-28,35.11705
2020-07-29,28.09364
2020-07-30,28.42809
2020-07-31,27.42474
2020-08-01,19.39799
2020-08-02,28.42809
2020-08-03,22.07357
2020-08-04,25.7525
2020-08-05,18.72909
2020-08-06,22.07357
2020-08-07,19.39799
2020-08-08,21.07023
2020-08-09,22.07357
2020-08-10,25.41806
2020-08-11,31.77257
2020-08-12,24.74916
2020-08-13,35.4515
2020-08-14,22.40802
2020-08-15,25.41806
2020-08-16,34.11371
2020-08-17,25.08361
2020-08-18,30.76923
2020-08-19,21.07023
2020-08-20,26.4214
2020-08-21,22.74247
2020-08-22,19.39799
2020-08-23,32.77591
2020-08-24,23.07692
2020-08-25,26.08695
2020-08-26,30.43478
2020-08-27,28.76254
2020-08-28,26.75585
2020-08-29,27.0903
2020-08-30,28.42809
2020-08-31,35.4515
2020-09-01,36.45484
2020-09-02,27.0903
2020-09-03,20.06688
2020-09-04,22.07357
2020-09-05,31.43812
2020-09-06,38.12709
2020-09-07,26.75585
2020-09-08,25.7525
2020-09-09,30.10033
2020-09-10,34.44816
2020-09-11,33.77926
2020-09-12,28.76254
2020-09-13,26.08695
2020-09-14,31.43812
2020-09-15,19.39799
2020-09-16,28.09364
2020-09-17,28.09364
2020-09-18,25.7525
2020-09-19,19.73244
2020-09-20,34.44816
2020-09-21,28.76254
2020-09-22,25.7525
2020-09-23,21.07023
2020-09-24,24.08026
2020-09-25,20.73578
2020-09-26,26.08695
2020-09-27,31.43812
2020-09-28,25.41806
2020-09-29,30.43478
2020-09-30,19.39799
2020-10-01,27.0903
2020-10-02,16.05351
2020-10-03,33.77926
2020-10-04,27.42474
2020-10-05,31.10367
2020-10-06,25.41806
2020-10-07,17.72575
2020-10-08,24.74916
2020-10-09,29.76588
2020-10-10,21.73913
2020-10-11,20.06688
2020-10-12,21.40468
