date,해외주식시간
2020-11-08,2.44318
2020-11-09,19.23295
2020-11-10,22.98295
2020-11-11,15.48295
2020-11-12,11.13636
2020-11-13,11.22159
2020-11-14,5.19886
2020-11-15,3.125
2020-11-16,15.36931
2020-11-17,19.85795
2020-11-18,14.20454
2020-11-19,13.29545
2020-11-20,11.76136
2020-11-21,5.6534
2020-11-22,3.09659
2020-11-23,16.5625
2020-11-24,22.64204
2020-11-25,21.5625
2020-11-26,23.63636
2020-11-27,21.02272
2020-11-28,9.17613
2020-11-29,5.85227
2020-11-30,22.13068
2020-12-01,23.29545
2020-12-02,24.48863
2020-12-03,20.25568
2020-12-04,20.79545
2020-12-05,8.29545
2020-12-06,6.33522
2020-12-07,20.3125
2020-12-08,26.22159
2020-12-09,26.42045
2020-12-10,27.64204
2020-12-11,23.18181
2020-12-12,8.83522
2020-12-13,5.42613
2020-12-14,19.65909
2020-12-15,17.78409
2020-12-16,16.10795
2020-12-17,15.71022
2020-12-18,16.44886
2020-12-19,11.25
2020-12-20,5.56818
2020-12-21,25.17045
2020-12-22,27.01704
2020-12-23,28.35227
2020-12-24,24.65909
2020-12-25,11.9034
2020-12-26,5.39772
2020-12-27,6.78977
2020-12-28,29.51704
2020-12-29,30.90909
2020-12-30,30.14204
2020-12-31,22.5
2021-01-01,12.47159
2021-01-02,6.5625
2021-01-03,8.7784
2021-01-04,55.42613
2021-01-05,51.70454
2021-01-06,41.64772
2021-01-07,47.5
2021-01-08,92.5284
2021-01-09,45.56818
2021-01-10,25.45454
2021-01-11,100.0
2021-01-12,72.69886
2021-01-13,64.11931
2021-01-14,56.5909
2021-01-15,51.2784
2021-01-16,25.11363
2021-01-17,14.48863
2021-01-18,66.42045
2021-01-19,63.80681
2021-01-20,49.43181
2021-01-21,56.2784
2021-01-22,44.0909
2021-01-23,27.69886
2021-01-24,14.28977
2021-01-25,59.77272
2021-01-26,62.5
2021-01-27,60.05681
2021-01-28,79.88636
2021-01-29,61.2784
2021-01-30,32.30113
