date,부동산상담
2020-03-20,28.23529
2020-03-21,27.05882
2020-03-22,18.82352
2020-03-23,45.29411
2020-03-24,49.41176
2020-03-25,34.70588
2020-03-26,42.35294
2020-03-27,33.52941
2020-03-28,24.11764
2020-03-29,8.23529
2020-03-30,35.88235
2020-03-31,32.35294
2020-04-01,37.64705
2020-04-02,32.94117
2020-04-03,44.11764
2020-04-04,18.23529
2020-04-05,18.82352
2020-04-06,40.58823
2020-04-07,35.29411
2020-04-08,48.82352
2020-04-09,45.88235
2020-04-10,30.0
2020-04-11,25.88235
2020-04-12,15.29411
2020-04-13,47.05882
2020-04-14,40.58823
2020-04-15,21.17647
2020-04-16,38.23529
2020-04-17,45.88235
2020-04-18,31.7647
2020-04-19,30.0
2020-04-20,26.47058
2020-04-21,45.88235
2020-04-22,49.41176
2020-04-23,38.82352
2020-04-24,30.58823
2020-04-25,28.82352
2020-04-26,25.88235
2020-04-27,45.29411
2020-04-28,46.47058
2020-04-29,38.82352
2020-04-30,23.52941
2020-05-01,28.82352
2020-05-02,14.11764
2020-05-03,17.05882
2020-05-04,45.29411
2020-05-05,37.64705
2020-05-06,45.29411
2020-05-07,35.29411
2020-05-08,32.35294
2020-05-09,21.17647
2020-05-10,24.70588
2020-05-11,42.35294
2020-05-12,42.35294
2020-05-13,42.94117
2020-05-14,43.52941
2020-05-15,35.29411
2020-05-16,27.64705
2020-05-17,33.52941
2020-05-18,52.35294
2020-05-19,52.35294
2020-05-20,50.58823
2020-05-21,41.17647
2020-05-22,45.88235
2020-05-23,29.41176
2020-05-24,42.35294
2020-05-25,64.11764
2020-05-26,58.82352
2020-05-27,52.35294
2020-05-28,44.11764
2020-05-29,47.05882
2020-05-30,29.41176
2020-05-31,18.23529
2020-06-01,57.05882
2020-06-02,48.82352
2020-06-03,41.7647
2020-06-04,47.64705
2020-06-05,38.82352
2020-06-06,35.29411
2020-06-07,27.64705
2020-06-08,56.47058
2020-06-09,57.05882
2020-06-10,45.29411
2020-06-11,54.70588
2020-06-12,51.7647
2020-06-13,34.11764
2020-06-14,37.05882
2020-06-15,67.64705
2020-06-16,59.41176
2020-06-17,65.29411
2020-06-18,64.70588
2020-06-19,50.58823
2020-06-20,23.52941
2020-06-21,40.58823
2020-06-22,78.23529
