date,배당주투자
2020-03-20,23.66071
2020-03-21,14.28571
2020-03-22,10.71428
2020-03-23,20.98214
2020-03-24,17.85714
2020-03-25,18.30357
2020-03-26,19.19642
2020-03-27,18.75
2020-03-28,16.07142
2020-03-29,19.19642
2020-03-30,13.83928
2020-03-31,20.98214
2020-04-01,16.51785
2020-04-02,12.94642
2020-04-03,13.83928
2020-04-04,15.17857
2020-04-05,19.19642
2020-04-06,21.42857
2020-04-07,27.23214
2020-04-08,18.75
2020-04-09,20.98214
2020-04-10,26.33928
2020-04-11,18.30357
2020-04-12,11.60714
2020-04-13,16.07142
2020-04-14,15.17857
2020-04-15,17.85714
2020-04-16,14.28571
2020-04-17,15.625
2020-04-18,14.28571
2020-04-19,14.73214
2020-04-20,16.07142
2020-04-21,24.55357
2020-04-22,16.96428
2020-04-23,17.85714
2020-04-24,13.39285
2020-04-25,13.83928
2020-04-26,20.08928
2020-04-27,22.76785
2020-04-28,17.41071
2020-04-29,25.44642
2020-04-30,15.625
2020-05-01,11.60714
2020-05-02,7.58928
2020-05-03,10.71428
2020-05-04,9.82142
2020-05-05,12.5
2020-05-06,8.92857
2020-05-07,9.82142
2020-05-08,9.375
2020-05-09,10.71428
2020-05-10,16.07142
2020-05-11,9.82142
2020-05-12,13.83928
2020-05-13,12.05357
2020-05-14,13.39285
2020-05-15,11.16071
2020-05-16,11.60714
2020-05-17,10.71428
2020-05-18,14.73214
2020-05-19,12.94642
2020-05-20,18.75
2020-05-21,14.28571
2020-05-22,18.30357
2020-05-23,12.5
2020-05-24,6.69642
2020-05-25,11.16071
2020-05-26,12.94642
2020-05-27,11.60714
2020-05-28,16.07142
2020-05-29,9.82142
2020-05-30,7.58928
2020-05-31,12.5
2020-06-01,14.73214
2020-06-02,16.07142
2020-06-03,15.625
2020-06-04,16.07142
2020-06-05,13.39285
2020-06-06,12.5
2020-06-07,10.71428
2020-06-08,11.60714
2020-06-09,13.39285
2020-06-10,14.73214
2020-06-11,10.71428
2020-06-12,13.83928
2020-06-13,18.30357
2020-06-14,17.41071
2020-06-15,13.83928
2020-06-16,14.28571
2020-06-17,12.05357
2020-06-18,16.96428
2020-06-19,11.60714
2020-06-20,10.26785
2020-06-21,8.92857
2020-06-22,12.94642
2020-06-23,24.10714
2020-06-24,14.28571
2020-06-25,12.94642
2020-06-26,18.30357
2020-06-27,7.58928
2020-06-28,13.83928
2020-06-29,20.98214
2020-06-30,11.16071
2020-07-01,10.71428
2020-07-02,8.92857
2020-07-03,20.53571
2020-07-04,17.85714
2020-07-05,13.39285
2020-07-06,12.05357
2020-07-07,19.19642
2020-07-08,17.41071
2020-07-09,16.96428
2020-07-10,13.39285
2020-07-11,11.16071
2020-07-12,11.16071
2020-07-13,9.375
2020-07-14,16.96428
2020-07-15,15.625
2020-07-16,14.28571
2020-07-17,15.17857
2020-07-18,9.375
2020-07-19,12.94642
2020-07-20,9.375
2020-07-21,8.48214
2020-07-22,12.05357
2020-07-23,13.83928
2020-07-24,8.92857
2020-07-25,10.26785
2020-07-26,16.96428
2020-07-27,16.07142
2020-07-28,16.07142
2020-07-29,19.64285
2020-07-30,11.16071
2020-07-31,16.96428
2020-08-01,14.73214
2020-08-02,13.83928
2020-08-03,12.5
2020-08-04,12.05357
2020-08-05,18.30357
2020-08-06,28.57142
2020-08-07,22.32142
2020-08-08,20.98214
2020-08-09,18.75
2020-08-10,24.10714
2020-08-11,20.53571
2020-08-12,20.53571
2020-08-13,15.625
2020-08-14,13.83928
2020-08-15,11.60714
2020-08-16,17.41071
2020-08-17,21.42857
2020-08-18,14.28571
2020-08-19,18.30357
2020-08-20,15.17857
2020-08-21,13.39285
2020-08-22,12.5
2020-08-23,22.76785
2020-08-24,29.01785
2020-08-25,20.98214
2020-08-26,26.33928
2020-08-27,27.67857
2020-08-28,17.41071
2020-08-29,14.73214
2020-08-30,22.32142
2020-08-31,15.17857
2020-09-01,22.76785
2020-09-02,20.53571
2020-09-03,20.98214
2020-09-04,22.76785
2020-09-05,24.55357
2020-09-06,24.10714
2020-09-07,32.14285
2020-09-08,24.55357
2020-09-09,28.125
2020-09-10,33.92857
2020-09-11,23.21428
2020-09-12,21.875
2020-09-13,24.10714
2020-09-14,24.10714
2020-09-15,22.76785
2020-09-16,26.78571
2020-09-17,15.625
2020-09-18,19.64285
2020-09-19,17.85714
2020-09-20,17.41071
2020-09-21,25.89285
2020-09-22,25.44642
