date,근저당권설정
2020-03-20,71.74887
2020-03-21,34.08071
2020-03-22,43.49775
2020-03-23,91.47982
2020-03-24,78.0269
2020-03-25,76.23318
2020-03-26,72.64573
2020-03-27,57.84753
2020-03-28,46.63677
2020-03-29,41.2556
2020-03-30,74.43946
2020-03-31,75.33632
2020-04-01,60.53811
2020-04-02,66.81614
2020-04-03,61.43497
2020-04-04,30.49327
2020-04-05,28.69955
2020-04-06,77.57847
2020-04-07,71.74887
2020-04-08,60.98654
2020-04-09,70.85201
2020-04-10,56.05381
2020-04-11,39.46188
2020-04-12,34.52914
2020-04-13,74.43946
2020-04-14,67.713
2020-04-15,43.49775
2020-04-16,82.06278
2020-04-17,67.26457
2020-04-18,52.46636
2020-04-19,42.60089
2020-04-20,91.92825
2020-04-21,90.58295
2020-04-22,74.43946
2020-04-23,74.88789
2020-04-24,80.26905
2020-04-25,41.2556
2020-04-26,40.80717
2020-04-27,75.33632
2020-04-28,70.85201
2020-04-29,56.05381
2020-04-30,43.04932
2020-05-01,55.15695
2020-05-02,27.80269
2020-05-03,34.08071
2020-05-04,78.47533
2020-05-05,47.0852
2020-05-06,73.5426
2020-05-07,55.15695
2020-05-08,56.50224
2020-05-09,41.2556
2020-05-10,34.97757
2020-05-11,61.43497
2020-05-12,63.67713
2020-05-13,53.36322
2020-05-14,51.12107
2020-05-15,56.50224
2020-05-16,39.46188
2020-05-17,30.9417
2020-05-18,70.85201
2020-05-19,76.23318
2020-05-20,62.33183
2020-05-21,50.67264
2020-05-22,59.64125
2020-05-23,39.91031
2020-05-24,26.00896
2020-05-25,82.06278
2020-05-26,89.68609
2020-05-27,76.23318
2020-05-28,65.02242
2020-05-29,61.8834
2020-05-30,50.67264
2020-05-31,40.80717
2020-06-01,63.22869
2020-06-02,79.37219
2020-06-03,72.64573
2020-06-04,71.74887
2020-06-05,47.98206
2020-06-06,35.87443
2020-06-07,32.73542
2020-06-08,74.43946
2020-06-09,75.33632
2020-06-10,79.37219
2020-06-11,82.06278
2020-06-12,69.50672
2020-06-13,43.04932
2020-06-14,25.56053
2020-06-15,60.98654
2020-06-16,62.33183
2020-06-17,73.99103
2020-06-18,63.22869
2020-06-19,58.74439
2020-06-20,36.32286
2020-06-21,28.25112
2020-06-22,73.99103
2020-06-23,66.36771
2020-06-24,68.16143
2020-06-25,70.85201
2020-06-26,64.57399
2020-06-27,35.426
2020-06-28,25.56053
2020-06-29,66.36771
2020-06-30,64.12556
2020-07-01,69.05829
2020-07-02,66.36771
2020-07-03,60.98654
2020-07-04,38.11659
2020-07-05,22.86995
2020-07-06,69.05829
2020-07-07,64.12556
2020-07-08,78.0269
2020-07-09,67.713
2020-07-10,61.8834
2020-07-11,40.35874
2020-07-12,36.32286
2020-07-13,81.61434
2020-07-14,86.54708
2020-07-15,86.99551
2020-07-16,65.47085
2020-07-17,81.16591
2020-07-18,36.32286
2020-07-19,40.80717
2020-07-20,74.43946
2020-07-21,56.95067
2020-07-22,77.13004
2020-07-23,54.26008
2020-07-24,65.47085
2020-07-25,42.60089
2020-07-26,31.39013
2020-07-27,76.23318
2020-07-28,71.30044
