date,리서치
2020-03-20,14.02826
2020-03-21,10.07067
2020-03-22,8.97526
2020-03-23,15.51236
2020-03-24,14.20494
2020-03-25,14.13427
2020-03-26,15.053
2020-03-27,16.00706
2020-03-28,58.30388
2020-03-29,100.0
2020-03-30,25.12367
2020-03-31,20.56537
2020-04-01,14.62897
2020-04-02,15.22968
2020-04-03,20.84805
2020-04-04,21.13074
2020-04-05,36.39575
2020-04-06,33.18021
2020-04-07,22.86219
2020-04-08,20.77738
2020-04-09,18.0212
2020-04-10,13.67491
2020-04-11,17.70318
2020-04-12,39.25795
2020-04-13,19.68197
2020-04-14,17.20848
2020-04-15,11.73144
2020-04-16,15.58303
2020-04-17,15.12367
2020-04-18,9.71731
2020-04-19,10.42402
2020-04-20,15.61837
2020-04-21,17.20848
2020-04-22,17.80918
2020-04-23,14.41696
2020-04-24,12.40282
2020-04-25,6.81978
2020-04-26,7.34982
2020-04-27,13.0742
2020-04-28,15.22968
2020-04-29,13.67491
2020-04-30,7.5265
2020-05-01,7.59717
2020-05-02,5.93639
2020-05-03,6.5371
2020-05-04,8.93992
2020-05-05,6.78445
2020-05-06,11.97879
2020-05-07,12.22614
2020-05-08,10.98939
2020-05-09,5.90106
2020-05-10,7.70318
2020-05-11,12.43816
2020-05-12,11.94346
2020-05-13,10.70671
2020-05-14,12.36749
2020-05-15,11.87279
2020-05-16,15.86572
2020-05-17,8.48056
2020-05-18,13.35689
2020-05-19,12.68551
2020-05-20,12.40282
2020-05-21,10.81272
2020-05-22,11.41342
2020-05-23,5.93639
2020-05-24,5.83038
2020-05-25,10.67137
2020-05-26,12.50883
2020-05-27,12.5795
2020-05-28,10.67137
2020-05-29,9.89399
2020-05-30,4.38162
2020-05-31,6.5371
2020-06-01,11.87279
2020-06-02,10.70671
2020-06-03,12.61484
2020-06-04,10.56537
2020-06-05,10.63604
2020-06-06,5.86572
2020-06-07,9.32862
2020-06-08,12.29681
2020-06-09,11.02473
2020-06-10,11.62544
