date,미수금
2020-11-08,12.02749
2020-11-09,40.13745
2020-11-10,42.06185
2020-11-11,36.70103
2020-11-12,44.87972
2020-11-13,34.36426
2020-11-14,12.09621
2020-11-15,10.17182
2020-11-16,43.36769
2020-11-17,44.87972
2020-11-18,41.09965
2020-11-19,42.74914
2020-11-20,36.83848
2020-11-21,12.7835
2020-11-22,10.58419
2020-11-23,41.71821
2020-11-24,43.98625
2020-11-25,45.56701
2020-11-26,47.83505
2020-11-27,45.77319
2020-11-28,16.1512
2020-11-29,13.53951
2020-11-30,49.4158
2020-12-01,51.20274
2020-12-02,50.03436
2020-12-03,42.13058
2020-12-04,45.22336
2020-12-05,16.49484
2020-12-06,15.39518
2020-12-07,45.22336
2020-12-08,51.8213
2020-12-09,57.93814
2020-12-10,57.73195
2020-12-11,46.87285
2020-12-12,12.23367
2020-12-13,11.8213
2020-12-14,49.55326
2020-12-15,49.34707
2020-12-16,50.8591
2020-12-17,51.89003
2020-12-18,43.23024
2020-12-19,13.95189
2020-12-20,12.16494
2020-12-21,47.28522
2020-12-22,54.91408
2020-12-23,48.38487
2020-12-24,40.34364
2020-12-25,12.71477
2020-12-26,11.47766
2020-12-27,13.60824
2020-12-28,53.60824
2020-12-29,55.05154
2020-12-30,56.01374
2020-12-31,30.99656
2021-01-01,11.8213
2021-01-02,13.67697
2021-01-03,14.57044
2021-01-04,65.70446
2021-01-05,63.57388
2021-01-06,69.14089
2021-01-07,70.51546
2021-01-08,78.96907
2021-01-09,21.85567
2021-01-10,17.73195
2021-01-11,86.39175
2021-01-12,86.94158
2021-01-13,100.0
2021-01-14,81.16838
2021-01-15,59.0378
2021-01-16,18.62542
2021-01-17,15.60137
2021-01-18,64.87972
2021-01-19,70.44673
2021-01-20,66.32302
2021-01-21,58.28178
2021-01-22,57.73195
2021-01-23,15.46391
2021-01-24,18.90034
2021-01-25,65.36082
2021-01-26,67.07903
2021-01-27,58.90034
2021-01-28,71.89003
2021-01-29,61.03092
2021-01-30,17.80068
2021-01-31,16.28865
2021-02-01,67.35395
2021-02-02,71.06529
2021-02-03,56.83848
2021-02-04,54.08934
2021-02-05,46.66666
2021-02-06,16.28865
2021-02-07,14.02061
2021-02-08,53.81443
2021-02-09,51.3402
2021-02-10,40.54982
2021-02-11,12.64604
2021-02-12,10.8591
2021-02-13,12.85223
2021-02-14,12.50859
2021-02-15,62.81786
2021-02-16,61.99312
2021-02-17,61.23711
2021-02-18,63.43642
2021-02-19,65.01718
2021-02-20,22.81786
2021-02-21,18.48797
2021-02-22,60.82474
2021-02-23,59.58762
2021-02-24,60.96219
2021-02-25,57.04467
2021-02-26,61.71821
2021-02-27,14.50171
2021-02-28,15.12027
2021-03-01,16.90721
2021-03-02,54.50171
2021-03-03,61.85567
2021-03-04,59.72508
2021-03-05,45.84192
2021-03-06,15.32646
2021-03-07,12.43986
2021-03-08,55.189
2021-03-09,54.2268
2021-03-10,57.1134
2021-03-11,58.5567
2021-03-12,50.72164
2021-03-13,15.53264
2021-03-14,15.46391
2021-03-15,58.35051
2021-03-16,56.08247
2021-03-17,57.31958
2021-03-18,51.3402
2021-03-19,43.98625
2021-03-20,15.94501
2021-03-21,15.80756
2021-03-22,55.6701
2021-03-23,70.58419
2021-03-24,61.44329
2021-03-25,51.95876
2021-03-26,50.92783
2021-03-27,16.6323
2021-03-28,18.0756
2021-03-29,47.9725
2021-03-30,52.92096
2021-03-31,54.7079
2021-04-01,47.69759
2021-04-02,46.59793
2021-04-03,17.1134
2021-04-04,18.21305
2021-04-05,50.24054
2021-04-06,50.72164
2021-04-07,52.3024
2021-04-08,48.9347
2021-04-09,44.05498
2021-04-10,18.69415
2021-04-11,18.83161
2021-04-12,48.38487
2021-04-13,47.35395
2021-04-14,49.82817
2021-04-15,49.14089
2021-04-16,47.0103
2021-04-17,19.0378
2021-04-18,15.73883
2021-04-19,54.57044
2021-04-20,54.84536
2021-04-21,49.27835
2021-04-22,49.07216
2021-04-23,46.46048
2021-04-24,16.35738
2021-04-25,15.12027
2021-04-26,51.3402
2021-04-27,52.3024
2021-04-28,41.71821
2021-04-29,50.79037
2021-04-30,47.83505
2021-05-01,14.29553
2021-05-02,10.72164
2021-05-03,38.83161
2021-05-04,43.29896
2021-05-05,15.87628
2021-05-06,48.65979
2021-05-07,40.96219
2021-05-08,11.40893
2021-05-09,11.27147
2021-05-10,47.69759
2021-05-11,48.4536
2021-05-12,47.83505
2021-05-13,50.03436
2021-05-14,46.32302
2021-05-15,11.3402
2021-05-16,13.40206
2021-05-17,52.85223
2021-05-18,44.74226
2021-05-19,16.70103
2021-05-20,43.36769
2021-05-21,43.23024
2021-05-22,12.98969
2021-05-23,10.51546
2021-05-24,43.43642
2021-05-25,39.65635
2021-05-26,42.26804
2021-05-27,44.46735
2021-05-28,36.6323
2021-05-29,11.75257
2021-05-30,13.12714
2021-05-31,46.11683
2021-06-01,45.56701
2021-06-02,43.36769
2021-06-03,43.98625
2021-06-04,38.83161
2021-06-05,15.32646
2021-06-06,12.43986
2021-06-07,41.23711
2021-06-08,41.71821
2021-06-09,43.64261
2021-06-10,42.26804
2021-06-11,38.41924
2021-06-12,13.19587
2021-06-13,12.7835
2021-06-14,37.52577
2021-06-15,37.04467
2021-06-16,37.86941
2021-06-17,31.61512
2021-06-18,30.79037
2021-06-19,10.10309
2021-06-20,7.21649
2021-06-21,33.60824
2021-06-22,35.6701
2021-06-23,36.49484
2021-06-24,37.1134
2021-06-25,33.88316
2021-06-26,10.92783
2021-06-27,9.14089
2021-06-28,34.57044
2021-06-29,31.75257
2021-06-30,35.53264
2021-07-01,38.28178
2021-07-02,31.40893
2021-07-03,9.48453
2021-07-04,10.03436
2021-07-05,35.87628
2021-07-06,35.87628
2021-07-07,36.6323
2021-07-08,35.05154
