date,자동차종합보험
2020-03-20,19.24629
2020-03-21,12.38223
2020-03-22,9.82503
2020-03-23,20.05383
2020-03-24,22.88021
2020-03-25,17.9004
2020-03-26,18.16958
2020-03-27,19.91924
2020-03-28,10.63257
2020-03-29,13.32436
2020-03-30,21.13055
2020-03-31,25.70659
2020-04-01,20.99596
2020-04-02,21.93808
2020-04-03,20.59219
2020-04-04,18.84253
2020-04-05,11.57469
2020-04-06,25.16823
2020-04-07,18.30417
2020-04-08,18.97711
2020-04-09,18.84253
2020-04-10,19.1117
2020-04-11,11.57469
2020-04-12,11.4401
2020-04-13,20.59219
2020-04-14,24.76446
2020-04-15,13.45895
2020-04-16,21.13055
2020-04-17,24.76446
2020-04-18,12.786
2020-04-19,13.86271
2020-04-20,22.88021
2020-04-21,21.39973
2020-04-22,25.70659
2020-04-23,21.13055
2020-04-24,16.15074
2020-04-25,11.17092
2020-04-26,12.92059
2020-04-27,21.80349
2020-04-28,20.99596
2020-04-29,18.70794
2020-04-30,15.20861
2020-05-01,15.47779
2020-05-02,12.24764
2020-05-03,12.24764
2020-05-04,29.34051
2020-05-05,19.24629
2020-05-06,21.53432
2020-05-07,24.36069
2020-05-08,20.99596
2020-05-09,14.26648
2020-05-10,12.786
2020-05-11,56.393
2020-05-12,46.29878
2020-05-13,31.89771
2020-05-14,27.05248
2020-05-15,24.36069
2020-05-16,15.47779
2020-05-17,16.5545
2020-05-18,29.4751
2020-05-19,22.61103
2020-05-20,28.39838
2020-05-21,34.72409
2020-05-22,25.572
2020-05-23,16.5545
2020-05-24,12.24764
2020-05-25,25.97577
2020-05-26,21.6689
2020-05-27,24.62987
2020-05-28,19.51547
2020-05-29,18.97711
2020-05-30,12.38223
2020-05-31,9.55585
2020-06-01,24.49528
2020-06-02,26.11036
2020-06-03,25.03364
2020-06-04,19.78465
2020-06-05,19.91924
2020-06-06,13.72812
2020-06-07,9.55585
2020-06-08,25.30282
2020-06-09,29.34051
2020-06-10,27.86002
2020-06-11,19.51547
2020-06-12,21.13055
2020-06-13,14.93943
2020-06-14,14.53566
2020-06-15,22.20726
2020-06-16,20.99596
2020-06-17,20.86137
2020-06-18,24.09152
2020-06-19,18.16958
2020-06-20,15.74697
2020-06-21,13.32436
2020-06-22,17.49663
2020-06-23,21.39973
2020-06-24,20.32301
2020-06-25,28.93674
2020-06-26,19.91924
2020-06-27,12.38223
2020-06-28,13.18977
2020-06-29,23.0148
2020-06-30,22.61103
2020-07-01,21.26514
2020-07-02,20.4576
2020-07-03,21.13055
2020-07-04,12.786
2020-07-05,10.76716
2020-07-06,24.09152
2020-07-07,20.59219
2020-07-08,19.91924
2020-07-09,23.68775
2020-07-10,19.1117
2020-07-11,12.786
2020-07-12,10.63257
2020-07-13,27.86002
2020-07-14,23.41857
2020-07-15,28.26379
2020-07-16,19.38088
2020-07-17,15.61238
2020-07-18,11.30551
2020-07-19,15.61238
2020-07-20,21.39973
2020-07-21,22.34185
2020-07-22,18.43876
2020-07-23,17.09286
2020-07-24,16.82368
2020-07-25,10.63257
2020-07-26,12.92059
2020-07-27,22.34185
2020-07-28,24.36069
2020-07-29,27.59084
2020-07-30,24.89905
2020-07-31,17.63122
2020-08-01,13.86271
2020-08-02,10.90174
2020-08-03,19.78465
2020-08-04,23.14939
2020-08-05,27.05248
2020-08-06,22.61103
2020-08-07,21.39973
2020-08-08,12.65141
2020-08-09,12.24764
2020-08-10,22.47644
2020-08-11,22.88021
2020-08-12,21.80349
2020-08-13,19.24629
2020-08-14,15.61238
2020-08-15,12.11305
2020-08-16,12.786
2020-08-17,15.07402
2020-08-18,24.09152
2020-08-19,24.36069
2020-08-20,19.38088
2020-08-21,15.74697
2020-08-22,12.786
2020-08-23,9.28667
2020-08-24,23.0148
2020-08-25,20.4576
2020-08-26,16.15074
