date,사업자등록증신청
2020-03-20,36.81856
2020-03-21,16.9293
2020-03-22,19.54855
2020-03-23,49.31856
2020-03-24,47.23168
2020-03-25,45.40034
2020-03-26,43.78194
2020-03-27,38.2879
2020-03-28,17.80238
2020-03-29,21.18824
2020-03-30,55.40885
2020-03-31,47.1678
2020-04-01,48.27512
2020-04-02,45.03833
2020-04-03,36.6908
2020-04-04,18.37734
2020-04-05,20.42163
2020-04-06,52.98126
2020-04-07,45.61328
2020-04-08,45.37904
2020-04-09,42.7172
2020-04-10,38.13884
2020-04-11,18.65417
2020-04-12,24.04173
2020-04-13,52.23594
2020-04-14,46.95485
2020-04-15,26.49063
2020-04-16,45.97529
2020-04-17,41.22657
2020-04-18,17.99403
2020-04-19,23.55195
2020-04-20,54.45059
2020-04-21,46.50766
2020-04-22,48.65843
2020-04-23,47.12521
2020-04-24,40.37478
2020-04-25,19.05877
2020-04-26,20.86882
2020-04-27,50.10647
2020-04-28,46.80579
2020-04-29,38.84156
2020-04-30,21.03918
2020-05-01,24.53151
2020-05-02,15.86456
2020-05-03,19.65502
2020-05-04,45.76235
2020-05-05,24.06303
2020-05-06,48.18994
2020-05-07,44.67632
2020-05-08,36.64821
2020-05-09,18.16439
2020-05-10,18.78194
2020-05-11,48.3603
2020-05-12,45.18739
2020-05-13,40.33219
2020-05-14,37.5
2020-05-15,32.06984
2020-05-16,15.16183
2020-05-17,19.97444
2020-05-18,51.49063
2020-05-19,44.10136
2020-05-20,42.63202
2020-05-21,40.80068
2020-05-22,36.17972
2020-05-23,16.0988
2020-05-24,20.86882
2020-05-25,57.11243
2020-05-26,51.10732
2020-05-27,45.91141
2020-05-28,40.52385
2020-05-29,36.2649
2020-05-30,17.14224
2020-05-31,20.76235
2020-06-01,54.66354
2020-06-02,45.10221
2020-06-03,46.99744
2020-06-04,42.88756
2020-06-05,33.30494
2020-06-06,15.50255
2020-06-07,18.67546
2020-06-08,49.87223
2020-06-09,45.76235
2020-06-10,44.22913
2020-06-11,40.82197
2020-06-12,34.77427
2020-06-13,15.52385
2020-06-14,19.7189
2020-06-15,52.59795
2020-06-16,45.10221
2020-06-17,41.54599
2020-06-18,39.28875
2020-06-19,34.71039
2020-06-20,15.16183
2020-06-21,18.69676
2020-06-22,52.59795
2020-06-23,44.61243
2020-06-24,44.65502
2020-06-25,41.46081
2020-06-26,33.47529
2020-06-27,16.88671
2020-06-28,19.05877
2020-06-29,52.0017
2020-06-30,49.93611
2020-07-01,52.19335
2020-07-02,48.27512
2020-07-03,42.52555
2020-07-04,19.91056
2020-07-05,25.17035
2020-07-06,66.82282
2020-07-07,56.70783
2020-07-08,55.87734
2020-07-09,53.15161
2020-07-10,46.42248
2020-07-11,20.33645
2020-07-12,23.53066
2020-07-13,67.22742
2020-07-14,56.23935
2020-07-15,57.36797
2020-07-16,52.57666
2020-07-17,45.67717
2020-07-18,19.84667
2020-07-19,26.55451
2020-07-20,70.25127
2020-07-21,61.94633
2020-07-22,59.43356
2020-07-23,54.38671
2020-07-24,45.35775
2020-07-25,21.08177
2020-07-26,24.04173
2020-07-27,67.78109
2020-07-28,58.75212
2020-07-29,57.06984
2020-07-30,50.53236
2020-07-31,45.82623
2020-08-01,19.61243
2020-08-02,22.80664
2020-08-03,59.6465
2020-08-04,57.04855
2020-08-05,52.57666
2020-08-06,50.53236
2020-08-07,42.07836
2020-08-08,18.27086
2020-08-09,22.29557
2020-08-10,63.37308
2020-08-11,55.77086
2020-08-12,53.2155
2020-08-13,51.25638
2020-08-14,39.54429
2020-08-15,17.99403
2020-08-16,18.03662
2020-08-17,33.15587
2020-08-18,58.32623
2020-08-19,54.91908
2020-08-20,54.04599
2020-08-21,45.44293
2020-08-22,20.82623
2020-08-23,24.02044
2020-08-24,63.47955
2020-08-25,55.30238
2020-08-26,52.74701
2020-08-27,57.6235
2020-08-28,47.52981
2020-08-29,18.86712
2020-08-30,24.53151
2020-08-31,67.65332
2020-09-01,59.6465
2020-09-02,60.60477
2020-09-03,55.6431
2020-09-04,47.5511
2020-09-05,18.97359
2020-09-06,24.40374
2020-09-07,64.5017
2020-09-08,60.60477
2020-09-09,55.06814
2020-09-10,53.02385
2020-09-11,48.01959
2020-09-12,22.1465
2020-09-13,24.21209
2020-09-14,62.90459
2020-09-15,58.07069
2020-09-16,57.19761
2020-09-17,53.04514
2020-09-18,42.48296
2020-09-19,21.10306
2020-09-20,25.19165
2020-09-21,64.35264
2020-09-22,57.87904
2020-09-23,58.8373
2020-09-24,65.20442
2020-09-25,44.12265
2020-09-26,18.24957
2020-09-27,17.29131
2020-09-28,46.84838
2020-09-29,34.34838
2020-09-30,12.43611
2020-10-01,9.47614
2020-10-02,10.96678
2020-10-03,12.79812
2020-10-04,22.27427
2020-10-05,76.34156
2020-10-06,64.77853
2020-10-07,63.64991
2020-10-08,50.31942
2020-10-09,21.65672
2020-10-10,18.50511
2020-10-11,26.29897
2020-10-12,71.61413
2020-10-13,61.20102
2020-10-14,54.89778
2020-10-15,52.95996
2020-10-16,47.23168
2020-10-17,20.08091
2020-10-18,25.87308
2020-10-19,66.67376
2020-10-20,62.54258
2020-10-21,65.6942
2020-10-22,67.82367
2020-10-23,51.89522
2020-10-24,20.5494
2020-10-25,26.63969
2020-10-26,71.52896
2020-10-27,65.35349
2020-10-28,55.32367
2020-10-29,57.06984
2020-10-30,49.12691
2020-10-31,20.91141
2020-11-01,27.87478
2020-11-02,70.63458
2020-11-03,61.2649
2020-11-04,56.45229
2020-11-05,51.49063
2020-11-06,45.48551
2020-11-07,18.86712
2020-11-08,24.9787
2020-11-09,63.01107
2020-11-10,56.64395
2020-11-11,49.51022
2020-11-12,54.64224
2020-11-13,48.16865
2020-11-14,20.67717
2020-11-15,25.66013
2020-11-16,64.5017
2020-11-17,57.43185
2020-11-18,56.34582
2020-11-19,51.76746
2020-11-20,44.59114
2020-11-21,20.22998
2020-11-22,28.06643
2020-11-23,65.97103
2020-11-24,58.96507
2020-11-25,57.43185
2020-11-26,57.13373
2020-11-27,48.50936
2020-11-28,22.04003
2020-11-29,25.89437
2020-11-30,67.58943
2020-12-01,63.94804
2020-12-02,58.17717
2020-12-03,56.75042
2020-12-04,47.99829
2020-12-05,21.06047
2020-12-06,26.1925
2020-12-07,67.75979
2020-12-08,62.69165
2020-12-09,60.54088
2020-12-10,59.09284
2020-12-11,47.91311
2020-12-12,23.12606
2020-12-13,25.70272
2020-12-14,65.41737
2020-12-15,61.45655
2020-12-16,58.53918
2020-12-17,53.06643
2020-12-18,46.65672
2020-12-19,22.06132
2020-12-20,26.25638
2020-12-21,66.80153
2020-12-22,59.39097
2020-12-23,60.22146
2020-12-24,44.3356
2020-12-25,21.95485
2020-12-26,23.3603
2020-12-27,35.28534
2020-12-28,78.66269
2020-12-29,72.63628
2020-12-30,61.96763
2020-12-31,47.1678
2021-01-01,25.19165
2021-01-02,31.431
2021-01-03,42.05706
2021-01-04,100.0
2021-01-05,80.89863
2021-01-06,77.59795
2021-01-07,66.1201
2021-01-08,60.02981
2021-01-09,28.40715
2021-01-10,37.8833
2021-01-11,97.18909
2021-01-12,70.10221
2021-01-13,65.03407
2021-01-14,69.67632
2021-01-15,62.18057
2021-01-16,28.40715
2021-01-17,32.28279
2021-01-18,80.79216
2021-01-19,73.27512
2021-01-20,69.39948
2021-01-21,64.97018
2021-01-22,58.87989
2021-01-23,27.34241
2021-01-24,33.00681
2021-01-25,84.49744
2021-01-26,74.91482
2021-01-27,72.50851
2021-01-28,66.69505
2021-01-29,61.60562
2021-01-30,26.29897
2021-01-31,33.79471
2021-02-01,87.26575
2021-02-02,75.14906
2021-02-03,72.06132
2021-02-04,66.0988
2021-02-05,55.74957
2021-02-06,25.93696
2021-02-07,29.70613
2021-02-08,74.80834
2021-02-09,63.13884
2021-02-10,43.35604
2021-02-11,18.86712
2021-02-12,17.63202
2021-02-13,19.20783
2021-02-14,31.66524
2021-02-15,89.18228
2021-02-16,73.93526
2021-02-17,69.67632
2021-02-18,68.07921
2021-02-19,60.00851
2021-02-20,28.93952
2021-02-21,32.83645
2021-02-22,80.89863
2021-02-23,74.85093
2021-02-24,67.03577
2021-02-25,68.5477
2021-02-26,53.27938
2021-02-27,25.06388
2021-02-28,23.99914
2021-03-01,42.22742
2021-03-02,95.42163
2021-03-03,78.06643
