date,항셍지수
2020-03-20,3.84243
2020-03-21,1.32688
2020-03-22,0.88458
2020-03-23,4.22944
2020-03-24,3.78714
2020-03-25,3.16516
2020-03-26,3.73185
2020-03-27,2.14236
2020-03-28,0.58051
2020-03-29,0.44229
2020-03-30,3.55217
2020-03-31,1.68624
2020-04-01,2.17
2020-04-02,1.64478
2020-04-03,1.74153
2020-04-04,0.26261
2020-04-05,0.1935
2020-04-06,1.81064
2020-04-07,1.78299
2020-04-08,1.27159
2020-04-09,1.36834
2020-04-10,1.45127
2020-04-11,0.26261
2020-04-12,0.12439
2020-04-13,1.83828
2020-04-14,1.42363
2020-04-15,1.06427
2020-04-16,1.39599
2020-04-17,1.92121
2020-04-18,0.48375
2020-04-19,0.26261
2020-04-20,1.35452
2020-04-21,1.52038
2020-04-22,1.28541
2020-04-23,1.32688
2020-04-24,0.92605
2020-04-25,0.17968
2020-04-26,0.08293
2020-04-27,1.18866
2020-04-28,1.50656
2020-04-29,1.1472
2020-04-30,0.52522
2020-05-01,0.46993
2020-05-02,0.22114
2020-05-03,0.09675
2020-05-04,2.94402
2020-05-05,1.1472
2020-05-06,1.42363
2020-05-07,1.05044
2020-05-08,0.88458
2020-05-09,0.13821
2020-05-10,0.17968
2020-05-11,1.23013
2020-05-12,1.28541
2020-05-13,0.99516
2020-05-14,0.95369
2020-05-15,1.2163
2020-05-16,0.1935
2020-05-17,0.17968
2020-05-18,1.27159
2020-05-19,1.32688
2020-05-20,1.0228
2020-05-21,1.18866
2020-05-22,5.87422
2020-05-23,1.56185
2020-05-24,1.28541
2020-05-25,4.7823
2020-05-26,2.00414
2020-05-27,2.40497
2020-05-28,5.1002
2020-05-29,3.40013
2020-05-30,1.09191
2020-05-31,0.55286
2020-06-01,3.38631
2020-06-02,2.08707
2020-06-03,2.18382
2020-06-04,2.26675
2020-06-05,1.61713
2020-06-06,0.35936
2020-06-07,0.387
2020-06-08,1.17484
2020-06-09,1.92121
2020-06-10,1.39599
2020-06-11,1.60331
2020-06-12,2.00414
2020-06-13,0.387
2020-06-14,0.20732
2020-06-15,1.82446
2020-06-16,1.50656
2020-06-17,1.1472
2020-06-18,1.16102
2020-06-19,1.24395
2020-06-20,0.23496
2020-06-21,0.15203
2020-06-22,1.45127
2020-06-23,1.29923
2020-06-24,1.50656
2020-06-25,1.00898
2020-06-26,1.20248
