date,SOLETF
2021-01-02,0.85616
2021-01-06,0.85616
2021-01-26,1.36986
2021-08-27,0.85616
2021-08-30,1.02739
2021-08-31,0.85616
2021-09-01,1.02739
2021-09-02,0.85616
2021-09-03,1.36986
2021-09-08,1.19863
2021-09-09,9.9315
2021-09-10,7.53424
2021-09-11,4.28082
2021-09-12,3.08219
2021-09-13,4.28082
2021-09-14,14.55479
2021-09-15,7.02054
2021-09-16,5.47945
2021-09-17,5.13698
2021-09-19,1.02739
2021-09-20,2.56849
2021-09-21,1.88356
2021-09-22,2.05479
2021-09-23,5.82191
2021-09-24,1.88356
2021-09-25,3.93835
2021-09-26,3.08219
2021-09-27,16.43835
2021-09-28,13.69863
2021-09-29,9.58904
2021-09-30,12.84246
2021-10-01,5.82191
2021-10-02,4.28082
2021-10-03,2.73972
2021-10-04,2.73972
2021-10-05,5.13698
2021-10-06,5.30821
2021-10-07,4.79452
2021-10-08,3.08219
2021-10-09,1.19863
2021-10-11,0.85616
2021-10-12,1.71232
2021-10-13,3.42465
2021-10-14,1.88356
2021-10-15,1.88356
2021-10-16,1.36986
2021-10-17,1.88356
2021-10-18,2.39726
2021-10-19,3.08219
2021-10-20,3.25342
2021-10-21,2.05479
2021-10-22,1.02739
2021-10-23,1.36986
2021-10-24,1.71232
2021-10-25,1.71232
2021-10-26,2.05479
2021-10-27,3.08219
2021-10-28,1.88356
2021-10-29,3.59589
2021-10-30,1.54109
2021-11-01,1.88356
2021-11-02,1.71232
2021-11-03,1.88356
2021-11-04,4.10958
2021-11-05,1.19863
2021-11-06,1.02739
2021-11-08,3.76712
2021-11-09,2.39726
2021-11-10,0.85616
2021-11-12,1.36986
2021-11-13,0.85616
2021-11-15,1.19863
2021-11-16,1.88356
2021-11-17,3.93835
2021-11-18,1.36986
2021-11-19,2.73972
2021-11-21,0.85616
2021-11-22,1.36986
2021-11-23,2.22602
2021-11-24,1.88356
2021-11-25,2.73972
2021-11-26,2.05479
2021-11-27,0.85616
2021-11-29,4.28082
2021-11-30,5.65068
2021-12-01,4.10958
2021-12-02,1.88356
2021-12-03,2.73972
2021-12-04,1.36986
2021-12-06,3.93835
2021-12-07,3.08219
2021-12-08,6.33561
2021-12-09,7.36301
2021-12-10,3.76712
2021-12-11,10.78767
2021-12-12,15.75342
2021-12-13,10.10273
2021-12-14,5.30821
2021-12-15,4.10958
2021-12-16,3.25342
2021-12-17,10.4452
2021-12-18,5.47945
2021-12-19,2.56849
2021-12-20,10.4452
2021-12-21,5.65068
2021-12-22,6.84931
2021-12-23,5.30821
2021-12-24,3.25342
2021-12-26,1.36986
2021-12-27,3.25342
2021-12-28,4.10958
2021-12-29,3.59589
2021-12-30,1.88356
2021-12-31,1.36986
2022-01-01,1.02739
2022-01-03,3.25342
2022-01-04,1.36986
2022-01-05,4.28082
2022-01-06,3.59589
2022-01-07,4.45205
2022-01-08,1.02739
2022-01-10,6.33561
2022-01-11,3.42465
2022-01-12,4.96575
2022-01-13,5.82191
2022-01-14,4.28082
2022-01-16,7.36301
2022-01-17,7.36301
2022-01-18,3.76712
2022-01-19,2.56849
2022-01-20,2.73972
2022-01-21,2.05479
2022-01-22,2.22602
