date,금리비교
2020-03-20,11.0352
2020-03-21,4.67682
2020-03-22,4.09879
2020-03-23,11.08775
2020-03-24,10.93011
2020-03-25,11.1403
2020-03-26,10.40462
2020-03-27,11.87598
2020-03-28,4.09879
2020-03-29,4.93956
2020-03-30,12.24382
2020-03-31,11.35049
2020-04-01,11.71833
2020-04-02,10.87756
2020-04-03,9.4062
2020-04-04,3.83604
2020-04-05,3.94114
2020-04-06,10.19442
2020-04-07,9.72149
2020-04-08,9.77404
2020-04-09,9.66894
2020-04-10,9.03836
2020-04-11,3.88859
2020-04-12,4.62427
2020-04-13,10.56227
2020-04-14,9.03836
2020-04-15,5.14976
2020-04-16,9.72149
2020-04-17,9.45874
2020-04-18,3.41565
2020-04-19,4.09879
2020-04-20,10.77246
2020-04-21,11.19285
2020-04-22,10.71991
2020-04-23,9.77404
2020-04-24,8.77561
2020-04-25,5.09721
2020-04-26,4.20388
2020-04-27,10.93011
2020-04-28,10.98265
2020-04-29,9.61639
2020-04-30,3.4682
2020-05-01,4.51918
2020-05-02,3.04781
2020-05-03,4.88702
2020-05-04,9.4062
2020-05-05,5.46505
2020-05-06,9.196
2020-05-07,9.196
2020-05-08,9.56384
2020-05-09,3.83604
2020-05-10,4.04624
2020-05-11,10.45717
2020-05-12,8.98581
2020-05-13,9.0909
2020-05-14,8.30267
2020-05-15,9.35365
2020-05-16,3.6784
2020-05-17,5.3074
2020-05-18,10.93011
2020-05-19,9.56384
2020-05-20,9.77404
2020-05-21,9.72149
2020-05-22,7.82974
2020-05-23,3.10036
2020-05-24,3.5733
2020-05-25,11.82343
2020-05-26,9.35365
2020-05-27,8.40777
2020-05-28,9.14345
2020-05-29,10.19442
2020-05-30,3.94114
2020-05-31,3.83604
2020-06-01,11.1403
2020-06-02,9.4062
2020-06-03,10.45717
2020-06-04,7.3568
2020-06-05,7.51445
2020-06-06,2.89017
2020-06-07,2.89017
2020-06-08,9.66894
2020-06-09,9.24855
2020-06-10,8.93326
2020-06-11,9.24855
2020-06-12,8.09248
2020-06-13,3.73095
2020-06-14,3.6784
2020-06-15,10.08933
2020-06-16,8.98581
2020-06-17,8.51287
2020-06-18,7.61954
2020-06-19,7.4619
2020-06-20,2.73252
2020-06-21,3.6784
2020-06-22,8.61797
2020-06-23,7.67209
2020-06-24,8.03993
2020-06-25,9.14345
2020-06-26,8.14503
2020-06-27,3.62585
2020-06-28,3.41565
2020-06-29,8.72306
2020-06-30,8.40777
2020-07-01,8.82816
2020-07-02,7.51445
2020-07-03,6.93641
2020-07-04,3.10036
2020-07-05,3.6784
2020-07-06,9.4062
2020-07-07,8.67052
2020-07-08,8.03993
2020-07-09,7.77719
2020-07-10,6.46347
2020-07-11,2.83762
2020-07-12,3.20546
2020-07-13,7.67209
2020-07-14,8.61797
2020-07-15,8.09248
2020-07-16,8.67052
2020-07-17,7.09406
2020-07-18,2.31213
2020-07-19,2.73252
2020-07-20,8.67052
2020-07-21,8.61797
2020-07-22,6.72622
2020-07-23,7.40935
2020-07-24,6.46347
2020-07-25,2.89017
2020-07-26,3.04781
2020-07-27,8.98581
2020-07-28,7.40935
2020-07-29,8.30267
2020-07-30,7.67209
2020-07-31,8.40777
2020-08-01,3.31056
2020-08-02,3.04781
2020-08-03,9.0909
2020-08-04,9.56384
2020-08-05,8.40777
2020-08-06,7.77719
2020-08-07,6.67367
2020-08-08,3.04781
2020-08-09,4.30898
2020-08-10,9.98423
2020-08-11,8.14503
2020-08-12,8.25013
2020-08-13,7.77719
2020-08-14,8.03993
2020-08-15,3.5733
2020-08-16,2.89017
2020-08-17,4.30898
2020-08-18,9.24855
2020-08-19,8.72306
2020-08-20,9.0909
2020-08-21,6.35838
2020-08-22,3.52075
2020-08-23,3.6784
2020-08-24,8.56542
2020-08-25,9.51129
2020-08-26,8.67052
2020-08-27,8.25013
2020-08-28,7.61954
2020-08-29,3.73095
2020-08-30,3.99369
2020-08-31,7.30425
2020-09-01,8.77561
2020-09-02,7.56699
2020-09-03,6.09563
2020-09-04,8.40777
2020-09-05,2.99527
2020-09-06,4.04624
2020-09-07,8.67052
2020-09-08,8.03993
2020-09-09,7.67209
2020-09-10,6.77877
2020-09-11,7.67209
2020-09-12,3.10036
2020-09-13,3.62585
2020-09-14,9.35365
2020-09-15,6.93641
2020-09-16,9.14345
2020-09-17,8.51287
2020-09-18,6.46347
2020-09-19,2.94272
2020-09-20,3.83604
2020-09-21,8.61797
2020-09-22,7.2517
2020-09-23,7.19915
2020-09-24,7.30425
2020-09-25,6.72622
2020-09-26,2.41723
2020-09-27,3.36311
2020-09-28,7.40935
2020-09-29,6.51602
2020-09-30,1.89174
2020-10-01,2.10194
2020-10-02,3.25801
2020-10-03,2.89017
2020-10-04,3.94114
2020-10-05,9.98423
2020-10-06,7.67209
2020-10-07,7.61954
2020-10-08,7.30425
2020-10-09,2.46978
2020-10-10,2.94272
2020-10-11,3.99369
2020-10-12,9.14345
2020-10-13,8.14503
2020-10-14,8.19758
2020-10-15,7.61954
2020-10-16,6.09563
2020-10-17,1.99684
2020-10-18,2.78507
2020-10-19,8.19758
2020-10-20,7.72464
2020-10-21,6.46347
2020-10-22,5.5176
2020-10-23,7.09406
2020-10-24,3.25801
2020-10-25,3.10036
2020-10-26,8.82816
2020-10-27,6.46347
2020-10-28,6.88386
2020-10-29,6.62112
2020-10-30,4.36153
2020-10-31,2.41723
2020-11-01,2.46978
2020-11-02,8.30267
2020-11-03,6.35838
2020-11-04,6.30583
2020-11-05,6.35838
2020-11-06,6.41093
2020-11-07,3.10036
2020-11-08,2.25959
2020-11-09,7.61954
2020-11-10,6.83131
2020-11-11,6.20073
