date,상속포기신고서
2020-03-20,48.5955
2020-03-21,19.10112
2020-03-22,38.48314
2020-03-23,67.97752
2020-03-24,65.44943
2020-03-25,73.5955
2020-03-26,64.88764
2020-03-27,50.28089
2020-03-28,28.08988
2020-03-29,25.56179
2020-03-30,67.13483
2020-03-31,69.66292
2020-04-01,60.67415
2020-04-02,60.39325
2020-04-03,56.46067
2020-04-04,27.52808
2020-04-05,28.93258
2020-04-06,60.11235
2020-04-07,62.35955
2020-04-08,58.70786
2020-04-09,59.55056
2020-04-10,38.76404
2020-04-11,25.56179
2020-04-12,31.17977
2020-04-13,54.21348
2020-04-14,45.22471
2020-04-15,20.78651
2020-04-16,44.66292
2020-04-17,42.41573
2020-04-18,33.42696
2020-04-19,28.37078
2020-04-20,59.83146
2020-04-21,56.17977
2020-04-22,54.77528
2020-04-23,55.89887
2020-04-24,42.69662
2020-04-25,23.3146
2020-04-26,28.93258
2020-04-27,57.30337
2020-04-28,55.05617
2020-04-29,45.78651
2020-04-30,23.8764
2020-05-01,35.95505
2020-05-02,24.7191
2020-05-03,33.70786
2020-05-04,66.57303
2020-05-05,40.44943
2020-05-06,67.69662
2020-05-07,65.73033
2020-05-08,54.49438
2020-05-09,32.30337
2020-05-10,32.02247
2020-05-11,66.57303
2020-05-12,67.69662
2020-05-13,52.80898
2020-05-14,55.05617
2020-05-15,51.68539
2020-05-16,32.30337
2020-05-17,26.96629
2020-05-18,71.62921
2020-05-19,61.51685
2020-05-20,58.14606
2020-05-21,56.46067
2020-05-22,46.34831
2020-05-23,23.3146
2020-05-24,26.40449
2020-05-25,61.51685
2020-05-26,51.12359
2020-05-27,51.12359
2020-05-28,49.7191
2020-05-29,44.10112
2020-05-30,24.1573
2020-05-31,24.4382
2020-06-01,57.02247
2020-06-02,47.19101
2020-06-03,46.62921
2020-06-04,42.69662
2020-06-05,38.48314
2020-06-06,17.97752
2020-06-07,24.7191
2020-06-08,58.14606
2020-06-09,50.0
2020-06-10,46.06741
2020-06-11,51.96629
2020-06-12,50.84269
2020-06-13,19.66292
2020-06-14,21.62921
2020-06-15,51.40449
2020-06-16,45.22471
2020-06-17,42.13483
2020-06-18,51.40449
2020-06-19,44.94382
2020-06-20,25.0
2020-06-21,20.22471
2020-06-22,49.7191
2020-06-23,64.32584
2020-06-24,41.85393
2020-06-25,48.5955
2020-06-26,55.33707
2020-06-27,28.93258
2020-06-28,28.65168
2020-06-29,64.04494
2020-06-30,45.78651
2020-07-01,41.01123
2020-07-02,51.12359
2020-07-03,46.06741
2020-07-04,26.68539
2020-07-05,29.49438
2020-07-06,54.21348
2020-07-07,53.93258
2020-07-08,48.8764
2020-07-09,56.46067
2020-07-10,46.91011
2020-07-11,19.38202
2020-07-12,21.91011
2020-07-13,56.74157
2020-07-14,59.55056
2020-07-15,60.39325
2020-07-16,57.30337
2020-07-17,54.49438
2020-07-18,34.55056
2020-07-19,35.11235
2020-07-20,55.61797
2020-07-21,42.69662
2020-07-22,50.56179
2020-07-23,48.8764
2020-07-24,48.3146
2020-07-25,29.49438
2020-07-26,32.02247
2020-07-27,57.58426
2020-07-28,54.77528
2020-07-29,52.80898
2020-07-30,56.46067
2020-07-31,51.96629
2020-08-01,36.23595
2020-08-02,27.80898
2020-08-03,60.95505
2020-08-04,60.67415
2020-08-05,57.02247
