date,이쁜그림
2020-11-07,50.6024
2020-11-08,58.43373
2020-11-09,51.80722
2020-11-10,62.04819
2020-11-11,46.38554
2020-11-12,56.02409
2020-11-13,62.6506
2020-11-14,63.85542
2020-11-15,50.0
2020-11-16,63.85542
2020-11-17,58.43373
2020-11-18,61.44578
2020-11-19,73.49397
2020-11-20,61.44578
2020-11-21,70.48192
2020-11-22,53.01204
2020-11-23,65.06024
2020-11-24,67.46987
2020-11-25,84.33734
2020-11-26,65.06024
2020-11-27,56.6265
2020-11-28,56.6265
2020-11-29,42.77108
2020-11-30,60.24096
2020-12-01,62.04819
2020-12-02,59.63855
2020-12-03,67.46987
2020-12-04,57.22891
2020-12-05,55.42168
2020-12-06,67.46987
2020-12-07,72.89156
2020-12-08,71.08433
2020-12-09,70.48192
2020-12-10,82.53012
2020-12-11,81.92771
2020-12-12,69.87951
2020-12-13,72.89156
2020-12-14,61.44578
2020-12-15,56.02409
2020-12-16,68.67469
2020-12-17,77.10843
2020-12-18,52.40963
2020-12-19,63.85542
2020-12-20,56.6265
2020-12-21,65.06024
2020-12-22,65.66265
2020-12-23,63.25301
2020-12-24,70.48192
2020-12-25,66.86746
2020-12-26,70.48192
2020-12-27,84.93975
2020-12-28,72.28915
2020-12-29,100.0
2020-12-30,72.89156
2020-12-31,87.34939
2021-01-01,76.50602
2021-01-02,78.91566
2021-01-03,87.34939
2021-01-04,72.89156
2021-01-05,68.67469
2021-01-06,74.09638
2021-01-07,75.90361
2021-01-08,71.08433
2021-01-09,61.44578
2021-01-10,75.3012
2021-01-11,77.10843
2021-01-12,66.26506
2021-01-13,75.90361
2021-01-14,86.14457
2021-01-15,79.51807
2021-01-16,58.43373
2021-01-17,60.84337
2021-01-18,67.46987
2021-01-19,60.84337
2021-01-20,63.85542
2021-01-21,75.90361
2021-01-22,69.2771
2021-01-23,63.85542
2021-01-24,79.51807
2021-01-25,60.84337
2021-01-26,80.12048
2021-01-27,65.66265
2021-01-28,68.07228
2021-01-29,62.04819
2021-01-30,67.46987
2021-01-31,65.06024
2021-02-01,63.85542
2021-02-02,65.66265
2021-02-03,65.66265
2021-02-04,81.3253
2021-02-05,63.85542
2021-02-06,75.90361
2021-02-07,70.48192
2021-02-08,62.04819
2021-02-09,65.06024
2021-02-10,49.39759
2021-02-11,51.80722
2021-02-12,54.81927
2021-02-13,48.79518
2021-02-14,60.84337
2021-02-15,58.43373
2021-02-16,64.45783
2021-02-17,60.84337
2021-02-18,81.92771
2021-02-19,66.86746
2021-02-20,55.42168
2021-02-21,77.71084
2021-02-22,54.81927
2021-02-23,63.25301
2021-02-24,53.01204
2021-02-25,83.73493
2021-02-26,65.06024
2021-02-27,74.09638
2021-02-28,63.85542
2021-03-01,68.07228
2021-03-02,54.21686
2021-03-03,49.39759
2021-03-04,57.83132
2021-03-05,59.63855
2021-03-06,41.56626
2021-03-07,65.06024
2021-03-08,63.85542
2021-03-09,55.42168
2021-03-10,53.01204
2021-03-11,60.84337
2021-03-12,71.08433
2021-03-13,48.79518
2021-03-14,45.78313
2021-03-15,46.98795
2021-03-16,74.09638
2021-03-17,76.50602
2021-03-18,62.6506
2021-03-19,57.22891
2021-03-20,52.40963
2021-03-21,46.98795
2021-03-22,46.98795
2021-03-23,61.44578
2021-03-24,53.01204
2021-03-25,49.39759
2021-03-26,54.21686
2021-03-27,62.6506
2021-03-28,62.6506
2021-03-29,53.01204
2021-03-30,54.81927
2021-03-31,40.96385
2021-04-01,55.42168
2021-04-02,42.77108
2021-04-03,65.66265
2021-04-04,58.43373
2021-04-05,49.39759
2021-04-06,44.57831
2021-04-07,49.39759
2021-04-08,58.43373
2021-04-09,54.81927
2021-04-10,54.21686
2021-04-11,46.98795
2021-04-12,65.66265
2021-04-13,57.83132
2021-04-14,58.43373
2021-04-15,46.38554
2021-04-16,55.42168
2021-04-17,53.01204
2021-04-18,45.78313
2021-04-19,53.01204
2021-04-20,55.42168
2021-04-21,60.24096
2021-04-22,56.6265
2021-04-23,55.42168
2021-04-24,40.36144
2021-04-25,42.16867
2021-04-26,53.61445
2021-04-27,55.42168
2021-04-28,54.81927
2021-04-29,53.01204
2021-04-30,47.59036
2021-05-01,48.79518
2021-05-02,41.56626
2021-05-03,40.36144
2021-05-04,56.02409
2021-05-05,51.20481
2021-05-06,51.80722
2021-05-07,52.40963
2021-05-08,50.6024
2021-05-09,45.78313
2021-05-10,44.57831
2021-05-11,62.04819
2021-05-12,53.61445
2021-05-13,46.98795
2021-05-14,45.78313
2021-05-15,48.79518
2021-05-16,41.56626
2021-05-17,54.81927
2021-05-18,50.0
2021-05-19,54.21686
2021-05-20,46.38554
2021-05-21,52.40963
2021-05-22,44.57831
2021-05-23,54.21686
2021-05-24,48.19277
2021-05-25,54.81927
2021-05-26,56.6265
2021-05-27,57.22891
2021-05-28,57.83132
2021-05-29,54.21686
2021-05-30,34.33734
2021-05-31,54.81927
2021-06-01,63.25301
2021-06-02,55.42168
2021-06-03,53.01204
2021-06-04,51.20481
2021-06-05,46.38554
2021-06-06,43.9759
2021-06-07,51.20481
2021-06-08,53.01204
2021-06-09,39.75903
2021-06-10,58.43373
2021-06-11,56.02409
2021-06-12,60.24096
2021-06-13,55.42168
2021-06-14,46.98795
2021-06-15,53.01204
2021-06-16,40.36144
2021-06-17,47.59036
2021-06-18,63.25301
2021-06-19,58.43373
2021-06-20,39.75903
2021-06-21,35.54216
2021-06-22,47.59036
2021-06-23,45.18072
2021-06-24,54.81927
2021-06-25,48.79518
2021-06-26,34.93975
2021-06-27,48.19277
2021-06-28,47.59036
2021-06-29,46.98795
2021-06-30,50.6024
2021-07-01,50.0
2021-07-02,47.59036
2021-07-03,43.37349
2021-07-04,45.18072
2021-07-05,47.59036
2021-07-06,54.21686
2021-07-07,56.6265
2021-07-08,48.19277
2021-07-09,52.40963
2021-07-10,39.75903
2021-07-11,42.77108
2021-07-12,46.38554
2021-07-13,53.01204
2021-07-14,44.57831
2021-07-15,40.36144
2021-07-16,49.39759
2021-07-17,37.9518
2021-07-18,45.78313
2021-07-19,49.39759
2021-07-20,45.78313
2021-07-21,53.61445
2021-07-22,57.22891
2021-07-23,53.61445
2021-07-24,38.55421
2021-07-25,42.16867
2021-07-26,54.81927
2021-07-27,48.19277
2021-07-28,34.93975
2021-07-29,47.59036
2021-07-30,42.16867
2021-07-31,36.74698
2021-08-01,49.39759
2021-08-02,52.40963
2021-08-03,39.75903
2021-08-04,58.43373
2021-08-05,57.83132
2021-08-06,49.39759
2021-08-07,49.39759
2021-08-08,50.6024
2021-08-09,59.03614
2021-08-10,52.40963
2021-08-11,55.42168
2021-08-12,53.61445
2021-08-13,46.98795
2021-08-14,54.81927
2021-08-15,48.79518
2021-08-16,59.03614
2021-08-17,43.37349
2021-08-18,56.6265
2021-08-19,53.01204
2021-08-20,53.61445
2021-08-21,42.77108
2021-08-22,56.6265
2021-08-23,60.24096
2021-08-24,68.67469
2021-08-25,46.98795
2021-08-26,42.77108
2021-08-27,54.81927
2021-08-28,46.98795
2021-08-29,33.73493
2021-08-30,45.18072
2021-08-31,51.80722
2021-09-01,50.6024
2021-09-02,40.96385
2021-09-03,43.9759
2021-09-04,36.74698
2021-09-05,43.9759
2021-09-06,56.02409
2021-09-07,46.38554
2021-09-08,36.74698
2021-09-09,50.0
2021-09-10,27.10843
2021-09-11,45.18072
2021-09-12,35.54216
2021-09-13,51.80722
2021-09-14,36.74698
2021-09-15,46.38554
2021-09-16,53.01204
2021-09-17,38.55421
2021-09-18,32.53012
2021-09-19,43.9759
2021-09-20,34.93975
2021-09-21,33.73493
2021-09-22,30.72289
2021-09-23,40.36144
2021-09-24,40.96385
2021-09-25,62.04819
2021-09-26,40.96385
2021-09-27,51.20481
2021-09-28,38.55421
2021-09-29,51.80722
2021-09-30,70.48192
2021-10-01,53.01204
2021-10-02,45.78313
2021-10-03,41.56626
2021-10-04,51.80722
2021-10-05,39.15662
2021-10-06,45.18072
2021-10-07,46.38554
2021-10-08,42.16867
2021-10-09,51.80722
2021-10-10,42.16867
2021-10-11,35.54216
2021-10-12,43.37349
2021-10-13,37.9518
2021-10-14,43.9759
2021-10-15,50.0
2021-10-16,40.96385
2021-10-17,32.53012
2021-10-18,39.15662
2021-10-19,39.15662
2021-10-20,38.55421
2021-10-21,39.15662
2021-10-22,46.98795
2021-10-23,35.54216
2021-10-24,37.9518
2021-10-25,37.34939
2021-10-26,26.50602
2021-10-27,42.77108
2021-10-28,42.77108
2021-10-29,40.96385
2021-10-30,37.9518
2021-10-31,33.13253
2021-11-01,45.18072
2021-11-02,40.96385
2021-11-03,43.37349
2021-11-04,42.16867
2021-11-05,38.55421
2021-11-06,50.0
2021-11-07,40.96385
2021-11-08,56.6265
2021-11-09,49.39759
2021-11-10,49.39759
2021-11-11,43.9759
2021-11-12,51.20481
2021-11-13,43.9759
2021-11-14,43.37349
2021-11-15,46.98795
2021-11-16,66.86746
2021-11-17,51.80722
2021-11-18,52.40963
2021-11-19,56.02409
2021-11-20,53.01204
2021-11-21,46.98795
2021-11-22,56.6265
2021-11-23,57.22891
2021-11-24,46.98795
2021-11-25,50.6024
