date,특징주
2020-03-20,23.73333
2020-03-21,10.93333
2020-03-22,7.86666
2020-03-23,28.0
2020-03-24,42.8
2020-03-25,51.73333
2020-03-26,56.13333
2020-03-27,47.33333
2020-03-28,16.8
2020-03-29,14.8
2020-03-30,62.0
2020-03-31,73.06666
2020-04-01,78.4
2020-04-02,64.66666
2020-04-03,59.33333
2020-04-04,15.33333
2020-04-05,13.86666
2020-04-06,61.73333
2020-04-07,64.93333
2020-04-08,68.53333
2020-04-09,48.53333
2020-04-10,43.73333
2020-04-11,23.06666
2020-04-12,22.0
2020-04-13,48.0
2020-04-14,59.6
2020-04-15,23.73333
2020-04-16,50.53333
2020-04-17,66.26666
2020-04-18,23.6
2020-04-19,21.6
2020-04-20,60.4
2020-04-21,58.4
2020-04-22,58.4
2020-04-23,55.86666
2020-04-24,46.4
2020-04-25,23.46666
2020-04-26,21.46666
2020-04-27,68.79999
2020-04-28,52.4
2020-04-29,39.06666
2020-04-30,15.86666
2020-05-01,18.26666
2020-05-02,16.66666
2020-05-03,14.13333
2020-05-04,47.33333
2020-05-05,17.19999
2020-05-06,41.46666
2020-05-07,43.46666
2020-05-08,53.73333
2020-05-09,15.46666
2020-05-10,12.93333
2020-05-11,37.33333
2020-05-12,41.73333
2020-05-13,36.8
2020-05-14,43.46666
2020-05-15,43.46666
2020-05-16,16.26666
2020-05-17,22.26666
2020-05-18,52.8
2020-05-19,38.53333
2020-05-20,46.8
2020-05-21,68.0
2020-05-22,49.6
2020-05-23,20.0
2020-05-24,21.86666
2020-05-25,63.2
2020-05-26,63.33333
2020-05-27,71.6
2020-05-28,60.93333
2020-05-29,51.73333
2020-05-30,21.33333
2020-05-31,19.73333
2020-06-01,62.53333
2020-06-02,68.0
2020-06-03,76.4
2020-06-04,66.0
2020-06-05,55.06666
2020-06-06,16.53333
2020-06-07,21.2
2020-06-08,67.73333
2020-06-09,61.86666
2020-06-10,62.53333
2020-06-11,52.93333
2020-06-12,42.4
2020-06-13,20.53333
2020-06-14,19.6
2020-06-15,55.06666
2020-06-16,44.53333
2020-06-17,58.4
2020-06-18,54.0
2020-06-19,50.93333
2020-06-20,20.66666
2020-06-21,17.46666
2020-06-22,59.2
2020-06-23,58.93333
2020-06-24,68.4
2020-06-25,61.73333
2020-06-26,52.93333
2020-06-27,16.26666
2020-06-28,16.53333
