date,SK하이닉스주가
2020-03-20,65.9975
2020-03-21,9.38141
2020-03-22,6.43248
2020-03-23,62.16292
2020-03-24,61.83697
2020-03-25,61.33146
2020-03-26,61.9227
2020-03-27,54.35383
2020-03-28,7.19115
2020-03-29,5.27184
2020-03-30,49.88838
2020-03-31,43.97191
2020-04-01,47.80245
2020-04-02,47.33738
2020-04-03,39.77984
2020-04-04,4.94589
2020-04-05,3.47142
2020-04-06,39.02764
2020-04-07,43.15744
2020-04-08,39.43447
2020-04-09,35.55055
2020-04-10,35.96143
2020-04-11,3.97531
2020-04-12,3.3315
2020-04-13,35.38151
2020-04-14,32.32986
2020-04-15,4.30126
2020-04-16,29.79666
2020-04-17,37.78045
2020-04-18,4.04082
2020-04-19,3.1851
2020-04-20,34.59211
2020-04-21,35.50122
2020-04-22,37.16494
2020-04-23,44.17573
2020-04-24,30.83518
2020-04-25,3.02657
2020-04-26,2.40217
2020-04-27,30.32805
2020-04-28,29.08652
2020-04-29,28.41521
2020-04-30,3.33069
2020-05-01,4.18722
2020-05-02,1.726
2020-05-03,1.61843
2020-05-04,25.41532
2020-05-05,3.37598
2020-05-06,25.3126
2020-05-07,23.45557
2020-05-08,25.64098
2020-05-09,2.83488
2020-05-10,2.10453
2020-05-11,23.16278
2020-05-12,24.59114
2020-05-13,25.54069
2020-05-14,27.79808
2020-05-15,25.74774
2020-05-16,2.60518
2020-05-17,1.99453
2020-05-18,28.01323
2020-05-19,29.73842
2020-05-20,27.1025
2020-05-21,26.39156
2020-05-22,24.07512
2020-05-23,2.41268
2020-05-24,1.91122
2020-05-25,25.07966
2020-05-26,25.67495
2020-05-27,25.18157
2020-05-28,31.95862
2020-05-29,26.69972
2020-05-30,2.69092
2020-05-31,2.04872
2020-06-01,28.29308
2020-06-02,26.44494
2020-06-03,40.1066
2020-06-04,37.68258
2020-06-05,34.32035
2020-06-06,3.53127
2020-06-07,2.74511
2020-06-08,32.81677
2020-06-09,30.40893
2020-06-10,27.89352
2020-06-11,29.22564
2020-06-12,30.70091
2020-06-13,2.75481
2020-06-14,2.03659
2020-06-15,32.30641
2020-06-16,31.24363
2020-06-17,31.52105
2020-06-18,26.99655
2020-06-19,24.36225
2020-06-20,2.30188
2020-06-21,1.62814
2020-06-22,24.00718
2020-06-23,24.046
2020-06-24,27.28449
2020-06-25,23.60439
2020-06-26,23.38358
2020-06-27,2.22747
2020-06-28,1.55372
2020-06-29,22.11132
2020-06-30,26.61479
2020-07-01,23.83652
2020-07-02,23.06006
2020-07-03,21.54839
2020-07-04,1.99938
2020-07-05,1.73975
2020-07-06,24.85239
2020-07-07,24.26923
2020-07-08,22.63058
2020-07-09,24.68334
2020-07-10,21.70853
2020-07-11,2.05842
2020-07-12,1.5424
2020-07-13,22.45345
2020-07-14,21.0542
2020-07-15,21.0081
2020-07-16,19.43577
2020-07-17,19.71157
